85477d8b1f14c398a2a3ea20468501c4af32b8c1b3812a4f5fd3259437761135,7269b5c78f815a7fd810c28c24e04e7f610708fb7192dfa42db3a7930e06ddbe,843e8036f6ca7b82e31a2764a505acdc623659e7cebb2647775dbeba60fb722f,dd35ea0b3a17ca7c0008f9ff95435308d874cbd905b0505730843dd6a7a811fe,a428688bbae11cb8ceaadbb053d3579c5337a1d572a7a6b43520e1175e57631a,cb432587d9348df3d72202c6cb24d08ae4123acd66c49af1958ab99ea01b6a23,b96754452f3b917c9ae6369ab4506b66ea3ccaa83079e9ef6ff0800af24b189a,9ac7a74e3519bc439b5e0815a1376b5422141df3c84bc7e9af7a6f95d9facf24,2286b748a5eb3dafec0bd265bf143a3a1f258411a4cb8b436cb7e0b97d08ee10,cb6d20383a922a4c1c73d71c60ee7abdf00625d0b939ef2d2b780a5d47a58175,da9803ec9889e0321862406d3053f70e99f96f280df137edcd83174ec026dbb6
"122711","-495","1","1","-200","1.95","102","lsv_idle_normal","1009801","0","1009801001"
"122811","-480","1","1","100","1.95","100","lsv_idle_normal","1009801","1","1009801002"
"122911","-510","1","1","270","1.95","101","lsv_idle_normal","1009801","1","1009801003"
"333","0","1","5","0","1","0","lsv_white_loop","1009801","0","1009801004"
"1","0","333","6","1","0","1","","1009801","0","1009801005"
"1","0","122711","6","1","0","1","","1009801","0","1009801006"
"1","0","122811","6","1","0","1","","1009801","0","1009801007"
"1","0","122911","6","1","0","1","","1009801","0","1009801008"
"0","","1","93","","","","","1009801","","1009801009"
"1","0.4","333","6","1","0.8","1","","1009801","0","1009801010"
"lsv_jump1","1","122711","3","lsv_idle_normal","0.2","0","","1009801","0.2","1009801011"
"lsv_jump1","1","122811","3","lsv_idle_normal","0.2","0","","1009801","0.2","1009801012"
"lsv_jump1","1","122911","3","lsv_idle_normal","0.2","0","","1009801","0.2","1009801013"
"","","0.3","93","","","","","1009801","","1009801014"
"-200","0","122711","2","0.75","","-235","","1009801","","1009801015"
"100","0","122811","2","0.75","","-220","","1009801","","1009801016"
"270","0","122911","2","0.75","","-250","","1009801","","1009801017"
