5a00167cfe55d2cf42dcbb90018f48e5035170dac378aeca14331cc256cdc220,9db2967c7a7f7a8aa3bea39f3296d630beb9971d9cf5451e8cf3a4a7124e76f6,948789e79b0c7d3564920dd1f6135dab816e8bfbd6f04d91d8b940ec7f34c45d,7fdd0a3a87f2803b1241bc3bf95766764065943b459834702cab7bc5db0be28b,5a6f1f8787106015546c3b4c2edd2cf3e113bb5caa7f23f7cfeee2eb1502dd59,a7cf1c24a3bdbe29b84ccb0257758f9d376a5e2e018a670253511d6047dc2acb,de952770838f2950f14015398e35f10e9e0d6097953a1b6fe9ed3bee4ccb124a
"0","1","0","9999999","50","1","50"
"0","2","0","9999999","80","2","20"
"0","3","0","2000","30","3","70"
"30","3","0","5000","40","4","30"
"40","3","20","10000","40","5","0"
"40","3","30","15000","30","6","0"
"40","3","35","20000","25","7","0"
"40","3","40","25000","20","8","0"
"40","3","45","30000","15","9","0"
"40","3","50","35000","10","10","0"
"35","3","55","40000","10","11","0"
"35","3","60","45000","5","12","0"
"30","3","65","50000","5","13","0"
"30","3","70","55000","0","14","0"
"25","3","75","60000","0","15","0"
"20","3","80","65000","0","16","0"
"15","3","85","70000","0","17","0"
"10","3","90","75000","0","18","0"
"5","3","95","80000","0","19","0"
"0","3","100","9999999","0","20","0"
