f656688313a865c5aaf309806073fd1b33a9246a71c0821744a4a5825d7b4c4d,b9b74c0d864fd9177494a3176b5a4ae571d7a9c19c5d0bef516d8031ac407b35,d3a5ad7b89ad528ada3d05723702352cdf00d11e8a5ce163bdd968dcdee506a1,d5ad7dfaed39e07910f083f5d81e5625f9bac36167cf57455c89b1e173002046,c753784852e65f61e0eb2432fac98ced9d92ab8d0ef8b0b478b0271d972d1321,20c47e7488a8882ecd05587a32c89f35f762d72644e7062fe52add602856fc88,8f2a32dde2e4520b4dc53b21d6bc8ff85ff40c631c56bfed928bcd99d00f19c3,fdd55501b74ab4230b4d3e9d3e12728eac1a7a3b962df96b99d85680d415bb66,00b76e7d07c2e878293180ed0cb554bf53ed47ad609b84dde19b39607d409dca,7e84975520e23c46a6fb37bcebf7c6a7302291601f78a7799eebc1c21c14fbd4
"10102","0","10101","10104","2030/05/15 4:59:59","101","0","2020-11-05 12:00:00","アニメ Season1 全巻購入特典","10103"
"10202","0","10201","0","2030/12/31 23:59:59","102","0","2022-05-16 00:00:00","アニメ Season2 全巻購入特典","10203"
"0","0","0","0","2022/05/19 23:59:59","201","0","2021-05-19 00:00:00","週刊ファミ通","0"
"0","0","0","0","2030/07/30 23:59:59","202","0","2021-07-30 00:00:00","公式アートワークス Vol.3","0"
"0","0","0","0","2024/01/31 23:59:59","203","0","2023-01-15 15:00:00","プリコネフェス2023　リアルガチャ","0"
"0","0","0","0","2025/02/13 23:59:59","204","0","2024-02-14 00:00:00","キャラクターソングアルバムVol.5 購入特典","0"
"0","0","0","0","2025/02/13 23:59:59","205","0","2024-02-14 00:00:00","サウンドトラックVol.6 購入特典","0"
"0","0","0","0","2030/12/31 23:59:59","206","0","2024-11-29 12:00:00","佐賀市ふるさと納税返礼品","0"
"0","0","0","0","2026/02/11 23:59:59","207","0","2025-02-10 12:00:00","キャラクターソングアルバムVol.6 購入特典","0"
"0","0","0","0","2030/12/31 23:59:59","208","0","2025-08-12 12:00:00","佐賀市ふるさと納税返礼品 第2弾","0"
"0","0","0","0","2030/12/31 23:59:59","209","0","2026-01-29 12:00:00","Shadowverse EVOLVE 特典","0"
"0","0","0","0","2026/03/13 18:59:59","301","0","2026/02/13 12:00:00","プリコネフェス2026 シリアルコード","0"
