a60e5c1a8bcd63f6dec3b263c67ee56bc469ff88106facc29a7a1dd04acd13f8,5dcae5a2bdc1631a81d33fb16bc473dc59be9788330509295c326fa95fa66e56,1307fd13d254fbe6d91336ff63b74064b9f4baff700d7cc2bc24a6efa94eb751,effa7e05301d20be36a4f40b2a89ab85518deb047cc3ae23e4a48b9b93450ba4,c02c70520035be985a51f7bd4e7d8841b553fc1e66a1a0babc7055184be2cbed,887edbf5434b5461c5a49a0e1855de7e2910aff94e0b80768dbf4bd6055d6461,1841b977ee94226c5936e413c124280fb4beb2a13ada35d9534e29ce9e6fdb50,b8710183f104230a3b6e058c0e033ec1990a9a0b027d0a3f4b1f08cfb7872699,406a6ade2f00ec92ccd337c78ecf3556514d6421feb5c14043e198598ebe3e1b,4194959e113da5f3285e01d1aa972669280ac8979b8bc013a5e8d723bb8c791f,2235121b014eec09f7ee459d9c22e1eab5b31770c29f8ddee8b4f37733322f1e,24bcb9ec546e2f5bf05003a6cc1a1c3cacb2551961e4d0febffe0c27ebd2887d
"0","1","1","1005801","0","0","100580101","0","0","0.8","4","0"
"0","2","0","1005801","vo_ske_0101","0","100580102","0","vo_ske","0","2","0"
"60","3","0","1005801","0","0.705","100580103","1","0","0","1","0"
"0","4","1","1005801","0","0","100580104","0","0","1.549","4","0"
"304","5","0","1005801","0","1.807","100580105","1","0","0","1","60"
"0","6","1","1005801","0","0","100580106","0","0","3.027","4","0"
"140","7","0","1005801","0","1.141","100580107","2","0","0","1","0"
"0","8","1","1005801","0","0","100580108","0","0","1.9","4","0"
"380","9","0","1005801","0","1.78","100580109","2","0","0","1","140"
"0","10","1","1005801","0","0","100580110","0","0","4.544","4","0"
"0","11","0","1005801","vo_ske_0102","0","100580111","0","vo_ske","0","2","0"
"195","12","0","1005801","0","1.322","100580112","3","0","0","1","0"
"0","13","1","1005801","0","0","100580113","0","0","2.917","4","0"
"0","14","0","1005801","vo_ske_0103","0","100580114","0","vo_ske","0","2","0"
"228","15","0","1005801","0","1.932","100580115","4","0","0","1","0"
"0","16","1","1005801","0","0","100580116","0","0","2.582","4","0"
"367","17","0","1005801","0","0.996","100580117","4","0","0","1","228"
"0","18","1","1005801","0","0","100580118","0","0","3.856","4","0"
"0","19","0","1005801","vo_ske_0104","0","100580119","0","vo_ske","0","2","0"
"102","20","0","1005801","0","0.67","100580120","5","0","0","1","0"
"0","21","1","1005801","0","0","100580121","0","0","1.785","4","0"
"364","22","0","1005801","0","2.253","100580122","5","0","0","1","102"
"0","23","1","1005801","0","0","100580123","0","0","2.253","4","0"
"120","24","0","1005801","0","0.962","100580124","6","0","0","1","0"
"0","25","1","1005801","0","0","100580125","0","0","2.244","4","0"
"334","26","0","1005801","0","1.707","100580126","6","0","0","1","120"
"0","27","1","1005801","0","0","100580127","0","0","4.225","4","0"
"0","28","0","1005801","vo_ske_0105","0","100580128","0","vo_ske","0","2","0"
"168","29","0","1005801","0","1.256","100580129","7","0","0","1","0"
"0","30","1","1005801","0","0","100580130","0","0","3.119","4","0"
"0","31","0","1005801","vo_ske_0106","0","100580131","0","vo_ske","0","2","0"
"89","32","0","1005801","0","0.702","100580132","8","0","0","1","0"
"0","33","1","1005801","0","0","100580133","0","0","1.386","4","0"
"278","34","0","1005801","0","1.352","100580134","8","0","0","1","89"
"0","35","1","1005801","0","0","100580135","0","0","2.053","4","0"
"383","36","0","1005801","0","0.733","100580136","8","0","0","1","278"
"0","37","1","1005801","0","0","100580137","0","0","1.868","4","0"
"195","38","0","1005801","0","1.764","100580138","9","0","0","1","0"
"0","39","1","1005801","0","0","100580139","0","0","2.905","4","0"
"314","40","0","1005801","0","0.969","100580140","9","0","0","1","195"
"0","41","1","1005801","0","0","100580141","0","0","0.969","4","0"
"115","42","0","1005801","0","0.808","100580142","10","0","0","1","0"
"0","43","1","1005801","0","0","100580143","0","0","2.8","4","0"
"0","44","0","1005801","vo_ske_0107","0","100580144","0","vo_ske","0","2","0"
"52","45","0","1005801","0","0.25","100580145","11","0","0","1","0"
"0","46","1","1005801","0","0","100580146","0","0","0.25","4","0"
"280","47","0","1005801","0","1.817","100580147","11","0","0","1","52"
"0","48","1","1005801","0","0","100580148","0","0","3.312","4","0"
"372","49","0","1005801","0","0.666","100580149","11","0","0","1","280"
"0","50","1","1005801","0","0","100580150","0","0","1.17","4","0"
"217","51","0","1005801","0","1.616","100580151","12","0","0","1","0"
"0","52","1","1005801","0","0","100580152","0","0","4.15","4","0"
"0","53","0","1005801","vo_ske_0108","0","100580153","0","vo_ske","0","2","0"
"142","54","0","1005801","0","1.198","100580154","13","0","0","1","0"
"0","55","1","1005801","0","0","100580155","0","0","2.442","4","0"
"267","56","0","1005801","0","1.934","100580156","14","0","0","1","0"
"0","57","1","1005801","0","0","100580157","0","0","4.434","4","0"
"0","1","1","1005802","0","0","100580201","0","0","0.8","4","0"
"0","2","0","1005802","vo_ske_0201","0","100580202","0","vo_ske","0","2","0"
"130","3","0","1005802","0","1.122","100580203","1","0","0","1","0"
