0b9429bd2995aa0f1e27759c1fff2c3442b070612ea2561192bab6892ed6d331,1defc32c0c1c66f2fb8d9b8238cb0f3199dbfe402fe14fbd5ead0b7e4c6fb43f,2dc66d58d6309e51e09667bc103011831eadc318314473feb9a67907abb54b7f,eb2ce3af8a6353bec3951086d37238f65ccf8cae6e39167a13f2179120274cc8,61f2ff4b5686ef855a4bd3b3a6a50ecb3433f7d36a0401d67998416dd14122be
"1","5000000","12","100101","94002"
"2","2000","2","100102","90008"
"3","20","2","100103","25001"
"4","2500","2","100104","90008"
"5","30","2","100105","25001"
"6","300","8","100106","91002"
"7","1","2","100107","41000"
"8","5000000","12","100108","94002"
"9","1000000","12","100109","94002"
"10","1000000","12","100110","94002"
"11","1000000","12","100111","94002"
"12","400","2","100112","20004"
"13","300","2","100113","20004"
"14","200","2","100114","20004"
"15","1000000","12","100115","94002"
"16","1000000","12","100116","94002"
"17","1000000","12","100117","94002"
"18","400","2","100118","20004"
"19","300","2","100119","20004"
"20","200","2","100120","20004"
"21","1000000","12","100121","94002"
"22","1000000","12","100122","94002"
"23","1000000","12","100123","94002"
"24","400","2","100124","20004"
"25","300","2","100125","20004"
"26","200","2","100126","20004"
"27","5000000","12","100201","94002"
"28","2000","2","100202","90008"
"29","20","2","100203","25001"
"30","2500","2","100204","90008"
"31","30","2","100205","25001"
"32","300","8","100206","91002"
"33","1","2","100207","41000"
"34","5000000","12","100208","94002"
"35","1000000","12","100209","94002"
"36","1000000","12","100210","94002"
"37","1000000","12","100211","94002"
"38","400","2","100212","20004"
"39","300","2","100213","20004"
"40","200","2","100214","20004"
"41","1000000","12","100215","94002"
"42","1000000","12","100216","94002"
"43","1000000","12","100217","94002"
"44","400","2","100218","20004"
"45","300","2","100219","20004"
"46","200","2","100220","20004"
"47","1000000","12","100221","94002"
"48","1000000","12","100222","94002"
"49","1000000","12","100223","94002"
"50","400","2","100224","20004"
"51","300","2","100225","20004"
"52","200","2","100226","20004"
"53","5000000","12","100301","94002"
"54","2000","2","100302","90008"
"55","20","2","100303","25001"
"56","2500","2","100304","90008"
"57","30","2","100305","25001"
"58","300","8","100306","91002"
"59","1","2","100307","41000"
"60","5000000","12","100308","94002"
"61","1000000","12","100309","94002"
"62","1000000","12","100310","94002"
"63","1000000","12","100311","94002"
"64","400","2","100312","20004"
"65","300","2","100313","20004"
"66","200","2","100314","20004"
"67","1000000","12","100315","94002"
"68","1000000","12","100316","94002"
"69","1000000","12","100317","94002"
"70","400","2","100318","20004"
"71","300","2","100319","20004"
"72","200","2","100320","20004"
"73","1000000","12","100321","94002"
"74","1000000","12","100322","94002"
"75","1000000","12","100323","94002"
"76","400","2","100324","20004"
"77","300","2","100325","20004"
"78","200","2","100326","20004"
"79","5000000","12","100401","94002"
"80","2000","2","100402","90008"
"81","20","2","100403","25001"
"82","2500","2","100404","90008"
"83","30","2","100405","25001"
"84","300","8","100406","91002"
"85","1","2","100407","41000"
"86","5000000","12","100408","94002"
"87","1000000","12","100409","94002"
"88","1000000","12","100410","94002"
"89","1000000","12","100411","94002"
"90","400","2","100412","20004"
"91","300","2","100413","20004"
"92","200","2","100414","20004"
"93","1000000","12","100415","94002"
"94","1000000","12","100416","94002"
"95","1000000","12","100417","94002"
"96","400","2","100418","20004"
"97","300","2","100419","20004"
"98","200","2","100420","20004"
"99","1000000","12","100421","94002"
"100","1000000","12","100422","94002"
"101","1000000","12","100423","94002"
"102","400","2","100424","20004"
"103","300","2","100425","20004"
"104","200","2","100426","20004"
"105","5000000","12","100501","94002"
"106","2000","2","100502","90008"
"107","20","2","100503","25001"
"108","2500","2","100504","90008"
"109","30","2","100505","25001"
"110","300","8","100506","91002"
"111","1","2","100507","41000"
"112","5000000","12","100508","94002"
"113","1000000","12","100509","94002"
"114","1000000","12","100510","94002"
"115","1000000","12","100511","94002"
"116","400","2","100512","20004"
"117","300","2","100513","20004"
"118","200","2","100514","20004"
"119","1000000","12","100515","94002"
"120","1000000","12","100516","94002"
"121","1000000","12","100517","94002"
"122","400","2","100518","20004"
"123","300","2","100519","20004"
"124","200","2","100520","20004"
"125","1000000","12","100521","94002"
"126","1000000","12","100522","94002"
"127","1000000","12","100523","94002"
"128","400","2","100524","20004"
"129","300","2","100525","20004"
"130","200","2","100526","20004"
"131","5000000","12","100601","94002"
"132","2000","2","100602","90008"
"133","20","2","100603","25001"
"134","2500","2","100604","90008"
"135","30","2","100605","25001"
"136","300","8","100606","91002"
"137","1","2","100607","41000"
"138","5000000","12","100608","94002"
"139","1000000","12","100609","94002"
"140","1000000","12","100610","94002"
"141","1000000","12","100611","94002"
"142","400","2","100612","20004"
"143","300","2","100613","20004"
"144","200","2","100614","20004"
"145","1000000","12","100615","94002"
"146","1000000","12","100616","94002"
"147","1000000","12","100617","94002"
"148","400","2","100618","20004"
"149","300","2","100619","20004"
"150","200","2","100620","20004"
"151","1000000","12","100621","94002"
"152","1000000","12","100622","94002"
"153","1000000","12","100623","94002"
"154","400","2","100624","20004"
"155","300","2","100625","20004"
"156","200","2","100626","20004"
"157","5000000","12","100701","94002"
"158","2000","2","100702","90008"
"159","20","2","100703","25001"
"160","2500","2","100704","90008"
"161","30","2","100705","25001"
"162","300","8","100706","91002"
"163","1","2","100707","41000"
"164","5000000","12","100708","94002"
"165","1000000","12","100709","94002"
"166","1000000","12","100710","94002"
"167","1000000","12","100711","94002"
"168","400","2","100712","20004"
"169","300","2","100713","20004"
"170","200","2","100714","20004"
"171","1000000","12","100715","94002"
"172","1000000","12","100716","94002"
"173","1000000","12","100717","94002"
"174","400","2","100718","20004"
"175","300","2","100719","20004"
"176","200","2","100720","20004"
"177","1000000","12","100721","94002"
"178","1000000","12","100722","94002"
"179","1000000","12","100723","94002"
"180","400","2","100724","20004"
"181","300","2","100725","20004"
"182","200","2","100726","20004"
