3f39f92b18f7368a0c65f57ad1fe0955ab608213738507828a0dc4b51de259c7,56f39ec2b80bb585e37c74a1f593e7f1caf9bf941fce1991ddd7538a974d0e79,6ea61fe96be42c5eb12a513c86d7f8ac530db515740ccc6982b24af2566ac89b,676f589375a36651a783437b55aaac503a432ac83d58535bda037c3cb9b1b1e4,acb2b883072c108f3e735b71d3ce6a907620eeff7ea738f46176c04c009d83d4,fd730752a5835469eeecdfc79bea95f97354fb5cc3760c741f7f181fac3af8df,2c1e1c092f9e508f9e18a28eaeff805f4edeac51ff8cc70cc425a35aa9ec3f8a,be909172f74fbf68cbb6095f875836efcb64675476d826e87f125fd5430d1108,38f969f3e359654564acba971cf9ba792624a47553b7d606f5ffdbd6642c395e
"","2","1","2","","23001","21600","1","1"
"","2","1","3","","23001","19800","1","2"
"","2","1","3","","23001","18000","1","3"
"","2","1","3","","23001","16200","1","4"
"","2","1","4","","23001","14400","1","5"
"","2","1","4","","23001","12960","1","6"
"","2","1","5","","23001","11520","1","7"
"","2","1","6","","23001","10080","1","8"
"","2","1","7","","23001","8640","1","9"
"","2","1","8","","23001","7200","1","10"
"","2","1","10","","23001","5760","1","11"
"","2","1","12","","23001","5040","1","12"
"","2","1","14","","23001","4320","1","13"
"","2","2","16","","23001","7200","1","14"
"","2","2","18","","23001","5400","1","15"
"","2","2","18","","23001","5040","1","16"
"","2","2","18","","23001","4800","1","17"
"","2","2","20","","23001","4500","1","18"
"","2","2","20","","23001","4320","1","19"
"","2","3","24","","23001","6000","1","20"
"","2","3","48","","23001","5700","1","21"
"","2","3","48","","23001","5400","1","22"
"","2","3","51","","23001","5220","1","23"
"","2","3","54","","23001","4980","1","24"
"","2","3","54","","23001","4800","1","25"
"","2","3","60","","23001","4500","1","26"
"","2","3","60","","23001","4320","1","27"
"","2","3","63","","23001","4200","1","28"
"","2","4","64","","23001","5400","1","29"
"","2","4","68","","23001","5220","1","30"
"","2","4","72","","23001","5040","1","31"
"","2","4","72","","23001","4920","1","32"
"","2","4","72","","23001","4800","1","33"
"","2","4","76","","23001","4680","1","34"
"","2","4","80","","23001","4500","1","35"
"","2","4","80","","23001","4320","1","36"
"","2","4","84","","23001","4260","1","37"
"","2","4","84","","23001","4200","1","38"
"","2","4","84","","23001","4140","1","39"
"","2","4","88","","23001","4080","1","40"
"","6","20","80","","93001","21600","2","1"
"","6","24","96","","93001","21600","2","2"
"","6","28","112","","93001","21600","2","3"
"","6","30","120","","93001","21600","2","4"
"","6","32","128","","93001","21600","2","5"
"","6","34","136","","93001","21600","2","6"
