cb1c202e2de567309ae3a1c8025f44f2921e32e6c4eb1b43abf48e10fd605221,39fa6aca754376c37985573e983af59366329267efed8f1f56307bc03d9c3291,57f689b6c0ed937fbf9af5585ee8ac1ecfda8070ed15721cd0b831b12ca3cba6,0034d4b9cd03a12e62f1efbdb0408220ecfee2c5a7c5775f4a9f84688b15935e,dfc3870437ed22e12aadeb95e3a3b1552a50f43bf21c627472f92d1f85f8198b,350eed1fec6509e85c0dd1ede913ac40db6dc316a5f92dd27e86714ae68d505b,8b70c570b2c58225a6b0e9c6db8a35e78864bcbe87e8ad6511758d80fd652c6a,0acd8b5ba81b047ea376c86cc9e64bdb6325be374a55adbd360da9dbe9f91193,af9f4e7199df0e9d763cbace0ed1817d2818094871539d8934628d9a665de38a,4a3009494b6e830ab1dee58765b7763f7214482f73c37b48b1f9db7eae1f5b1f,551afcb486231a7d7f9702858b4460e8695c94c4e567c4d3133fa98f52c4c813,6cf9a00acf2bd7077c0eebdb524178da843888eff443f3ea2c3322ff959945c8,213ae2d3c9d3f1cf6d1434f3f05555e1d8bfb10a880438df0e3686eb6e797e2f,f8821a16a21127e4186debbbe59edc455dc2ca60f1f0cb8ba65ecdaf1731956c,ca161ed693953ac46eb2a45b48bd327a394fc5738e00e1af72c812d16ebb3d91,87b7c04d995f9a19cd732d7f8d0c6929e109a865c95c311f314efd230141d09b,4eab393de1b8f1ad8b9c67a147cd4225423beeca3886d6529e5107b2c817b23c,836a0d22371ca48ae5cbab5469da8d38adad67bfc7350461b1c323e9912e1843
"4004101","500000000001","2019/04/01","bgm_M220","0","1","1001","2019/04/01 7:59:59","1","1","1000000000000","100584","ロボリマ来襲！","bgm_M220","1001001","0","王都滅亡までのカウントダウン　～04/01 23：59","480"
"4004102","300000000001","2019/04/01 8:00:00","bgm_M220","0","2","1001","2019/04/01 12:59:59","2","1","500000000000","100584","ロボリマ来襲！","bgm_M220","1001002","0","王都滅亡までのカウントダウン　～04/01 23：59","300"
"4004103","100000000001","2019/04/01 13:00:00","bgm_M220","0","3","1001","2019/04/01 17:59:59","3","1","300000000000","100584","ロボリマ来襲！","bgm_M220","1001003","0","王都滅亡までのカウントダウン　～04/01 23：59","300"
"4004104","50000000001","2019/04/01 18:00:00","bgm_M220","0","1","1001","2019/04/01 19:59:59","4","1","100000000000","100584","ロボリマ来襲！","bgm_M220","1001001","0","王都滅亡までのカウントダウン　～04/01 23：59","120"
"0","0","2019/04/01 20:00:00","bgm_M220","0","2","1001","2019/04/01 23:59:59","5","1","50000000000","100584","ロボリマ来襲！","bgm_M220","1001002","0","王都滅亡までのカウントダウン　～04/01 23：59","240"
"4004109","0","2019/04/01","bgm_M220","0","1","1001","2019/04/01 7:59:59","8","1","0","100584","ロボリマ来襲！","bgm_M220","1001004","0","王都滅亡までのカウントダウン　～04/01 23：59","480"
"0","0","2019/04/01 8:00:00","bgm_M220","0","2","1001","2019/04/01 12:59:59","9","1","0","100584","ロボリマ来襲！","bgm_M220","1001005","0","王都滅亡までのカウントダウン　～04/01 23：59","300"
"0","0","2019/04/01 13:00:00","bgm_M220","0","3","1001","2019/04/01 17:59:59","10","1","0","100584","ロボリマ来襲！","bgm_M220","1001006","0","王都滅亡までのカウントダウン　～04/01 23：59","300"
"0","0","2019/04/01 18:00:00","bgm_M220","0","1","1001","2019/04/01 20:59:59","11","1","0","100584","ロボリマ来襲！","bgm_M220","1001004","0","王都滅亡までのカウントダウン　～04/01 23：59","180"
"0","0","2019/04/01 21:00:00","bgm_M220","0","2","1001","2019/04/01 23:59:59","12","1","0","100584","ロボリマ来襲！","bgm_M220","1001005","0","王都滅亡までのカウントダウン　～04/01 23：59","180"
"4004101","1250000000001","2020/04/01","bgm_M220","0","1","1002","2020/04/01 7:59:59","15","1","2500000000000","100584","巨影復活","bgm_M220","1002001","0","バトル オブ ランドソル 巨影復活　～04/01 23：59","480"
"4004102","750000000001","2020/04/01 8:00:00","bgm_M220","0","2","1002","2020/04/01 12:59:59","16","1","1250000000000","100584","巨影復活","bgm_M220","1002002","0","バトル オブ ランドソル 巨影復活　～04/01 23：59","300"
"4004103","250000000001","2020/04/01 13:00:00","bgm_M220","0","3","1002","2020/04/01 17:59:59","17","1","750000000000","100584","巨影復活","bgm_M220","1002003","0","バトル オブ ランドソル 巨影復活　～04/01 23：59","300"
"4004104","125000000001","2020/04/01 18:00:00","bgm_M220","0","1","1002","2020/04/01 19:59:59","18","1","250000000000","100584","巨影復活","bgm_M220","1002001","0","バトル オブ ランドソル 巨影復活　～04/01 23：59","120"
"0","0","2020/04/01 20:00:00","bgm_M220","0","2","1002","2020/04/01 23:59:59","19","1","125000000000","100584","巨影復活","bgm_M220","1002002","0","バトル オブ ランドソル 巨影復活　～04/01 23：59","240"
"4004109","0","2020/04/01","bgm_M220","0","1","1002","2020/04/01 7:59:59","22","1","0","100584","巨影復活","bgm_M220","1002004","0","バトル オブ ランドソル 巨影復活　～04/01 23：59","480"
