42fb7242f85b21c4680a0cf0f99a5d813557be115c254be5e048029acc5d3152,7302556c672e449c6b4cba5ad5b682f6ab2b32f31d56e471b3d4a07f6ab2455d,c14f9b29f22363f841f6bc3bc417c4195e144310f127aaec5d24a9e08031c17f,a5be2a6266c6eb288461e7e702b8a9033b5e5bb1e722cd6a125c354245212052,6a4886ac24991de85cf6899c6efb7da63ae7c8f36ff084f5a987fbe75eea465d,84b3a6cb9fe5c1c253225b55b4fbbdb85466bae6e6747aa0adf7a0b81eb3197c,d440042aaabf1c2287d1428292699243fcfa7fd5ed693dbf88b929e262057cce,deeb0715bfdfa4f3aeacec09654391b923337d931eb43c060abb31afbf4efcf9,77ee2d49de50afccd7efa0e6e32870284aace11618d4069d09b7027b3763c048,45944894c0bece5a4a1ed5c1361020a5d577efb4972efa7c5dc4f2045ab75dc4,f4d79e6e75f138f5aa1e99f6aaed358a08f4091dd91f4831189a8f76076778f7
"se_travel","0","","","se_travel_start_1pt","23","","","111","","101110001"
"10010","0","1","","10010","31","","1","111","0","101110002"
"10011","0","1","","10011","31","","1","111","0","101110003"
"10020","0","0","","10020","31","","1","111","0","101110004"
"2","62","0.68","<weapon>_idle","1001001","1","0","-150","111","-150","101110005"
"2","61","0.68","<weapon>_idle","1001002","1","0","-75","111","-250","101110006"
"2","63","0.68","<weapon>_idle","1001003","1","0","-180","111","-350","101110007"
"2","61","0.68","<weapon>_idle","1001004","1","0","-75","111","-450","101110008"
"2","62","0.68","<weapon>_idle","1001005","1","0","-150","111","-550","101110009"
"10012","-150","1","","1001001","31","0","0.68","111","-150","101110010"
"10012","-250","1","","1001002","31","0","0.68","111","-75","101110011"
"10012","-350","1","","1001003","31","0","0.68","111","-180","101110012"
"10012","-450","1","","1001004","31","0","0.68","111","-75","101110013"
"10012","-550","1","","1001005","31","0","0.68","111","-150","101110014"
"10030","0","0","","10030","31","","1","111","0","101110015"
"10031","0","0","","10031","31","","1","111","0","101110016"
"","","","","0","91","","","111","","101110017"
"10030","","","","1","32","","","111","","101110018"
"0","","","","0","91","","","111","","101110019"
"1001001","1","0","","<weapon>_run","3","","0","111","","101110020"
"1001002","1","0","","<weapon>_run","3","","0","111","","101110021"
"1001003","1","0","","<weapon>_run","3","","0","111","","101110022"
"1001004","1","0","","<weapon>_run","3","","0","111","","101110023"
"1001005","1","0","","<weapon>_run","3","","0","111","","101110024"
"1001001","-150","","","800","2","","0","111","3","101110025"
"1001002","-75","","","700","2","","0","111","3","101110026"
"1001003","-180","","","600","2","","0","111","3","101110027"
"1001004","-75","","","500","2","","0","111","3","101110028"
"1001005","-150","","","400","2","","0","111","3","101110029"
"1001001","-150","","","800","33","","0","111","3","101110030"
"1001002","-75","","","700","33","","0","111","3","101110031"
"1001003","-180","","","600","33","","0","111","3","101110032"
"1001004","-75","","","500","33","","0","111","3","101110033"
"1001005","-150","","","400","33","","0","111","3","101110034"
"10020","","","","1","32","","","111","","101110035"
"2.5","","","","0","93","","","111","","101110036"
"10031","","","","1","32","","","111","","101110037"
"0.4","","","","0","93","","","111","","101110038"
"0","","","","0","91","","","111","","101110039"
"se_travel","0","","","se_travel_start_2pt","23","","","211","","102110001"
"10010","0","1","","10010","31","","1","211","0","102110002"
"10011","0","1","","10011","31","","1","211","0","102110003"
"10020","0","0","","10020","31","","1","211","0","102110004"
"2","62","0.68","<weapon>_idle","1001001","1","0","-90","211","-100","102110005"
"2","61","0.68","<weapon>_idle","1001002","1","0","-15","211","-170","102110006"
"2","63","0.68","<weapon>_idle","1001003","1","0","-105","211","-240","102110007"
"2","61","0.68","<weapon>_idle","1001004","1","0","-15","211","-310","102110008"
"2","62","0.68","<weapon>_idle","1001005","1","0","-90","211","-380","102110009"
"10012","-100","1","","1001001","31","0","0.68","211","-90","102110010"
"10012","-170","1","","1001002","31","0","0.68","211","-15","102110011"
"10012","-240","1","","1001003","31","0","0.68","211","-105","102110012"
"10012","-310","1","","1001004","31","0","0.68","211","-15","102110013"
"10012","-380","1","","1001005","31","0","0.68","211","-90","102110014"
"2","52","0.68","<weapon>_idle","1002001","1","0","-240","211","-500","102110015"
"2","51","0.68","<weapon>_idle","1002002","1","0","-165","211","-570","102110016"
"2","53","0.68","<weapon>_idle","1002003","1","0","-255","211","-640","102110017"
"2","51","0.68","<weapon>_idle","1002004","1","0","-165","211","-710","102110018"
"2","52","0.68","<weapon>_idle","1002005","1","0","-240","211","-780","102110019"
"10012","-500","1","","1002001","31","0","0.68","211","-240","102110020"
"10012","-570","1","","1002002","31","0","0.68","211","-165","102110021"
"10012","-640","1","","1002003","31","0","0.68","211","-255","102110022"
"10012","-710","1","","1002004","31","0","0.68","211","-165","102110023"
"10012","-780","1","","1002005","31","0","0.68","211","-240","102110024"
"10030","0","0","","10030","31","","1","211","0","102110025"
"10031","0","0","","10031","31","","1","211","0","102110026"
"","","","","0","91","","","211","","102110027"
"10030","","","","1","32","","","211","","102110028"
"0","","","","0","91","","","211","","102110029"
"1001001","1","0","","<weapon>_run","3","","0","211","","102110030"
"1001002","1","0","","<weapon>_run","3","","0","211","","102110031"
"1001003","1","0","","<weapon>_run","3","","0","211","","102110032"
"1001004","1","0","","<weapon>_run","3","","0","211","","102110033"
"1001005","1","0","","<weapon>_run","3","","0","211","","102110034"
"1001001","-90","","","850","2","","0","211","3","102110035"
"1001002","-15","","","780","2","","0","211","3","102110036"
"1001003","-105","","","710","2","","0","211","3","102110037"
"1001004","-15","","","640","2","","0","211","3","102110038"
"1001005","-90","","","570","2","","0","211","3","102110039"
"1001001","-90","","","850","33","","0","211","3","102110040"
"1001002","-15","","","780","33","","0","211","3","102110041"
"1001003","-105","","","710","33","","0","211","3","102110042"
"1001004","-15","","","640","33","","0","211","3","102110043"
"1001005","-90","","","570","33","","0","211","3","102110044"
"1002001","1","0","","<weapon>_run","3","","0","211","","102110045"
"1002002","1","0","","<weapon>_run","3","","0","211","","102110046"
"1002003","1","0","","<weapon>_run","3","","0","211","","102110047"
"1002004","1","0","","<weapon>_run","3","","0","211","","102110048"
"1002005","1","0","","<weapon>_run","3","","0","211","","102110049"
"1002001","-240","","","450","2","","0","211","3","102110050"
"1002002","-165","","","380","2","","0","211","3","102110051"
"1002003","-255","","","310","2","","0","211","3","102110052"
"1002004","-165","","","240","2","","0","211","3","102110053"
"1002005","-240","","","170","2","","0","211","3","102110054"
"1002001","-240","","","450","33","","0","211","3","102110055"
"1002002","-165","","","380","33","","0","211","3","102110056"
"1002003","-255","","","310","33","","0","211","3","102110057"
"1002004","-165","","","240","33","","0","211","3","102110058"
"1002005","-240","","","170","33","","0","211","3","102110059"
"10020","","","","1","32","","","211","","102110060"
"2.5","","","","0","93","","","211","","102110061"
"10031","","","","1","32","","","211","","102110062"
"0.4","","","","0","93","","","211","","102110063"
"0","","","","0","91","","","211","","102110064"
"se_travel","0","","","se_travel_start_3pt","23","","","311","","103110001"
"10010","0","1","","10010","31","","1","311","0","103110002"
"10011","0","1","","10011","31","","1","311","0","103110003"
"10020","0","0","","10020","31","","1","311","0","103110004"
"2","62","0.68","<weapon>_idle","1001001","1","0","-240","311","0","103110005"
"2","61","0.68","<weapon>_idle","1001002","1","0","-165","311","-70","103110006"
"2","63","0.68","<weapon>_idle","1001003","1","0","-255","311","-140","103110007"
"2","61","0.68","<weapon>_idle","1001004","1","0","-165","311","-210","103110008"
"2","62","0.68","<weapon>_idle","1001005","1","0","-240","311","-280","103110009"
"10012","0","1","","1001001","31","0","0.68","311","-240","103110010"
"10012","-70","1","","1001002","31","0","0.68","311","-165","103110011"
"10012","-140","1","","1001003","31","0","0.68","311","-255","103110012"
"10012","-210","1","","1001004","31","0","0.68","311","-165","103110013"
"10012","-280","1","","1001005","31","0","0.68","311","-240","103110014"
"2","52","0.68","<weapon>_idle","1002001","1","0","-60","311","-250","103110015"
"2","51","0.68","<weapon>_idle","1002002","1","0","15","311","-320","103110016"
"2","53","0.68","<weapon>_idle","1002003","1","0","-75","311","-390","103110017"
"2","51","0.68","<weapon>_idle","1002004","1","0","15","311","-460","103110018"
"2","52","0.68","<weapon>_idle","1002005","1","0","-60","311","-530","103110019"
"10012","-250","1","","1002001","31","0","0.68","311","-60","103110020"
"10012","-320","1","","1002002","31","0","0.68","311","15","103110021"
"10012","-390","1","","1002003","31","0","0.68","311","-75","103110022"
"10012","-460","1","","1002004","31","0","0.68","311","15","103110023"
"10012","-530","1","","1002005","31","0","0.68","311","-60","103110024"
"2","62","0.68","<weapon>_idle","1003001","1","0","-250","311","-500","103110025"
"2","61","0.68","<weapon>_idle","1003002","1","0","-175","311","-570","103110026"
"2","63","0.68","<weapon>_idle","1003003","1","0","-265","311","-640","103110027"
"2","61","0.68","<weapon>_idle","1003004","1","0","-175","311","-710","103110028"
"2","62","0.68","<weapon>_idle","1003005","1","0","-250","311","-780","103110029"
"10012","-500","1","","1003001","31","0","0.68","311","-250","103110030"
"10012","-570","1","","1003002","31","0","0.68","311","-175","103110031"
"10012","-640","1","","1003003","31","0","0.68","311","-265","103110032"
"10012","-710","1","","1003004","31","0","0.68","311","-175","103110033"
"10012","-780","1","","1003005","31","0","0.68","311","-250","103110034"
"10030","0","0","","10030","31","","1","311","0","103110035"
"10031","0","0","","10031","31","","1","311","0","103110036"
"","","","","0","91","","","311","","103110037"
"10030","","","","1","32","","","311","","103110038"
"0","","","","0","91","","","311","","103110039"
"1001001","1","0","","<weapon>_run","3","","0","311","","103110040"
"1001002","1","0","","<weapon>_run","3","","0","311","","103110041"
"1001003","1","0","","<weapon>_run","3","","0","311","","103110042"
"1001004","1","0","","<weapon>_run","3","","0","311","","103110043"
"1001005","1","0","","<weapon>_run","3","","0","311","","103110044"
"1001001","-240","","","950","2","","0","311","3","103110045"
"1001002","-165","","","880","2","","0","311","3","103110046"
"1001003","-255","","","810","2","","0","311","3","103110047"
"1001004","-165","","","740","2","","0","311","3","103110048"
"1001005","-240","","","670","2","","0","311","3","103110049"
"1001001","-240","","","950","33","","0","311","3","103110050"
"1001002","-165","","","880","33","","0","311","3","103110051"
"1001003","-255","","","810","33","","0","311","3","103110052"
"1001004","-165","","","740","33","","0","311","3","103110053"
"1001005","-240","","","670","33","","0","311","3","103110054"
"1002001","1","0","","<weapon>_run","3","","0","311","","103110055"
"1002002","1","0","","<weapon>_run","3","","0","311","","103110056"
"1002003","1","0","","<weapon>_run","3","","0","311","","103110057"
"1002004","1","0","","<weapon>_run","3","","0","311","","103110058"
"1002005","1","0","","<weapon>_run","3","","0","311","","103110059"
"1002001","-60","","","700","2","","0","311","3","103110060"
"1002002","15","","","630","2","","0","311","3","103110061"
"1002003","-75","","","560","2","","0","311","3","103110062"
"1002004","15","","","490","2","","0","311","3","103110063"
"1002005","-60","","","420","2","","0","311","3","103110064"
"1002001","-60","","","700","33","","0","311","3","103110065"
"1002002","15","","","630","33","","0","311","3","103110066"
"1002003","-75","","","560","33","","0","311","3","103110067"
"1002004","15","","","490","33","","0","311","3","103110068"
"1002005","-60","","","420","33","","0","311","3","103110069"
"1003001","1","0","","<weapon>_run","3","","0","311","","103110070"
"1003002","1","0","","<weapon>_run","3","","0","311","","103110071"
"1003003","1","0","","<weapon>_run","3","","0","311","","103110072"
"1003004","1","0","","<weapon>_run","3","","0","311","","103110073"
"1003005","1","0","","<weapon>_run","3","","0","311","","103110074"
"1003001","-250","","","450","2","","0","311","3","103110075"
"1003002","-175","","","380","2","","0","311","3","103110076"
"1003003","-265","","","310","2","","0","311","3","103110077"
"1003004","-175","","","240","2","","0","311","3","103110078"
"1003005","-250","","","170","2","","0","311","3","103110079"
"1003001","-250","","","450","33","","0","311","3","103110080"
"1003002","-175","","","380","33","","0","311","3","103110081"
"1003003","-265","","","310","33","","0","311","3","103110082"
"1003004","-175","","","240","33","","0","311","3","103110083"
"1003005","-250","","","170","33","","0","311","3","103110084"
"10020","","","","1","32","","","311","","103110085"
"2.5","","","","0","93","","","311","","103110086"
"10031","","","","1","32","","","311","","103110087"
"0.4","","","","0","93","","","311","","103110088"
"0","","","","0","91","","","311","","103110089"
