96528b53d06fe7c80359e00e7a867ca5d8d6ba2474acec91105730e1c64ed42e,77fde8fbdc86e1b77f425d26bf3fea07883fb5418ef30c177ca3ce5676d11673,2838f582b21e5738366340176a2f3a67d038338427204e5855bcb03c4e758e9b,5cd9888d6f727c7e53f6b6e1917f5ae25096d26219126cb02e8c7bc7403eb157,e931c650cb31e620b5225c5d60d40ab600fa619441598950c1d65bab0cf30af0,6b3277e74437bb5da8fabd1ed5cc06ee6d06792d1e1a62e53128a832b3ef1f67,7648691e06108acc68f04d9da1f45fa2130838ca07dd662c6d599b7dc585c360
"累計スコアを2500pt 獲得しよう","10","8","91002","101","2500","1"
"累計スコアを5000pt 獲得しよう","10","8","91002","102","5000","1"
"累計スコアを10000pt 獲得しよう","10","8","91002","103","10000","1"
"累計スコアを12500pt 獲得しよう","10","8","91002","104","12500","1"
"累計スコアを15000pt 獲得しよう","10","8","91002","105","15000","1"
"累計スコアを20000pt 獲得しよう","10","8","91002","106","20000","1"
"累計スコアを25000pt 獲得しよう","10","8","91002","107","25000","1"
"累計スコアを30000pt 獲得しよう","10","8","91002","108","30000","1"
"累計スコアを35000pt 獲得しよう","10","8","91002","109","35000","1"
"累計スコアを40000pt 獲得しよう","10","8","91002","110","40000","1"
"累計スコアを45000pt 獲得しよう","10","8","91002","111","45000","1"
"累計スコアを50000pt 獲得しよう","1","15","11001302","112","50000","1"
"累計スコアを2500pt 獲得しよう","10","8","91002","201","2500","2"
"累計スコアを5000pt 獲得しよう","10","8","91002","202","5000","2"
"累計スコアを10000pt 獲得しよう","10","8","91002","203","10000","2"
"累計スコアを12500pt 獲得しよう","10","8","91002","204","12500","2"
"累計スコアを15000pt 獲得しよう","10","8","91002","205","15000","2"
"累計スコアを20000pt 獲得しよう","10","8","91002","206","20000","2"
"累計スコアを25000pt 獲得しよう","10","8","91002","207","25000","2"
"累計スコアを30000pt 獲得しよう","10","8","91002","208","30000","2"
"累計スコアを35000pt 獲得しよう","10","8","91002","209","35000","2"
"累計スコアを40000pt 獲得しよう","10","8","91002","210","40000","2"
"累計スコアを45000pt 獲得しよう","10","8","91002","211","45000","2"
"累計スコアを50000pt 獲得しよう","1","15","11001303","212","50000","2"
