39a867fd6a26a68e0c6d52298e1f86fb5704019eef34c41922c918e9596f2738,73cf363534c208fb8d07f901b52a15130eb6a4e630be35fdd8114b8e37d5703c,f7edbc222ffdfda44b328b02805cc2d1c40efb94810432512edc6ce6990d1776,574f17aa7f706c46fa94d3c6c54553f92303017beaf4a2f56e098846f31670e7,dd1932d5d01e3470e61113347bf9e5f1381418f9d428993b442efc7398b60f40,bfee307c5293f4e6199a277e7e544ebb229ce260f0153c92ea7973d1f3b7951d,ca507aeb19f20a0fb92bf75ba83ae0f6e98a3c7ef0a84dd5c1dd54acba4fed8a,b40de16dfbe06aae603fa9c11d8b046b95488cc709ffe263ee222112c97bc123,a3b4d1762176620288fddcb4daa03fcf052a48e651c236acdf84bc548f4d2c3e,fb5e50af42e96b3ac5ec09f135693083bd5c0bee7c53bf07cb9dd13488b7113c,8b4ab318b196449f33bac7a640bc54d4082d5a17cffac1051c2467266d7198da,7b05733e474cd13dd7606af237172304b7e7c99706c33b387adfb362b11e2434,64a8640a3445786908ca5812803f6cab663205b9cd08882065883abe020b920e,0094617f7d0ddb0480790ed39b6d35850cd3212a485c7b86492887d8ce630faa
"1","2000","0","34","1","30","0","0","-1","2018/03/06 05:00:00","0","2018/03/13 04:59:59","103","1"
"2","2000","0","44","1","40","0","0","-1","2018/03/06 05:00:00","0","2018/03/13 04:59:59","103","1"
"3","2000","0","45","1","40","0","0","-1","2018/03/13 05:00:00","0","2018/03/20 04:59:59","104","1"
"4","2000","0","31","1","30","0","0","-1","2018/03/20 05:00:00","0","2018/03/26 04:59:59","101","1"
"5","2000","0","41","1","40","0","0","-1","2018/03/20 05:00:00","0","2018/03/26 04:59:59","101","1"
"6","2000","0","32","1","30","0","0","-1","2018/03/26 05:00:00","0","2018/03/31 04:59:59","102","1"
"7","2000","0","42","1","40","0","0","-1","2018/03/26 05:00:00","0","2018/03/31 04:59:59","102","1"
"8","2000","0","34","1","30","0","0","-1","2018/03/31 05:00:00","0","2018/04/10 04:59:59","103","1"
"9","2000","0","44","1","40","0","0","-1","2018/03/31 05:00:00","0","2018/04/10 04:59:59","103","1"
"10","2000","0","45","1","40","0","0","-1","2018/04/10 05:00:00","0","2018/04/20 04:59:59","104","1"
"11","2000","0","31","1","30","0","0","-1","2018/04/20 05:00:00","0","2018/04/25 04:59:59","101","1"
"12","2000","0","41","1","40","0","0","-1","2018/04/20 05:00:00","0","2018/04/25 04:59:59","101","1"
"13","2000","0","32","1","30","0","0","-1","2018/04/25 05:00:00","0","2018/04/30 04:59:59","102","1"
"14","2000","0","42","1","40","0","0","-1","2018/04/25 05:00:00","0","2018/04/30 04:59:59","102","1"
"15","2000","0","34","1","30","0","0","-1","2018/04/30 05:00:00","0","2018/05/11 04:59:59","103","1"
"16","2000","0","44","1","40","0","0","-1","2018/04/30 05:00:00","0","2018/05/11 04:59:59","103","1"
"17","2000","0","45","1","40","0","0","-1","2018/05/11 05:00:00","0","2018/05/22 04:59:59","104","1"
"18","2000","0","31","1","30","0","0","-1","2018/05/22 05:00:00","0","2018/05/28 04:59:59","101","1"
"19","2000","0","41","1","40","0","0","-1","2018/05/22 05:00:00","0","2018/05/28 04:59:59","101","1"
"20","2000","0","32","1","30","0","0","-1","2018/05/28 05:00:00","0","2018/05/31 04:59:59","102","1"
"21","2000","0","42","1","40","0","0","-1","2018/05/28 05:00:00","0","2018/05/31 04:59:59","102","1"
"22","2000","0","34","1","30","0","0","-1","2018/05/31 05:00:00","0","2018/06/10 04:59:59","103","1"
"23","2000","0","44","1","40","0","0","-1","2018/05/31 05:00:00","0","2018/06/10 04:59:59","103","1"
"24","2000","0","45","1","40","0","0","-1","2018/06/10 05:00:00","0","2018/06/20 04:59:59","104","1"
"25","2000","0","31","1","30","0","0","-1","2018/06/20 05:00:00","0","2018/06/25 04:59:59","101","1"
"26","2000","0","41","1","40","0","0","-1","2018/06/20 05:00:00","0","2018/06/25 04:59:59","101","1"
"27","2000","0","32","1","30","0","0","-1","2018/06/25 05:00:00","0","2018/06/30 04:59:59","102","1"
"28","2000","0","42","1","40","0","0","-1","2018/06/25 05:00:00","0","2018/06/30 04:59:59","102","1"
"29","2000","0","34","1","30","0","0","-1","2018/06/30 05:00:00","0","2018/07/10 04:59:59","103","1"
"30","2000","0","44","1","40","0","0","-1","2018/06/30 05:00:00","0","2018/07/10 04:59:59","103","1"
"31","2000","0","45","1","40","0","0","-1","2018/07/10 05:00:00","0","2018/07/20 04:59:59","104","1"
"32","2000","0","31","1","30","0","0","-1","2018/07/20 05:00:00","0","2018/07/25 04:59:59","101","1"
