2501fa31c4cb416fce0e4ed5dfa99d8bb3f740ec2f7f3d9920620406f66b5418,812de4da2ed7e2637864d0b6de97b2eb8e0afb8510123cba162bc87f0f819127,d7202a0ae2746e3ab2e4befb8776d169e7ecd6d352a8facfd855e86e1efea326,6f421a20b646823639e441ca34b74793652f57bdea64d36119decadcbe8fa77c,3733aa4b0fb2b33933a57aa4aa7e983c6e2c6eb191bb870a6f7aa0ff7bc8f7c1,6218e0567f209a7570257ed357ad85984c0913df2d8886b05812f8abd86d0453,cd6bc76e8bd898963b74985d9f2182f2cf48db7fa63b2b92b656b7e6b2d3dde3,06b90ce32f7c88dd3d375413cbe5cc3c9b765ba8ee234d76980817357d9dcdf1,caac846084acc71b6e0c55291eefeed9e7afe94f61a4cc491ff07385f00941ab,76107fdb2aa9f05b34c6a82a1a3ff03f0cfff8386159f4f00d30dfb194df5676,5d6c78679de37838d95c38181fe09c463cf30e79c86c22462ba1ef2cf993a486,fd6d111a2f1c48100a7d2c7e2d5822ca4407c162471ce6dd84a066f925504da8
"0","0","0.8","0","1","5154062","1","0","0","0","4","515406201"
"0","0","0","vo_abd","0","5154062","2","vo_abd_0101","0","0","2","515406202"
"2","0","0","0","0","5154062","3","0","1","300","1","515406203"
"0","0","2.1","0","1","5154062","4","0","0","0","4","515406204"
"0","0","0","vo_abd","0","5154062","5","vo_abd_0102","0","0","2","515406205"
"2.05","0","0","0","0","5154062","6","0","2","400","1","515406206"
"0","0","3.2","0","1","5154062","7","0","0","0","4","515406207"
"0","0","0","vo_abd","0","5154062","8","vo_abd_0103","0","0","2","515406208"
"1","0","0","0","0","5154062","9","0","3","60","1","515406209"
"0","0","1.4","0","1","5154062","10","0","0","0","4","515406210"
"2.5","60","0","0","0","5154062","11","0","3","430","1","515406211"
"0","0","3.3","0","1","5154062","12","0","0","0","4","515406212"
"0","0","0","vo_abd","0","5154062","13","vo_abd_0104","0","0","2","515406213"
"0.2","0","0","0","0","5154062","14","0","4","27","1","515406214"
"0","0","0.5","0","1","5154062","15","0","0","0","4","515406215"
"0.2","27","0","0","0","5154062","16","0","4","60","1","515406216"
"0","0","0.6","0","1","5154062","17","0","0","0","4","515406217"
"0.8","60","0","0","0","5154062","18","0","4","145","1","515406218"
"0","0","1.2","0","1","5154062","19","0","0","0","4","515406219"
"1.8","145","0","0","0","5154062","20","0","4","400","1","515406220"
"0","0","2.2","0","1","5154062","21","0","0","0","4","515406221"
"0","0","0","vo_abd","0","5154062","22","vo_abd_0105","0","0","2","515406222"
"0.6","0","0","0","0","5154062","23","0","5","95","1","515406223"
"0","0","1","0","1","5154062","24","0","0","0","4","515406224"
"0.7","95","0","0","0","5154062","25","0","5","195","1","515406225"
"0","0","1.5","0","1","5154062","26","0","0","0","4","515406226"
"0.8","195","0","0","0","5154062","27","0","5","315","1","515406227"
"0","0","1","0","1","5154062","28","0","0","0","4","515406228"
"0.7","315","0","0","0","5154062","29","0","5","415","1","515406229"
"0","0","2","0","1","5154062","30","0","0","0","4","515406230"
"0","0","0","vo_abd","0","5154062","31","vo_abd_0106","0","0","2","515406231"
"1","0","0","0","0","5154062","32","0","6","160","1","515406232"
"0","0","1.3","0","1","5154062","33","0","0","0","4","515406233"
"1","160","0","0","0","5154062","34","0","6","415","1","515406234"
"0","0","2.3","0","1","5154062","35","0","0","0","4","515406235"
"0","0","0","vo_abd","0","5154062","36","vo_abd_0107","0","0","2","515406236"
"0.7","0","0","0","0","5154062","37","0","7","85","1","515406237"
"0","0","0.8","0","1","5154062","38","0","0","0","4","515406238"
