d1857534e96ff58b2b1d123eeeaa393f3dd3612fb7b70c3c35b24ba51d211cb3,748926cdc5d7f5a199b4b1316ac8a87529ad24d0d6148f67807bb177e0e63b0b,893b1a8101c21b5bd9f2d8bc6450b83729dbcade165ca73300bda958617e082d,aa5d5bad4ae2c0ce75392461e0dcb6fce2142d27e9fae409166ae2e4319d558e,228c07a0deaa99e4abe5fe9dcfec4d16547294ea0bb06a206ae4a9c913fc5071,3ab83d816404a8167a17cc5d4fb92417300fbfad942b7fcceb221b38e32c28bf,8649803e6ab1191904274c893890bccb5a2f9cd07a929b0a9c6bafda6a8fc006,27123b261a9e950540cd3680d35f0ed5ee9cde65b7297f387993feadcbd24e0a,cfb4e7532f6fea64ae565ac0ad7d0ea1b9b0264af7d328338ee6e9d1e658c5bc,ce349f6249bbae6e22cd89d511d5e89c5b7aa302912fa908befe4e0290f0c821,d39bc3a1e923f5c6f14e44a8c42366862ac7e432c6c7aebcda12a3081e49c7f0,0486b302934b3fe532c9d95dd3e4e105e1d43b19f288699d42a086a1dbf2a4df,d5af2db8500949c3e19840cb884a3b07a6230c65b40aeebc65ef57005c07212f,6a2999fc5dda4c3bfdc8357aa5e82dfbe0d690c39904948ba6f56824c9738ed6,1d4cf9455b80719baaf175e4f21e8ab4aeb939c3348dcd983add3ea296afc819,3f8cfb8cdff85c68f7a4f8e368bd958403bd24ed8fc12cddaded74d78c18bd4b,f05420b8872c470e81b46458f3252ef01c8fb5b2dd072c2b9284c77763b6a3e5,8ef023c8b530cd85a3707ab495e11c55d388aad16599e2280b87b2d24b412559,c4032db41ec193c2abac98826962388b7d11a988ccd82078af5d7da1546035cf
"0","0","2","0","0","0","0","0","0","0","0","65","16","100101","10","0","1","1","75"
"0","0","3","0","0","0","0","0","0","0","0","185","68","100101","30","0","2","3","125"
"0","0","4","0","0","0","3","0","0","0","0","420","158","100101","60","0","4","7","260"
"0","0","5","0","0","0","7","0","0","0","0","810","293","100101","100","0","7","12","420"
"0","0","6","0","0","3","11","0","0","0","0","1340","486","100101","130","0","11","17","630"
"0","0","7","0","0","6","17","0","0","0","0","1660","731","100101","155","0","15","26","1235"
"9","0","8","0","10","9","24","0","0","0","0","2290","1030","100101","180","0","15","35","1795"
"23","0","9","0","40","9","27","0","0","0","0","2540","1459","100101","205","5","16","46","1795"
"37","0","10","0","100","9","35","0","10","0","0","2740","1941","100101","205","10","16","51","1795"
"37","0","11","3","158","9","44","0","20","0","0","3100","2439","100101","205","15","16","55","1795"
"37","0","12","36","198","9","46","0","20","0","0","3470","2871","100101","205","15","18","66","2045"
"37","0","13","56","251","9","54","0","20","0","0","3720","3345","100101","230","15","18","79","2045"
"37","0","14","56","328","9","68","0","20","0","0","3880","3840","100101","255","15","20","97","2045"
"37","0","15","56","448","9","82","0","20","0","0","3880","4412","100101","255","15","20","111","2045"
"37","0","16","59","586","9","94","0","20","0","0","3880","5015","100101","255","15","20","124","2045"
"37","0","17","62","711","9","103","0","20","0","0","3930","5656","100101","255","15","20","142","2045"
"37","0","18","62","856","9","119","0","20","0","0","3980","6351","100101","255","15","20","157","2045"
"37","0","19","62","984","9","135","0","20","0","0","4075","7154","100101","255","15","20","173","2045"
"37","0","20","62","1065","9","147","0","20","0","0","4270","8017","100101","255","15","20","203","2045"
