id,type,effect_id,category,icon_id,description,count_from,count_to
"1","1","52001","1","1","【料理】ダイスが2個に増える","0","0"
"2","1","52002","1","1","【料理】ダイスの目が必ず「1」になる","0","0"
"3","1","52002","3","2","【料理】次のターン数のカウントをスキップする","0","0"
"4","1","52004","1","1","【料理】ダイスの目が必ず「4」になる","0","0"
"5","1","52006","1","1","【料理】ダイスの目が\n「4・5・6」のみになる","0","0"
"6","1","52007","1","1","【料理】ダイスの目が1回目は必ず「3」に、2回目は必ず「6」になる","0","0"
"7","1","52003","1","1","【料理】ダイスの目が必ず「5」になる","0","0"
"8","1","52008","2","7","【料理】マイルマスの獲得マイルが200%アップする","0","0"
"9","2","4","3","2","【イベント】次のターン数のカウントをスキップする","0","0"
"10","2","5","2","3","【イベント】マイルマスの獲得マイルが100%アップする","0","0"
"11","2","6","2","5","【イベント】ミニゲームの獲得マイルが100%アップする","0","0"
"12","2","7","3","4","【イベント】マイルショップの全商品が20%以上割引される","0","0"
"13","1","52009","1","1","【料理】ダイスの目が1回目は必ず「8」に、2回目は必ず「1」になる","0","0"
"14","1","52010","2","6","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","0","0"
"15","1","52011","1","1","【料理】ダイスの目が1回目は必ず「2」に、2回目は必ず「7」になる","0","0"
"16","1","52012","1","1","【料理】ダイスの目が\n「1・2・3」のみになる","0","0"
"17","1","52012","3","2","【料理】次のターン数のカウントをスキップする","0","0"
"18","1","52014","1","8","【料理】移動時にマイルマスをスキップできる。","0","0"
"19","1","52005","1","1","【料理】次回移動時に1マス分多く進める。","0","0"
"20","1","52014","1","1","【料理】次回移動時に1マス分多く進める。","2","2"
"21","1","52015","1","1","【料理】ダイスが2個に増える","0","0"
"22","1","52015","1","1","【料理】次回移動時に1マス分多く進める。","0","0"
"23","1","52016","1","1","【料理】ダイスの目が必ず「6」になる","0","0"
