e288c889af88fa345fc51b430d1d64f29a72423cf15a1c2cab0cc4d3ebad4bbd,8bd817cdadfa158968d8044e42bb5f631c0337a33dcffe93829cac43f488fb6b,4a72944267ebc860585bfe632e8d76c3769e7c9955fbd8685e5ef10dfea95b27,236f9cb4edfb966ed8f1a269f6df62b3f50155cc28ab1d0d99998f91c0683cb6,09714572dfb275f58d99db66f3e87065254548a24eb9a23e3d4f7ea8102fd631,9497a3a3cb1f7b3f584251a0791e85f6cd187bc9b6a7e04d1bb29b86a201551d,ddaf69678efb70298e5af5c15c7896349ee5570ac1ca9455dc57ba48ba3cc240,bb5112b7d844b8b3f771000bced0a5f9e1cf02f115a0c68fad543045028c0148,57308c9b0e285464d67a19f124cdd1b3065525eac8233293ed38ffc1f4795638,7c3374447993feebd998a4de92ce600bcde3785208441789b318adbe62d3c5b5,dba735ca51f3e0ac86e9f428901f6423d2b81624de3d22ebc47ad9afbb6d8b6a,b553495c9bf292bee81d8c987fb0c6ddc2088d3f93d652991b3ee14d10bb609c
"2","1","107511","10140","0","0","10","0","0","浮き輪泳ぎ（黄）","103","10140101"
"2","1","107611","10140","0","0","15","0","0","浮き輪泳ぎ（青）","102","10140102"
"1","1","107711","10140","0","0","10","0","0","浮き輪泳ぎ（黄）","103","10140103"
"2","1","108011","10140","0","0","10","0","0","浮き輪泳ぎ（青）","102","10140106"
"2","1","110011","10140","0","0","10","0","0","浮き輪泳ぎ（ピンク）","101","10140107"
"1","1","110111","10140","0","0","10","0","0","浮き輪泳ぎ（ピンク）","101","10140108"
"1","1","110311","10140","0","0","3","0","0","浮き輪泳ぎ（黄）","103","10140109"
"2","1","110411","10140","0","0","10","0","0","浮き輪泳ぎ（青）","102","10140110"
"2","1","110511","10140","0","0","10","0","0","浮き輪泳ぎ（青）","102","10140111"
"2","1","110611","10140","0","0","50","0","0","浮き輪泳ぎ（ピンク）","101","10140112"
"1","1","113111","10140","0","0","5","0","0","浮き輪泳ぎ（青）","102","10140113"
"1","1","113211","10140","0","0","5","0","0","浮き輪泳ぎ（青）","102","10140114"
"1","1","113311","10140","0","0","5","0","0","浮き輪泳ぎ（青）","102","10140115"
"2","1","113411","10140","0","0","10","0","0","浮き輪泳ぎ（青）","102","10140116"
"2","1","113511","10140","0","0","10","0","0","浮き輪泳ぎ（青）","102","10140117"
"2","1","113611","10140","0","0","10","0","0","浮き輪泳ぎ（青）","102","10140118"
"1","1","115711","10140","0","0","5","0","0","浮き輪泳ぎ（青）","102","10140119"
"2","1","117011","10140","0","0","10","0","0","浮き輪泳ぎ（ピンク）","101","10140120"
"2","1","117111","10140","0","0","10","0","0","浮き輪泳ぎ（青）","102","10140121"
"2","1","117211","10140","0","0","10","0","0","浮き輪泳ぎ（青）","102","10140122"
"2","1","117311","10140","0","0","10","0","0","浮き輪泳ぎ（青）","102","10140123"
"2","1","117411","10140","0","0","10","0","0","浮き輪泳ぎ（ピンク）","101","10140124"
"2","1","122411","10140","0","0","10","0","0","浮き輪泳ぎ（黄）","103","10140125"
"1","1","122511","10140","0","0","5","0","0","浮き輪泳ぎ（青）","102","10140126"
"2","1","122611","10140","0","0","10","0","0","浮き輪泳ぎ（ピンク）","101","10140127"
"1","1","122711","10140","0","0","10","0","0","浮き輪泳ぎ（青）","102","10140128"
"1","1","122811","10140","0","0","10","0","0","浮き輪泳ぎ（黄）","103","10140129"
"1","1","122911","10140","0","0","10","0","0","浮き輪泳ぎ（ピンク）","101","10140130"
"1","1","126711","10140","0","0","5","0","0","浮き輪泳ぎ（ピンク）","101","10140132"
"2","1","126811","10140","0","0","10","0","0","浮き輪泳ぎ（黄）","103","10140133"
"2","1","126911","10140","0","0","30","0","0","浮き輪泳ぎ（青）","102","10140134"
"1","1","127011","10140","0","0","5","0","0","浮き輪泳ぎ（ピンク）","101","10140135"
"2","1","127111","10140","0","0","10","0","0","浮き輪泳ぎ（青）","102","10140136"
"2","1","129411","10140","0","0","10","0","0","浮き輪泳ぎ（黄）","103","10140138"
"2","1","129511","10140","0","0","10","0","0","浮き輪泳ぎ（ピンク）","101","10140139"
"2","1","107511","10140","0","0","10","0","0","バタ足","151","10140151"
"2","1","107611","10140","0","0","10","0","0","バタ足","151","10140152"
"1","1","107711","10140","0","0","10","0","0","バタ足","151","10140153"
"2","1","108011","10140","0","0","10","0","0","バタ足","151","10140156"
"2","1","110011","10140","0","0","10","0","0","バタ足","151","10140157"
"1","1","110311","10140","0","0","3","0","0","バタ足","151","10140159"
"2","1","110411","10140","0","0","10","0","0","バタ足","151","10140160"
"2","1","110511","10140","0","0","10","0","0","バタ足","151","10140161"
"1","1","113111","10140","0","0","5","0","0","バタ足","151","10140163"
"1","1","113211","10140","0","0","5","0","0","バタ足","151","10140164"
"1","1","113311","10140","0","0","5","0","0","バタ足","151","10140165"
"2","1","113411","10140","0","0","10","0","0","バタ足","151","10140166"
"2","1","113511","10140","0","0","10","0","0","バタ足","151","10140167"
"2","1","113611","10140","0","0","10","0","0","バタ足","151","10140168"
"1","1","115711","10140","0","0","5","0","0","バタ足","151","10140169"
"2","1","117011","10140","0","0","10","0","0","バタ足","151","10140170"
"2","1","117111","10140","0","0","10","0","0","バタ足","151","10140171"
"2","1","117211","10140","0","0","10","0","0","バタ足","151","10140172"
"2","1","117311","10140","0","0","10","0","0","バタ足","151","10140173"
"2","1","117411","10140","0","0","10","0","0","バタ足","151","10140174"
"2","1","122411","10140","0","0","10","0","0","バタ足","151","10140175"
"1","1","122511","10140","0","0","5","0","0","バタ足","151","10140176"
"2","1","122611","10140","0","0","10","0","0","バタ足","151","10140177"
"1","1","122811","10140","0","0","10","0","0","バタ足","151","10140179"
"1","1","122911","10140","0","0","10","0","0","バタ足","151","10140180"
"1","1","126711","10140","0","0","5","0","0","バタ足","151","10140182"
"2","1","126811","10140","0","0","10","0","0","バタ足","151","10140183"
"1","1","127011","10140","0","0","5","0","0","バタ足","151","10140185"
"2","1","129411","10140","0","0","10","0","0","バタ足","151","10140188"
"2","1","129511","10140","0","0","10","0","0","バタ足","151","10140189"
"2","1","107511","10140","0","0","10","0","0","平泳ぎ","201","10140201"
"2","1","107611","10140","0","0","10","0","0","平泳ぎ","201","10140202"
"1","1","107711","10140","0","0","10","0","0","平泳ぎ","201","10140203"
"2","1","108011","10140","0","0","20","0","0","平泳ぎ","201","10140206"
"2","1","110011","10140","0","0","10","0","0","平泳ぎ","201","10140207"
"1","1","110311","10140","0","0","3","0","0","平泳ぎ","201","10140209"
"2","1","110411","10140","0","0","10","0","0","平泳ぎ","201","10140210"
"2","1","110511","10140","0","0","10","0","0","平泳ぎ","201","10140211"
"1","1","113111","10140","0","0","5","0","0","平泳ぎ","201","10140213"
"1","1","113211","10140","0","0","5","0","0","平泳ぎ","201","10140214"
"2","1","113411","10140","0","0","10","0","0","平泳ぎ","201","10140216"
"2","1","113511","10140","0","0","10","0","0","平泳ぎ","201","10140217"
"2","1","113611","10140","0","0","10","0","0","平泳ぎ","201","10140218"
"1","1","115711","10140","0","0","5","0","0","平泳ぎ","201","10140219"
"2","1","117011","10140","0","0","10","0","0","平泳ぎ","201","10140220"
"2","1","117111","10140","0","0","10","0","0","平泳ぎ","201","10140221"
"2","1","117211","10140","0","0","10","0","0","平泳ぎ","201","10140222"
"2","1","117311","10140","0","0","10","0","0","平泳ぎ","201","10140223"
"2","1","117411","10140","0","0","10","0","0","平泳ぎ","201","10140224"
"2","1","122411","10140","0","0","10","0","0","平泳ぎ","201","10140225"
"1","1","122511","10140","0","0","5","0","0","平泳ぎ","201","10140226"
"2","1","122611","10140","0","0","10","0","0","平泳ぎ","201","10140227"
"1","1","126711","10140","0","0","5","0","0","平泳ぎ","201","10140232"
"2","1","126811","10140","0","0","10","0","0","平泳ぎ","201","10140233"
"1","1","127011","10140","0","0","5","0","0","平泳ぎ","201","10140235"
"2","1","129411","10140","0","0","10","0","0","平泳ぎ","201","10140238"
"2","1","129511","10140","0","0","10","0","0","平泳ぎ","201","10140239"
"2","1","107511","10140","0","0","10","0","0","潜水","251","10140251"
