edf2b75934034a2b29937662aa03fd656caaff749e97c1e52618aa95c36a75e4,de1635ffd17cf66d144b606889d8ab33c7025c64419cc84f542fad15cb8adbfc,4e53c27206b5213b1894745e2e9830628e20191b525d788615bed8091e9f4795,6228aa6294eda02c9defa3f1672b889cb689449e93d72f9ee6d363972804f73f,cf60a9d94850e7687a6ed3dd0b321e75410e51e79bbb8aa956106860bc06b79f,21f01bd62e26139758f1f6ee41f27e536b8b80e5a1a8f81d33b89bad95106a3d,4e2fd7623425e2bf4ac9753fcc5ef39770b39b35121f5c171ce7604d9a956fb8,cb75cef2cfcb07e5d801bace345fcc4b1dfe584a367b390af143319c54a64fdc,f3b47247c0d257e4f6965ce0760b46c3a9ba3f2f0bf5abf4a6e691ddcb084f91,3cb5ab73855d494fabc86ff9c13de92db66816d02e67c86eefa6d84144127adf,915bcebda4d5933e2866a22bccb01c30258b95573119303cec01763f0a65098d,1740c9c0784c7da04849fb664c6d245ef8e769923c7a8b2ea72ec81a98ee5645,a90b5765b523002af445537a3359f6cb94bc4a939d7fe702113f957c7235170d,f821d89b06f21fa696b138eba8cdb55015f548cd5b9801ab44e474c537bb44c9,8d0b2e021c733b704d10718ee0bef684f8c799459e144d3fe1082c79f6ace058,e51eb8297ee59bae1a5b3b1e6be8296b90ef6716e85fc6adb16ece7f832b15a6,f183c7914e4f4aed549ebace3e003f6ca7fcdba0374cd5859bc2c22e087b3d63,f7ed61e59be9367108ca2bb819993f25a38dd16ae28fc919cd10febe633322f3
"2","91002","0","5","1","1","20003","22003","0","12","2","94002","150","8","5","0","20","150000"
"2","91002","0","9","6","2","20003","22003","0","12","2","94002","145","8","2","0","15","100000"
"2","91002","0","19","10","3","20003","22002","0","12","2","94002","140","8","5","0","11","80000"
"2","91002","0","29","20","4","20003","22002","0","12","2","94002","130","8","5","0","10","80000"
"2","91002","0","39","30","5","20003","22002","0","12","2","94002","120","8","4","0","9","70000"
"2","91002","0","49","40","6","20003","22002","0","12","2","94002","110","8","4","0","8","70000"
"2","91002","0","99","50","7","20003","22002","0","12","2","94002","100","8","3","0","7","60000"
"2","91002","0","499","100","8","20003","22002","0","12","2","94002","80","8","2","0","2","40000"
"2","91002","0","999","500","9","20002","22002","0","12","2","94002","50","8","1","0","7","20000"
"2","91002","0","4999","1000","10","20002","22001","0","12","2","94002","20","8","3","0","4","16000"
"2","91002","0","9999","5000","11","20002","22001","0","12","2","94002","15","8","2","0","3","9000"
"2","91002","0","11999","10000","12","20001","22001","0","12","2","94002","10","8","1","0","8","4000"
"2","91002","0","13999","12000","13","20001","22001","0","12","2","94002","5","8","1","0","7","3000"
"2","91002","0","14999","14000","14","20001","22001","0","12","2","94002","4","8","1","0","6","2000"
"2","91002","0","30000","15000","15","20001","22001","0","12","2","94002","3","8","1","0","5","1800"
