3fb2b600b34d57756bbe2431c3f9610fe177b38add738f9d21e33458fc375e3c,58e6857128dfa113947b6844787009bffe1fa5bd91d2517276f18c4203cdb3a1,94e7ce97a97d124eed26c9734e2cb23429a13f899998162084452fc73cd04f56
"118301","20114","180701"
"118301","20115","180701"
"118401","20116","180701"
"118401","20117","180701"
"118401","20118","180701"
"120501","20123","180801"
"120401","20124","180801"
"120601","20125","180801"
"120401","20126","180801"
"120501","20127","180801"
"120601","20128","180801"
"120601","30157","180801"
"121801","20129","180901"
"121801","20130","180901"
"121701","20131","180901"
"121801","20132","180901"
"121701","20133","180901"
"121701","20134","180901"
"121701","20135","180901"
"124301","20148","181001"
"124301","20149","181001"
"124401","20150","181001"
"124401","20151","181001"
"128101","20167","181101"
"128101","20168","181101"
"128101","20169","181101"
"128101","20170","181101"
"128201","20171","181101"
"128201","20172","181101"
"128101","20175","181101"
