47de4a54e9fda7915b65bee872e5de395beab5a49099da95ce5af2a8e5d10d58,3f329117c913d4efaff774ee224d80636baa6cc4ee594e8a70e6e7456ddd8479,414ece8334837df4a0b7bfb52010481f2b290c9b5cbcadbfdf5fb5ccbea05701,e7ec43cb1b2f2fb16c6e3fe82277b465645ac212a2e000dc56ccce29ee8d3065,b90ee87f7391a176efad76bac71547af1312555a12c902e1eb68e1377572cb14
"1","シャドウ1体追加","74001102","ジータのシャドウが追加される。","add_shadow"
"2","シャドウ3体追加","74001103","ジータ、サレン（サマー）、アメスのシャドウが追加される。","add_shadow"
"3","シャドウ★6化","74001104","ノゾミのシャドウが★6になる。","star6_shadow"
"4","シャドウ3体追加","74001104","ジータ、サレン（サマー）、アメスのシャドウが追加される。","add_shadow"
"5","シャドウ★6化","74001105","ノゾミ、ジータ、キョウカのシャドウが★6にな\nる。","star6_shadow"
"6","シャドウ3体追加","74001105","ジータ、サレン（サマー）、アメスのシャドウが追加される。","add_shadow"
"7","シャドウ1体追加","74001202","ユカリのシャドウが追加される。","add_shadow"
"8","シャドウ3体追加","74001203","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","add_shadow"
"9","シャドウ★6化","74001204","ユカリとユイのシャドウが★6になる。","star6_shadow"
"10","シャドウ3体追加","74001204","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","add_shadow"
"11","シャドウ★6化","74001205","ミヤコ、ユカリ、マホ、ユイのシャドウが★6になる。","star6_shadow"
"12","シャドウ3体追加","74001205","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","add_shadow"
"13","ボス魔法ダメージカット","74001301","バトル開始時、ボスモンスターが魔法ダメージ20％カット状態になる。","boss_magic_cut"
"14","ボス魔法ダメージカット","74001302","バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。","boss_magic_cut"
"15","シャドウ1体追加","74001302","シズル（サマー）のシャドウが追加される。","add_shadow"
"16","開始時TP回復","74001303","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","energy_recover"
"17","ボス魔法ダメージカット","74001303","バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。","boss_magic_cut"
"18","シャドウ2体追加","74001303","シズル（サマー）とクリスティーナのシャドウが追加される。","add_shadow"
"19","ボスUB強化","74001304","ボスモンスターのユニオンバーストが強化される。","boss_ub_enhance"
"20","開始時TP回復","74001304","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","energy_recover"
