df1a35667ecd8ff5f9a27b84a8a4de231b581d4f6389de9f65e6900c255c72f8,89197c020c451c1b2c277bc7ba9ecda5bd45192f464fc2e3c6fc5406ef4e0378,33ee8a5b36e8c9827c1a9b0a0c5f138b3597022c62f85710c6640c83820af8cc,9ce2ac002ee1a43dbdf98475f123522c5a615e92df550040ba99292048460c34,2715e7e24b42b6ccf4b29611dd80424e2746568159bc45e1a558f480fa938120,74116bf5b750b6e9e75e8172f5b328222d096f69e596b8583cf56113f08421f5,1d869ed30d295f5ace246ad4e263ecf58147a00357a03fa9308a1a7e0da24ddc,6fd4b93b90ef16e71e9e5cf593155860d89aedabe10751286b9094d5ba8150b1,a9ad96ad11bad8291d2ed81696393f9456b77089941f6a67355f0087c816fbd3,36d28a0e1b8f0ca6093e126e61e1a57c0edf2aa72af5c758468fc357d9c07f6d,1bd9f05aad542f49cc7d090f6bee1d992cecaca60ed0c39c8e214ef4505bf2a7,d0a57a5021f41856903c7c93a57468cce90199774e943449b9c5cc98aa70bf65,dd672eff2c827606a82809f3d81f77f94e5353e1a904bf4d600fbd79b96d1e61,59826b7ba550a6e81fe99ae99abe21ae3df6e6b5da0188e322fc3e98726f1048,6d41a67e7928b5c1a7134ea2b1d921803651b9d3983d0ca25d2758d6f8873ddf,e6d99908d87534826330691e564a162ca544814e82e4edd05df4cf6998ea4f35
"70","401","455","2","101","301","-110","215","1","1008201","501","1","980","201","3","2"
"70","402","230","2","102","302","-110","215","2","1008202","502","1","515","202","3","2"
"70","403","230","2","103","303","-110","215","3","1008203","503","1","515","203","3","1"
"70","404","230","2","104","304","-110","215","4","1008204","504","1","515","204","3","1"
"78","405","355","2","105","305","-110","233","5","1008205","505","1","787","205","3","2"
"78","406","355","2","106","306","-110","233","6","1008206","506","1","787","206","3","3"
"88","407","345","2","107","307","-110","233","7","1008207","507","1","777","207","3","3"
"88","408","345","2","108","308","-110","233","8","1008208","508","1","777","208","3","1"
"88","409","345","2","109","309","-110","233","9","1008209","509","1","777","209","3","1"
"88","410","355","2","110","310","-110","233","10","1008210","510","1","810","210","3","3"
"88","411","345","2","111","311","-110","233","11","1008211","511","1","777","211","3","2"
"70","412","230","2","112","312","-110","215","12","1008212","512","1","515","212","3","2"
"78","413","355","2","113","313","-110","233","13","1008213","513","1","810","213","3","1"
"70","414","230","2","114","314","-110","215","14","1008214","514","1","515","214","3","1"
"70","415","230","2","115","315","-110","215","15","1008215","515","1","515","215","3","3"
"70","416","275","2","116","316","-110","215","16","1008216","516","1","655","216","3","2"
"70","417","230","2","117","317","-110","215","17","1008217","517","1","515","217","3","3"
"88","418","345","2","118","318","-110","233","18","1008218","518","1","777","218","3","3"
