50ead598366b74f505ab99025bc523511296767a9bef7cebd5e05083afae0726,282a1ea678c92bdf2047f5976d542896f9640e24c0c47a5d81ccf8753ced1a86,4d9386d46128d0e205239604731367f4c8f2a743299ef29fc2f93fcdb94a3eb0,0f9e542eceaefd1c480f412ea586926f7adce0912e7fd380819dc7eee811f488,617717901f1b6a128426341c953f1b8232d089cf9cda84e3c5e24bc79dac4476,a71e6726a84322327fcfbc4a8cd6d7c160fe5e7b6e2556ef73cf112d9469a657,b9a996d4bdab5b6209c83670857bd3a58771be9342893ba6a855f0ac46f4697c,7dac878f9dbcd7660cd0811b827dade977b74a50b84e6c841d1b23d3fbf60570,e9fb2748640b61a1a59b1b96c8d91adcc66a2b605c2a6db6c036251f0ac73984,a88f25f295f07b0ef4e34a3e034c544eb82f002281fc122ce278f81e16510edf,c4aa40b173077ed30c966dbb8004f33cb4b962c6a75534e85077cd157d764cfd,5ac013bcef33da809633f5e14cced5b59a350a0702b106dd1690f197582573be,f8a9a63794700bdac0c9ecc8bc4b954bb568339d0316cedf5ffca6573629dd08,531660ebd5642e3bfab1cdc613bc11a6ad482b2eb9f11146722ae3798c9a7d11,186afc9a9899bb5588bb3013708c1f899f70c6d47bed308df585c4b485d36a32
"113","11","0","0","2816","112","540","1","0","0","0","111","1","100","2022/02/15 5:00:00"
"213","21","0","0","2816","212","493","1","0","0","0","211","2","100","2022/02/16 5:00:00"
"313","31","0","0","2816","312","458","1","0","0","0","311","3","100","2022/02/17 5:00:00"
"413","41","0","0","2816","412","420","1","0","0","0","411","4","100","2022/02/18 5:00:00"
"513","51","0","0","2816","512","380","1","0","0","0","511","5","100","2022/02/19 5:00:00"
"613","61","0","0","2816","612","340","1","0","0","0","611","6","100","2022/02/20 5:00:00"
"713","71","0","0","2816","712","430","1","0","0","1","711","7","100","2022/02/21 5:00:00"
"813","81","0","0","2816","812","402","1","0","0","1","811","8","100","2022/02/22 5:00:00"
"913","91","0","0","2816","912","302","1","0","0","1","911","9","100","2022/02/23 5:00:00"
"1013","101","0","0","2816","1012","264","1","0","0","1","1011","10","100","2022/02/24 5:00:00"
"1113","111","0","0","2816","1112","225","1","0","0","1","1111","11","100","2022/02/25 5:00:00"
"1213","121","0","0","2816","1212","328","1","0","0","1","1211","12","100","2022/02/26 5:00:00"
"1313","131","0","0","2816","1312","280","1","0","0","1","1311","13","100","2022/02/27 5:00:00"
"1413","141","0","0","2816","1412","269","1","0","0","1","1411","14","100","2022/02/28 5:00:00"
"1513","151","0","0","2816","1512","180","1","0","0","1","1511","15","100","2022/03/01 5:00:00"
"1613","161","0","0","2816","1612","138","1","0","0","1","1611","16","100","2022/03/02 5:00:00"
"1713","171","0","0","2816","1712","97","1","0","0","1","1711","17","100","2022/03/03 5:00:00"
"1813","181","0","0","2816","1812","56","1","0","0","1","1811","18","100","2022/03/04 5:00:00"
"1913","191","0","0","2816","1912","150","1","0","0","1","1911","19","100","2022/03/05 5:00:00"
"2013","201","0","0","2816","2012","100","1","0","0","1","2011","20","100","2022/03/06 5:00:00"
"2113","211","0","0","2816","2112","15","1","0","0","1","2111","21","100","2022/03/07 5:00:00"
"2213","221","0","0","2816","2212","-25","1","0","0","1","2211","22","100","2022/03/08 5:00:00"
"2313","231","0","0","2816","2312","-66","1","0","0","1","2311","23","100","2022/03/09 5:00:00"
"2413","241","0","0","2816","2412","-107","1","0","0","1","2411","24","100","2022/03/10 5:00:00"
"2513","251","0","0","2816","2512","-149","1","0","0","1","2511","25","100","2022/03/11 5:00:00"
"2613","261","0","0","2816","2612","-188","1","0","0","1","2611","26","100","2022/03/12 5:00:00"
"2713","271","0","0","2816","2712","-96","1","0","0","1","2711","27","100","2022/03/13 5:00:00"
"2813","281","0","0","2816","2812","-133","1","0","0","1","2811","28","100","2022/03/14 5:00:00"
"2913","291","0","0","2816","2912","-174","1","0","0","1","2911","29","100","2022/03/15 5:00:00"
"3013","301","0","0","2816","3012","-230","1","0","0","1","3011","30","100","2022/03/16 5:00:00"
"3113","311","0","0","2816","3112","-272","1","0","0","1","3111","31","100","2022/03/17 5:00:00"
"3213","321","0","0","2816","3212","-313","1","0","0","1","3211","32","100","2022/03/18 5:00:00"
"3313","331","0","0","2816","3312","-240","1","0","0","1","3311","33","100","2022/03/19 5:00:00"
"3413","341","0","0","2816","3412","-260","1","0","0","1","3411","34","100","2022/03/20 5:00:00"
"3513","351","0","0","2816","3512","-280","1","0","0","1","3511","35","100","2022/03/21 5:00:00"
"3613","361","0","0","2816","3612","-354","1","0","0","1","3611","36","100","2022/03/22 5:00:00"
"3713","371","0","0","2816","3712","-395","1","0","0","1","3711","37","100","2022/03/23 5:00:00"
"3813","381","0","0","2816","3812","-436","1","0","0","1","3811","38","100","2022/03/24 5:00:00"
"3913","391","0","0","2816","3912","-477","1","0","0","1","3911","39","100","2022/03/25 5:00:00"
"4013","401","0","0","2816","4012","-400","1","0","0","1","4011","40","100","2022/03/26 5:00:00"
