0c95ed8f9894a22c00d70bc314c93f707608925db2198b1afe38d0ea6430ed78,ba99d39523fa99ae35c49a74d28a5adb811aab8f3570b8ed85df311c5a914d13,f057bf6b7af5b37872e2b58ae4583a7294c42aa6ae00b7ec198c4ba9b3a49e0a
"1","175000001","75000001"
"2","175000002","75000002"
"3","175000003","75000003"
"4","175000004","75000004"
"5","175000005","75000005"
"6","175000006","75000006"
"7","175000007","75000007"
"8","175000008","75000008"
"9","175000009","75000009"
"10","175000010","75000010"
"11","175000011","75000011"
"12","175000012","75000012"
