80d0ac449933ec5cac83ba9eec1977b1cf3452a796a1e6738b06944b5dbb6ee8,6c5acdacef8c8c8afebd5f528f2b3a76ffcb515f5c1de68757bcb783e1949a8e,7c71cfa9625430229a9ea1aca299ec1a2a60ed6beefdde46e945eca629d2d8d0,95c0017e2efadffbfaeb3798b5060131547114226ca3ebba3ad671590accd232,4d197f2e4f73e2e127a58d58b0418cb4154220fe481853ab56827d738dedb06e
"add_shadow","74001102","ジータのシャドウが追加される。","シャドウ1体追加","1"
"add_shadow","74001103","ジータ、サレン（サマー）、アメスのシャドウが追加される。","シャドウ3体追加","2"
"star6_shadow","74001104","ノゾミのシャドウが★6になる。","シャドウ★6化","3"
"add_shadow","74001104","ジータ、サレン（サマー）、アメスのシャドウが追加される。","シャドウ3体追加","4"
"star6_shadow","74001105","ノゾミ、ジータ、キョウカのシャドウが★6にな\nる。","シャドウ★6化","5"
"add_shadow","74001105","ジータ、サレン（サマー）、アメスのシャドウが追加される。","シャドウ3体追加","6"
"add_shadow","74001202","ユカリのシャドウが追加される。","シャドウ1体追加","7"
"add_shadow","74001203","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","シャドウ3体追加","8"
"star6_shadow","74001204","ユカリとユイのシャドウが★6になる。","シャドウ★6化","9"
"add_shadow","74001204","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","シャドウ3体追加","10"
"star6_shadow","74001205","ミヤコ、ユカリ、マホ、ユイのシャドウが★6になる。","シャドウ★6化","11"
"add_shadow","74001205","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","シャドウ3体追加","12"
"boss_magic_cut","74001301","バトル開始時、ボスモンスターが魔法ダメージ20％カット状態になる。","ボス魔法ダメージカット","13"
"boss_magic_cut","74001302","バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。","ボス魔法ダメージカット","14"
"add_shadow","74001302","シズル（サマー）のシャドウが追加される。","シャドウ1体追加","15"
"energy_recover","74001303","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","開始時TP回復","16"
"boss_magic_cut","74001303","バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。","ボス魔法ダメージカット","17"
"add_shadow","74001303","シズル（サマー）とクリスティーナのシャドウが追加される。","シャドウ2体追加","18"
"boss_ub_enhance","74001304","ボスモンスターのユニオンバーストが強化される。","ボスUB強化","19"
"energy_recover","74001304","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","開始時TP回復","20"
"boss_magic_cut","74001304","バトル開始時、ボスモンスターが魔法ダメージ70％カット状態になる。","ボス魔法ダメージカット","21"
"add_shadow","74001304","シズル（サマー）とクリスティーナのシャドウが追加される。","シャドウ2体追加","22"
"limit_time","74001305","バトル時間が60秒になる。","バトル時間制限","23"
"boss_ub_enhance","74001305","ボスモンスターのユニオンバーストが強化される。","ボスUB強化","24"
"energy_recover","74001305","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","開始時TP回復","25"
"boss_magic_cut","74001305","バトル開始時、ボスモンスターが魔法ダメージ100％カット状態になる。","ボス魔法ダメージカット","26"
"add_shadow","74001305","シズル（サマー）とクリスティーナのシャドウが追加される。","シャドウ2体追加","27"
"boss_physics_cut","74001401","バトル開始時、ボスモンスターが物理ダメージ20％カット状態になる。","ボス物理ダメージカット","28"
"boss_physics_cut","74001402","バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。","ボス物理ダメージカット","29"
"add_shadow","74001402","クウカ（オーエド）のシャドウが追加される。","シャドウ1体追加","30"
"energy_recover","74001403","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","開始時TP回復","31"
"boss_physics_cut","74001403","バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。","ボス物理ダメージカット","32"
"add_shadow","74001403","クウカ（オーエド）とネネカのシャドウが追加される。","シャドウ2体追加","33"
"boss_ub_enhance","74001404","ボスモンスターのユニオンバーストが強化される。","ボスUB強化","34"
"energy_recover","74001404","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","開始時TP回復","35"
"boss_physics_cut","74001404","バトル開始時、ボスモンスターが物理ダメージ70％カット状態になる。","ボス物理ダメージカット","36"
"add_shadow","74001404","クウカ（オーエド）とネネカのシャドウが追加される。","シャドウ2体追加","37"
"limit_time","74001405","バトル時間が60秒になる。","バトル時間制限","38"
"boss_ub_enhance","74001405","ボスモンスターのユニオンバーストが強化される。","ボスUB強化","39"
