b0cd4096fdeaa7bef2009b32d98b691dd63645abc2c4003ce4fcedb77be0fd92,fa337bc1e452a310e1314654680e230528e8e87cb3704584925a569142a371c3,2231890bd03941c77dfa992251ef7c82ca8424d413dac475791fa6d7b465a858,ee4a959b431a86688f0d60919f830f39cbf279bb3699220b0cfe56a721df5a60,d992359c11bb078e84bcd2ae4cc815670436b926abce6b26fc7ff7c75b806e55,be8b748252c0ff839bd4c449f82ee3f974444150602143bc1a6d6a0bf5334748,bb40b0ba54d894b592cd7e56dbaa0a6767906d4f2755f280d239c7e8d4468861,9f3f1c78b281d0200dc60645e30720371bab3d276f637cd6a93a3f751a514c8c,d5ecfa1cef5a2e918870a7dd03de1b90ec1dda1aaa25623bd20d7089ef175401,409ca9b948c6ae35824a1f79f7e0e7b8718c3041150f28cdc0dd5adc5d09029f
"パグ","0","1","バク","0","2110001","0","0","ハグ","バグ"
"手首","0","1","テクニック","0","2110003","0","0","テイク","テクノロジー"
"ゆきやけ","0","1","ふぶき","0","2110005","0","0","じひびき","なだれ"
"大理石","0","1","化石","0","2110006","0","0","黒曜石","磁石"
"ミスト","0","1","リバー","0","2110007","0","0","ガルフ","オーシャン"
"カットマーク","0","1","ラットマーク","0","2110008","0","0","バットマーク","アットマーク"
"建物の中の場所","0","1","太陽があたらない場所","0","2110010","0","0","いつもすずしい場所","太陽の日があたる場所"
"バレンタインデート","0","1","ダブルデート","0","2110011","0","0","ハッピーデート","アップデート"
"バリケード","0","1","ブルドーザー","0","2110012","0","0","オブリガード","ブリザード"
"火星","0","1","月","0","2110014","0","0","地球","太陽"
"新幹線","0","1","放物線","0","2110016","0","0","電話線","地平線"
"青歴史","0","1","白歴史","0","2110018","0","0","赤歴史","黒歴史"
"みそ","0","1","みりん","0","2110019","0","0","お酢","しょうゆ"
"顔","0","1","お腹","0","2110021","0","0","手のひら","背中"
"看板","0","1","ガラス板","0","2110022","0","0","ベニヤ板","鉄板"
"エンコード","0","1","プレスコード","0","2110023","0","0","バーコード","ドレスコード"
"まくおとし","0","1","だるまおとし","0","2110024","0","0","やくおとし","こけらおとし"
"ライン","0","1","コイル","0","2110025","0","0","ライス","コイン"
"パラソル","0","1","パラレル","0","2110026","0","0","ナチュラル","アパレル"
"薄塗り","0","1","ぼかし","0","2110028","0","0","上塗り","透かし"
"胃薬","0","1","風邪薬","0","2110031","0","0","塗り薬","目薬"
"石の上","0","1","のれん","0","2110032","0","0","馬の耳","ぬか"
"豆腐","0","1","なみだ","0","2110034","0","0","カナブン","金棒"
"サイダー","0","1","レモネード","0","2110035","0","0","コーラ","水"
"四度","0","1","一度","0","2110036","0","0","二度","三度"
"メガネ","0","1","髪の毛","0","2110037","0","0","手ぬぐい","たんこぶ"
"天国","0","1","光","0","2110038","0","0","極楽","闇"
"あんみつ","0","1","団子","0","2110039","0","0","ようかん","ぼた餅"
"あぶ","0","1","はえ","0","2110040","0","0","か","はち"
"猫","0","1","猿","0","2110041","0","0","羊","馬"
"土","0","1","風","0","2110042","0","0","火","水"
"水","0","1","寒","0","2110043","0","0","氷","冷"
"脇","0","1","韓","0","2110044","0","0","散","朝"
"生卵","0","1","生麦","0","2110045","0","0","生米","生姜"
"占星","0","1","先生","0","2110046","0","0","先制","宣誓"
"気性","0","1","気象","0","2110047","0","0","希少","起床"
"未","0","1","非","0","2110049","0","0","無","不"
"未","0","1","不","0","2110050","0","0","無","非"
"未","0","1","不","0","2110051","0","0","非","無"
"無","0","1","不","0","2110052","0","0","非","未"
"有名無実","0","1","馬耳東風","0","2110053","0","0","一日千秋","三日坊主"
"きつね","0","1","ねこ","0","2110054","0","0","いぬ","たぬき"
"あしのうら","0","1","くつひも","0","2110056","0","0","てぶくろ","たび"
"万 ","0","1","十","0","2110058","0","0","千","百"
"七","0","1","九","0","2110060","0","0","八","十"
"ハイテンション","0","1","ジャッジメント","0","2111001","0","0","アジテーション","ハッピーエンド"
"夢はスーパースター☆☆★","0","1","ちぇる～ん☆","0","2111002","0","0","やばいですね★","どるるるる～ん★"
"二つの角を頭部に持つ","0","1","獣の耳と尻尾がある","0","2111003","0","0","最も人口が多い","尖った長い耳"
"キャォン","0","1","クォン","0","2111004","0","0","パォン","カォン"
"教育","0","1","輝く","0","2111005","0","0","高価","成長"
"金","0","1","銅","0","2120002","0","0","鉄","銀"
"モツ","0","1","ラバー","0","2120004","0","0","ハツ","レバー"
"ストレス","0","1","タケウマ","0","2120005","0","0","バシャウマ","トラウマ"
"雷雨","0","1","秒雨","0","2120006","0","0","分雨","時雨"
"金","0","1","銀","0","2120009","0","0","銅","鉄"
"大白柱","0","1","大赤柱","0","2120011","0","0","大青柱","大黒柱"
"電灯","0","1","電車","0","2120012","0","0","電源","電報"
"みそ","0","1","しょうゆ","0","2120013","0","0","お酢","みりん"
"こいめ","0","1","ですぎ","0","2120014","0","0","しぶみ","でがらし"
"じょうず","0","1","うわて","0","2120016","0","0","じょうしゅ","かみて"
"よるせき","0","1","よりせき","0","2120017","0","0","よせき","よせ"
"レールウェイ","0","1","ロングウェイ","0","2120018","0","0","フライアウェイ","フリーウェイ"
"念仏","0","1","釘","0","2120021","0","0","腕押し","かすがい"
"尻","0","1","眉","0","2120022","0","0","鼻","爪"
