b55b04c4e4f874fdc8319da6f75fd12615e5e91db962a5ba01dfba125dbd6344,ad43fb271c0ba085b6047e12ff0962976dca15433a2dc2380b60761877bb1483,a02a9478f247239f3d6ceb737f8945fe3edadf8ab7e8940cab87c5809619558d,7c8ea924d0be2a214e9ba07f92133e78c5ddbf0a0f1b96e4c51e03a717ce4b24,6abe01d001a6afa30a0ba937250919e493d94febad6b1a99e868515a264bc569,3a3c69d492ae2b5244de5c4b2756ac80880600cb25aead49b0f67d81f233e855,0218e26935b5bc2b7d331043fa6844453aa8ca1ce91fc6be9ea003f4ba3e6f9b,6bc171b80edb9120cbfd259b1fc28e731928506e2fd15dd515f40e753ac86d38,3ad14e527985a270d3aec57808f2488d07c99e344e5ce55952eb45bbe9a1c590,b058af091bdc5e31388a9616e0f0eae2ce3ddf7290998c36897e6d0ff9981cca,9461460570656675056b4ee67f6ffc518451852072133503fd082338dc6d16fd
"1","122611","1","1001","1","40","-194","100","sjr_talk_idle","1","1.65"
"1","sjr_talk_wish_look","","1002","122611","","","1","","3","0.2"
"1","vo_minigame_1010_top_talk_1_001","","1003","vo_minigame_1010","0","","0","","21",""
"1","騎士クン…見ててね\nわたし、頑張って\n走るから…！","0","1004","122611","1","0","10","1","11","0"
"1","","","1005","0","","","","","91",""
"1","sjr_talk_idle","","1006","122611","","","1","","3","0.2"
"2","122611","1","2001","1","40","-194","100","sjr_talk_idle","1","1.65"
"2","sjr_talk_mouth_hidden_shy","","2002","122611","","","1","","3","0.2"
"2","vo_minigame_1010_top_talk_1_002","","2003","vo_minigame_1010","0","","0","","21",""
"2","水着のまま走るの…？\nうぅ…恥ずかしい…\nもし、外れたりしたら\nどうしよう…","0","2004","122611","1","0","7","1","11","0"
"2","","","2005","0","","","","","91",""
"2","sjr_talk_idle","","2006","122611","","","1","","3","0.2"
"3","122611","1","3001","1","40","-194","100","sjr_talk_idle","1","1.65"
"3","sjr_talk_stepback_surprise_worry","0","3002","122611","sjr_talk_stepback_worry","1","0","","3","0.2"
"3","vo_minigame_1010_top_talk_1_003","","3003","vo_minigame_1010","0","","0","","21",""
"3","あ、あの人すごく\n速そう…！\nわたし、勝てるかな…","0","3004","122611","1","0","8","1","11","0"
"3","","","3005","0","","","","","91",""
"3","sjr_talk_idle","","3006","122611","","","1","","3","0.2"
"4","122611","1","4001","1","40","-194","100","sjr_talk_idle","1","1.65"
"4","sjr_talk_thinking_surprise","","4002","122611","","","1","","3","0.2"
"4","vo_minigame_1010_top_talk_1_004","","4003","vo_minigame_1010","0","","0","","21",""
"4","変わったコースが\nいっぱいあるね\nどれに出ようかな…","0","4004","122611","1","0","6","1","11","0"
"4","","","4005","0","","","","","91",""
"4","sjr_talk_idle","","4006","122611","","","1","","3","0.2"
"5","122611","1","5001","1","40","-194","100","sjr_talk_idle","1","1.65"
"5","sjr_talk_guts2_anger","0","5002","122611","sjr_talk_guts2_anger_loop","1","0","","3","0.2"
"5","vo_minigame_1010_top_talk_1_005","","5003","vo_minigame_1010","0","","0","","21",""
"5","レイちゃんと\nヒヨリちゃん…\n二人に負けないよう\nわたしも全力で…！","0","5004","122611","1","0","7","1","11","0"
