a233ede257c0a2c3f7519f858d07e0018172180c70a6c6be394713a81cc71955,89db282104ab960e6dd6723c77a2228b925fba9129622dacea0354e329471bea,a54ec7491b0f4d25795d8ad56f81173166d2cf40481ee5cd122f04c3b4a5b214
"180701","20114","118301"
"180701","20115","118301"
"180701","20116","118401"
"180701","20117","118401"
"180701","20118","118401"
"180801","20123","120501"
"180801","20124","120401"
"180801","20125","120601"
"180801","20126","120401"
"180801","20127","120501"
"180801","20128","120601"
"180801","30157","120601"
"180901","20129","121801"
"180901","20130","121801"
"180901","20131","121701"
"180901","20132","121801"
"180901","20133","121701"
"180901","20134","121701"
"180901","20135","121701"
"181001","20148","124301"
"181001","20149","124301"
"181001","20150","124401"
"181001","20151","124401"
"181101","20167","128101"
"181101","20168","128101"
"181101","20169","128101"
"181101","20170","128101"
"181101","20171","128201"
"181101","20172","128201"
"181101","20175","128101"
