82fca6f249bc416b6eb23c552a668a4f464b124b9525d77f3af965d96a0c1cd5,5e03a6bd149edac52f569109b149dfe7109b70359662ead83b6416c291d0cc27,b8613356e82459ffb8f40e0725bcd8295534cd05662ce03fb745ef5f4e85aee2,49fa09b669a135007255714ff3ac7121c4cf81ca5bf1482831dbae5910b4df59
"1","1","10000","ＨＰ"
"2","1","10000","物理攻撃力"
"3","1","10000","物理防御力"
"4","1","10000","魔法攻撃力"
"5","1","10000","魔法防御力"
"6","1","10000","物理クリティカル"
"7","1","10000","魔法クリティカル"
"8","0","1","回避"
"9","0","1","ＨＰ吸収"
"10","0","1","ＨＰ自動回復"
"11","0","1","ＴＰ自動回復"
"12","0","1","物理貫通ダメージ"
"13","0","1","魔法貫通ダメージ"
"14","0","1","ＴＰ上昇"
"15","0","1","回復量上昇"
"16","0","1","ＴＰ消費軽減"
"17","0","1","命中"
"100","1","100","物理クリティカルダメージ"
"101","1","100","魔法クリティカルダメージ"
"102","1","100","物理与ダメージ"
"103","1","100","魔法与ダメージ"
"104","1","10000","属性ボーナス"
