b6d9b2f922c47374caa95d5fde447fc14a36122ac4a9e30a59bb844482125a16,15733abf1e6889fd881f405f3cb1b51fbbc3a126108881af0b1988883ea22b2e,07756e32caa2eb1f3fb083694463a13b0e9aa275f27488d56f158d781d7457bf,a9f9b0d168320172d8dc7c60ba04777435502c7cba6a350cbf785393dadcf0db,7cb561504840c67ae2e9342bab31ba5fbf0f6ecd96309fb4b0ad2c52a2777add
"0","3030100","1","0","1"
"0","3050100","1","0","2"
"0","3040100","1","0","3"
"0","3020100","1","0","4"
"0","2040100","1","0","5"
"0","2040100","2","0","5"
"0","2020100","1","0","6"
"0","2020100","2","0","6"
"0","1030100","1","314","7"
"0","4030100","1","0","8"
"0","1050100","1","502","9"
"0","4020100","1","0","10"
"0","2030100","1","0","11"
"0","2030100","2","0","11"
"10301010","3040100","1","0","12"
"0","1020100","1","202","13"
"20201010","1040102","1","406","14"
"0","1010200","1","105","15"
"0","2010200","2","0","15"
"0","2010200","3","0","15"
"0","3050200","1","0","16"
"0","3040200","1","0","17"
"0","3020200","1","0","18"
"0","2040200","1","0","19"
"0","2040200","2","0","19"
"0","2020200","1","0","20"
"0","2020200","2","0","20"
"0","1030200","1","315","21"
"0","1020200","1","205","22"
"0","1050200","1","509","23"
"0","4020200","1","0","24"
"0","2030200","1","0","25"
"0","2030200","2","0","25"
"0","4030200","1","0","26"
"10101020","3020200","1","0","27"
"20201020","1040200","1","408","28"
"10101020","3040200","1","0","29"
"10101020","3010200","1","0","30"
"0","1010300","1","102","31"
"0","2010300","2","0","31"
"0","2010300","3","0","31"
"0","3050300","1","0","32"
"0","3040300","1","0","33"
"0","3020300","1","0","34"
"0","2040300","1","0","35"
"0","2040300","2","0","35"
"0","2020300","1","0","36"
"0","2020300","2","0","36"
"0","1030300","1","306","37"
"0","1020300","1","206","38"
"0","1050300","1","502","39"
"0","4020300","1","0","40"
"0","2030300","1","0","41"
"0","2030300","2","0","41"
"0","4030300","1","0","42"
"10101030","3020300","1","0","43"
"20201030","1040300","1","406","44"
"10101050","3010300","1","0","45"
"10101050","3040300","1","0","46"
"10101050","3030300","1","0","47"
"10101050","3010300","1","0","48"
"10101050","3020300","1","0","49"
"30102050","1010300","1","112","50"
