d337cb16d04f411255794926d5ca7e37690c31e63549e97d74f9586e35a02b2c,e53b6741b89954802b339dfa3e1c9743995ffdd59e7cd2c3761f6fa170e47912,4549d552c30185a9aa67ff0375de4dc44b486e9bc20fd0e8854e5887e6cdb209,31a5c35cbe691c3d39316f946f669822bf94a60e752ac518d2fe53ee4e175146,9df3ab9449bcd00ccaae38854451af3757362d952f60984fed881a929bfb6851,752aa49c548121dfb203c12b448de5d2ee559a3b3ffb0c9feff63237aaebf9c0,21d5eb17a6d6d979dead111bf6ac582b914fd2115305e5ad62a5f8871bbfc624
"1","10004","BOSS討伐で解放！\n残り{0}体","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","71004025","107601","[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]"
"2","10005","BOSS討伐で解放！\n残り{0}体","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","71005025","108001","[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]"
"3","10007","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71007031","108201","[3C404E]ボスNORMAL討伐で解放！"
"4","10009","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71009031","108501","[3C404E]ボスNORMAL討伐で解放！"
"5","10010","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71010031","108901","[3C404E]ボスNORMAL討伐で解放！"
"6","10011","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71011031","109001","[3C404E]ボスNORMAL討伐で解放！"
"7","10013","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71013031","109301","[3C404E]ボスNORMAL討伐で解放！"
"8","10017","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71017031","109801","[3C404E]ボスNORMAL討伐で解放！"
"9","10019","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71019031","110101","[3C404E]ボスNORMAL討伐で解放！"
"10","20004","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72004021","107601","[3C404E]ボスNORMAL討伐で解放！"
"11","10021","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71021035","110501","[3C404E]ボスNORMAL討伐で解放！"
"12","20005","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72005021","108001","[3C404E]ボスNORMAL討伐で解放！"
"13","10025","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71025031","111201","[3C404E]ボスNORMAL討伐で解放！"
"15","10026","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71026031","108201","[3C404E]ボスNORMAL討伐で解放！"
"16","10029","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71029031","111601","[3C404E]ボスNORMAL討伐で解放！"
"17","10030","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71030031","108501","[3C404E]ボスNORMAL討伐で解放！"
"18","10031","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71031031","112101","[3C404E]ボスNORMAL討伐で解放！"
"19","10032","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71032031","108901","[3C404E]ボスNORMAL討伐で解放！"
"20","10033","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71033031","112301","[3C404E]ボスNORMAL討伐で解放！"
"21","10035","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71035031","112601","[3C404E]ボスNORMAL討伐で解放！"
"22","10034","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71034031","109001","[3C404E]ボスNORMAL討伐で解放！"
"24","10039","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71039031","109301","[3C404E]ボスNORMAL討伐で解放！"
"25","10042","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71042031","113001","[3C404E]ボスNORMAL討伐で解放！"
"26","10043","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71043031","110101","[3C404E]ボスNORMAL討伐で解放！"
"27","10044","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71044031","113201","[3C404E]ボスNORMAL討伐で解放！"
"28","10046","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71046031","113501","[3C404E]ボスNORMAL討伐で解放！"
"29","10045","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71045035","110501","[3C404E]ボスNORMAL討伐で解放！"
