628a95a3bb4c729871bede96e4f1174245d7427f032d076a507466af73ae01d5,ea99bbd53d3f7b379cdd5a7c92de97b40e419aec61aaea4c751e325e0501f02b,cbdc3fb6adcf4630976e63d56cee428c975a084a67bbafc1df86f1e889f083fe,a037fab02903aedf045346f8cc55a806fd78552d08cb4133331a94205ae02275,0ed09f6eb2a101d07225ed45477152d964b1155b4b8d7c410a95b6b4af179a23,17369b014f50b9de5ac903f4b033c34cc0ae24680dc5ae798a9f5bcf970412ae,6547b8b9c6b10bca113f031de1cadf6cfcf44a229594b66053c8a2f189669e9c,8e624f510a4ead14471185780772055248ec3623779562efa32d8f6865519eff,a80ed75e145650f026796fb9ed1861ad444f969b5df05a0299b09c15cd20c80e,ab9a4a4916556df1fe0401a80f2b0e362692c67d760f3e0b659e6c656ec445b0,d29a2b788a282c2528d3cb0acd375af56199c5e8ce92e95ac07448d90aae45ae
"1","118511","1","100","1","1001","taq_karin_idle","1","-194","72","1.65"
"","vo_minigame_1009_top_001","1","0","21","1002","","vo_minigame_1009","","0",""
"0","賞品も用意して\nいますので頑張って\nくださいね♪","1","8","11","1003","0","118511","0","0","0"
"","taq_karin_talk_normal","1","1","3","1004","","118511","","","0.2"
"","","1","","91","1005","","1003","","",""
"","taq_karin_idle","1","1","3","1006","","118511","","","0.2"
"1","118511","2","100","1","2001","taq_karin_idle","1","-194","72","1.65"
"","vo_minigame_1009_top_002","2","0","21","2002","","vo_minigame_1009","","0",""
"0","みなさんの知識が\n試されますよ","2","8","11","2003","0","118511","0","0","0"
"","taq_karin_talk_thinking","2","1","3","2004","","118511","","","0.2"
"","","2","","91","2005","","2003","","",""
"","taq_karin_idle","2","1","3","2006","","118511","","","0.2"
"1","118511","3","100","1","3001","taq_karin_idle","1","-194","72","1.65"
"","vo_minigame_1009_top_003","3","0","21","3002","","vo_minigame_1009","","0",""
"0","世の中にはまだまだ\n知らないことが\nたくさんあるんですね","3","8","11","3003","0","118511","0","0","0"
"","taq_karin_talk_surprise","3","1","3","3004","","118511","","","0.2"
"","","3","","91","3005","","3003","","",""
"","taq_karin_idle","3","1","3","3006","","118511","","","0.2"
"1","118511","4","100","1","4001","taq_karin_idle","1","-194","72","1.65"
"","vo_minigame_1009_top_004","4","0","21","4002","","vo_minigame_1009","","0",""
"0","わからないときは\n勘に頼ってみても\nいいと思います","4","8","11","4003","0","118511","0","0","0"
"","taq_karin_talk_normal2","4","1","3","4004","","118511","","","0.2"
"","","4","","91","4005","","4003","","",""
"","taq_karin_idle","4","1","3","4006","","118511","","","0.2"
"1","118511","5","100","1","5001","taq_karin_idle","1","-194","72","1.65"
"","vo_minigame_1009_top_005","5","0","21","5002","","vo_minigame_1009","","0",""
"0","仲よく協力して\n全問正解を\n目指してくださいね♪","5","7","11","5003","0","118511","0","0","0"
"","taq_karin_talk_joy3","5","1","3","5004","","118511","","","0.2"
"","","5","","91","5005","","5003","","",""
"","taq_karin_idle","5","1","3","5006","","118511","","","0.2"
