4cb22e7b6e34c77af418c01781c50db7654e8d9ac60f600a20ce5fd9f802927c,28d44c3f484cb4e7f38859713a66043a89940991998027cd1b40876ae1be5464,a3c1544eb418ea4875599ef15bb52230e60358b9d887b76940a8543a75039990,809472c31113adf200e26e8033317265b63cad07d18cf68f92142fe7209523b0,57160be850a395e1733025092624803619d151f54de0da3e772b3eb9265f7f06
"91002","8","30109001","100","1"
"20002","2","30109001","10","2"
"91002","8","30109002","100","3"
"94002","12","30109002","40000","4"
"91002","8","30109003","300","5"
"91002","8","30109004","500","6"
"91002","8","30109005","500","7"
"94002","12","30109005","1000000","8"
"91002","8","30109006","500","9"
"94002","12","30109006","500000","10"
"91002","8","30110001","600","11"
"94002","12","30110006","200000","12"
