4cb465b6d9979d88f5c4fcb1a83c221fb3dea4a4907d43da217d125c330f7b0a,4420bce317c0423a4b64934b8bce9c98643c26ae0ddf89df117a865688a88dc6,49e08293afaad42068a21a43c2464cebf4b5a26dde10ad93ad4d50e5aa349892,a95de0a349b79f6d69208f1a902040edad1e62343afce4fae26a78d4e0eaefac,81f2846587f79ef6953d310ed0ebdd514a61c29f50067abec19e7079f14886d5,917b41a684aa2f54090df62ab31263f00079cbc9006c973f0079757971d78d7b,f6b5437d63590dc55794961c949cf077357a9901778158f36fa675c3a2378c95,ec58de48b825a0c3391cb7e3e68ef2b4bdc8ef6f44bbb0a5a6eded38f1bad00f,ddb64bc6f8723593f7fb2ca504312b8e6b3fcce8f124f55138b8306400e3e22b,22ae711adb79b717b3962e7c0f7dc9dbdce966a83b99e6ddf30e94e5fa01984b,423dd76eb4b92b57439d847650b9cc449a9da9f5b5c27bdcd6ae5ea61f3b3ecd
"111831","1.5","nop_idle_joy1","101","-150","-100","115","1","0","1","101001"
"120731","1.5","nop_idle_normal_joy","101","-150","100","114","1","1","1","101002"
"120831","1.5","nop_idle_arm_crossed","101","-127","-215","111","1","0","1","101003"
"111931","1.5","nop_idle_normal","101","-127","215","110","1","1","1","101004"
"120931","1.5","nop_idle_thinking","101","-150","-330","113","1","0","1","101005"
"112031","1.5","nop_idle_normal","101","-150","330","112","1","1","1","101006"
"108731","1.5","nop_idle_joy1","102","-150","-100","115","1","0","1","102001"
"108831","1.5","nop_idle_joy_normal","102","-150","100","114","1","1","1","102002"
"108931","1.5","nop_idle_normal","102","-127","-215","111","1","0","1","102003"
"102011","1.5","nop_idle_joy1","103","-135","-100","113","1","0","1","103001"
"100411","1.5","nop_idle_normal","103","-150","-215","115","1","0","1","103002"
"103631","1.5","nop_idle_wish","103","-143","100","114","1","1","1","103003"
"101231","1.5","nop_idle_normal","104","-150","-100","115","1","0","1","104001"
"104011","1.5","nop_idle_normal","104","-150","100","114","1","1","1","104002"
"101511","1.5","nop_idle_normal","104","-127","-215","111","1","0","1","104003"
"103111","1.5","nop_idle_normal","105","-135","-100","113","1","0","1","105001"
"102211","1.5","nop_idle_sad","105","-135","100","111","1","1","1","105002"
"100711","1.5","nop_05_miyako_idle_normal","105","-150","-215","115","1","0","1","105003"
"100611","1.5","nop_idle_joy1","105","-150","215","112","1","1","1","105004"
"2051","1.5","nop_skull_idle","105","-135","-25","114","5","1","1","105005"
"104731","1.5","nop_idle_arm_crossed","106","-150","-215","115","1","0","1","106001"
