d3e1c8779a4b73c5d98f37dd346d8af770284fab4f0fca26f117da7caf4b1e6f,f2368674e53240b067bd47d0b469250492d891de870c9ad1de53498ff28df7e2,7bfd07cc9b497359e91c719fc4d0916b086c181d78d6023f6b001ebc27aa98eb,250053748cc2b8ea8b37fce13e887a0ceefba08ba5b33095f0802b1c51b24718,a00ea6dc514aeeb967f0f6673ce7478aa6351618daeed27b0e4dceda454195b4,f9be5d74dfccb37aa8a72949b7800073f357b30dd20f3c17c224030b148f118c,0a45a374828b7471f75ded7617069c74c6c185bdd3921b86b9160d88f04e2cd5,6b52b879a2c997c92eca82e6298173ce7402ec19e9cd0955fef0fc4c8e188d39,eee729380b01d474c34a874aec1fb552c5f4b88aadd2c4923244238e4d6f7c36,1840f81189ab7e93e48721c6008ab9c365f802825501d60e4131362dacd8a36d,0c652e65e25e26e3e0a54f45f54d93b7b3f43e48e2456efeccc320e1d8f1bb7f,6c20fac9727425fbacc56ea070b674c29129329824c9c00cbd9e1dd6aadf3ad8
"100580101","1","0","1","0","0","0","1005801","4","0","0.8","0"
"100580102","0","0","2","vo_ske_0101","0","0","1005801","2","0","0","vo_ske"
"100580103","0","60","3","0","1","0.705","1005801","1","0","0","0"
"100580104","1","0","4","0","0","0","1005801","4","0","1.549","0"
"100580105","0","304","5","0","1","1.807","1005801","1","60","0","0"
"100580106","1","0","6","0","0","0","1005801","4","0","3.027","0"
"100580107","0","140","7","0","2","1.141","1005801","1","0","0","0"
"100580108","1","0","8","0","0","0","1005801","4","0","1.9","0"
"100580109","0","380","9","0","2","1.78","1005801","1","140","0","0"
"100580110","1","0","10","0","0","0","1005801","4","0","4.544","0"
"100580111","0","0","11","vo_ske_0102","0","0","1005801","2","0","0","vo_ske"
"100580112","0","195","12","0","3","1.322","1005801","1","0","0","0"
"100580113","1","0","13","0","0","0","1005801","4","0","2.917","0"
"100580114","0","0","14","vo_ske_0103","0","0","1005801","2","0","0","vo_ske"
"100580115","0","228","15","0","4","1.932","1005801","1","0","0","0"
"100580116","1","0","16","0","0","0","1005801","4","0","2.582","0"
"100580117","0","367","17","0","4","0.996","1005801","1","228","0","0"
"100580118","1","0","18","0","0","0","1005801","4","0","3.856","0"
"100580119","0","0","19","vo_ske_0104","0","0","1005801","2","0","0","vo_ske"
"100580120","0","102","20","0","5","0.67","1005801","1","0","0","0"
"100580121","1","0","21","0","0","0","1005801","4","0","1.785","0"
"100580122","0","364","22","0","5","2.253","1005801","1","102","0","0"
"100580123","1","0","23","0","0","0","1005801","4","0","2.253","0"
"100580124","0","120","24","0","6","0.962","1005801","1","0","0","0"
"100580125","1","0","25","0","0","0","1005801","4","0","2.244","0"
"100580126","0","334","26","0","6","1.707","1005801","1","120","0","0"
"100580127","1","0","27","0","0","0","1005801","4","0","4.225","0"
"100580128","0","0","28","vo_ske_0105","0","0","1005801","2","0","0","vo_ske"
"100580129","0","168","29","0","7","1.256","1005801","1","0","0","0"
"100580130","1","0","30","0","0","0","1005801","4","0","3.119","0"
"100580131","0","0","31","vo_ske_0106","0","0","1005801","2","0","0","vo_ske"
"100580132","0","89","32","0","8","0.702","1005801","1","0","0","0"
"100580133","1","0","33","0","0","0","1005801","4","0","1.386","0"
"100580134","0","278","34","0","8","1.352","1005801","1","89","0","0"
"100580135","1","0","35","0","0","0","1005801","4","0","2.053","0"
"100580136","0","383","36","0","8","0.733","1005801","1","278","0","0"
"100580137","1","0","37","0","0","0","1005801","4","0","1.868","0"
"100580138","0","195","38","0","9","1.764","1005801","1","0","0","0"
"100580139","1","0","39","0","0","0","1005801","4","0","2.905","0"
"100580140","0","314","40","0","9","0.969","1005801","1","195","0","0"
"100580141","1","0","41","0","0","0","1005801","4","0","0.969","0"
"100580142","0","115","42","0","10","0.808","1005801","1","0","0","0"
"100580143","1","0","43","0","0","0","1005801","4","0","2.8","0"
"100580144","0","0","44","vo_ske_0107","0","0","1005801","2","0","0","vo_ske"
"100580145","0","52","45","0","11","0.25","1005801","1","0","0","0"
"100580146","1","0","46","0","0","0","1005801","4","0","0.25","0"
"100580147","0","280","47","0","11","1.817","1005801","1","52","0","0"
"100580148","1","0","48","0","0","0","1005801","4","0","3.312","0"
"100580149","0","372","49","0","11","0.666","1005801","1","280","0","0"
"100580150","1","0","50","0","0","0","1005801","4","0","1.17","0"
"100580151","0","217","51","0","12","1.616","1005801","1","0","0","0"
"100580152","1","0","52","0","0","0","1005801","4","0","4.15","0"
"100580153","0","0","53","vo_ske_0108","0","0","1005801","2","0","0","vo_ske"
"100580154","0","142","54","0","13","1.198","1005801","1","0","0","0"
"100580155","1","0","55","0","0","0","1005801","4","0","2.442","0"
"100580156","0","267","56","0","14","1.934","1005801","1","0","0","0"
"100580157","1","0","57","0","0","0","1005801","4","0","4.434","0"
"100580201","1","0","1","0","0","0","1005802","4","0","0.8","0"
"100580202","0","0","2","vo_ske_0201","0","0","1005802","2","0","0","vo_ske"
"100580203","0","130","3","0","1","1.122","1005802","1","0","0","0"
"100580204","1","0","4","0","0","0","1005802","4","0","1.689","0"
"100580205","0","327","5","0","1","1.13","1005802","1","130","0","0"
"100580206","1","0","6","0","0","0","1005802","4","0","2.883","0"
"100580207","0","0","7","vo_ske_0202","0","0","1005802","2","0","0","vo_ske"
"100580208","0","119","8","0","2","1.057","1005802","1","0","0","0"
"100580209","1","0","9","0","0","0","1005802","4","0","1.962","0"
"100580210","0","266","10","0","2","1.166","1005802","1","119","0","0"
"100580211","1","0","11","0","0","0","1005802","4","0","1.747","0"
"100580212","0","389","12","0","2","1.216","1005802","1","266","0","0"
"100580213","1","0","13","0","0","0","1005802","4","0","1.216","0"
"100580214","0","272","14","0","3","1.868","1005802","1","0","0","0"
"100580215","1","0","15","0","0","0","1005802","4","0","3.78","0"
"100580216","0","0","16","vo_ske_0203","0","0","1005802","2","0","0","vo_ske"
"100580217","0","90","17","0","4","0.655","1005802","1","0","0","0"
"100580218","1","0","18","0","0","0","1005802","4","0","1.632","0"
"100580219","0","270","19","0","4","1.586","1005802","1","90","0","0"
"100580220","1","0","20","0","0","0","1005802","4","0","2.357","0"
"100580221","0","336","21","0","4","0.386","1005802","1","270","0","0"
"100580222","1","0","22","0","0","0","1005802","4","0","0.386","0"
"100580223","0","110","23","0","5","0.872","1005802","1","0","0","0"
"100580224","1","0","24","0","0","0","1005802","4","0","3.189","0"
"100580225","0","0","25","vo_ske_0204","0","0","1005802","2","0","0","vo_ske"
"100580226","0","241","26","0","5","1.065","1005802","1","110","0","0"
"100580227","1","0","27","0","0","0","1005802","4","0","1.882","0"
"100580228","0","359","28","0","5","0.888","1005802","1","241","0","0"
"100580229","1","0","29","0","0","0","1005802","4","0","0.888","0"
"100580230","0","66","30","0","6","0.607","1005802","1","0","0","0"
"100580231","1","0","31","0","0","0","1005802","4","0","1.21","0"
"100580232","0","158","32","0","6","0.933","1005802","1","66","0","0"
"100580233","1","0","33","0","0","0","1005802","4","0","2.332","0"
"100580234","0","360","34","0","6","1.649","1005802","1","158","0","0"
"100580235","1","0","35","0","0","0","1005802","4","0","4.223","0"
"100580236","0","0","36","vo_ske_0205","0","0","1005802","2","0","0","vo_ske"
"100580237","0","102","37","0","7","0.349","1005802","1","0","0","0"
"100580238","1","0","38","0","0","0","1005802","4","0","1.46","0"
"100580239","0","285","39","0","7","1.532","1005802","1","102","0","0"
"100580240","1","0","40","0","0","0","1005802","4","0","2.11","0"
"100580241","0","336","41","0","7","0.341","1005802","1","285","0","0"
"100580242","1","0","42","0","0","0","1005802","4","0","0.341","0"
"100580243","0","176","43","0","8","1.202","1005802","1","0","0","0"
"100580244","1","0","44","0","0","0","1005802","4","0","3.101","0"
"100580245","0","0","45","vo_ske_0206","0","0","1005802","2","0","0","vo_ske"
"100580246","0","85","46","0","9","0.706","1005802","1","0","0","0"
"100580247","1","0","47","0","0","0","1005802","4","0","1.796","0"
"100580248","0","331","48","0","9","1.854","1005802","1","85","0","0"
"100580249","1","0","49","0","0","0","1005802","4","0","2.709","0"
"100580250","0","139","50","0","10","1.202","1005802","1","0","0","0"
"100580251","1","0","51","0","0","0","1005802","4","0","3.52","0"
"100580252","0","0","52","vo_ske_0207","0","0","1005802","2","0","0","vo_ske"
"100580253","0","228","53","0","10","0.754","1005802","1","139","0","0"
"100580254","1","0","54","0","0","0","1005802","4","0","1.291","0"
"100580255","0","293","55","0","10","0.505","1005802","1","228","0","0"
"100580256","1","0","56","0","0","0","1005802","4","0","2.624","0"
"100580257","0","0","57","vo_ske_0208","0","0","1005802","2","0","0","vo_ske"
"100580258","0","130","58","0","11","1.061","1005802","1","0","0","0"
"100580259","1","0","59","0","0","0","1005802","4","0","1.6","0"
"100580260","0","310","60","0","11","1.645","1005802","1","130","0","0"
"100580261","1","0","61","0","0","0","1005802","4","0","2.3","0"
"100580262","0","240","62","0","12","1.616","1005802","1","0","0","0"
"100580263","1","0","63","0","0","0","1005802","4","0","3.913","0"
"100580264","0","0","64","vo_ske_0209","0","0","1005802","2","0","0","vo_ske"
"100580265","0","128","65","0","13","1.258","1005802","1","0","0","0"
"100580266","1","0","66","0","0","0","1005802","4","0","3.579","0"
"100580267","0","0","67","vo_ske_0210","0","0","1005802","2","0","0","vo_ske"
"100580268","0","250","68","0","14","1.496","1005802","1","0","0","0"
"100580269","1","0","69","0","0","0","1005802","4","0","3.996","0"
"100580301","1","0","1","0","0","0","1005803","4","0","0.8","0"
"100580302","0","0","2","vo_ske_0301","0","0","1005803","2","0","0","vo_ske"
"100580303","0","200","3","0","1","1.797","1005803","1","0","0","0"
"100580304","1","0","4","0","0","0","1005803","4","0","2.514","0"
"100580305","0","304","5","0","1","0.612","1005803","1","200","0","0"
"100580306","1","0","6","0","0","0","1005803","4","0","0.612","0"
"100580307","0","56","7","0","2","0.464","1005803","1","0","0","0"
"100580308","1","0","8","0","0","0","1005803","4","0","0.889","0"
"100580309","0","179","9","0","2","1.164","1005803","1","56","0","0"
"100580310","1","0","10","0","0","0","1005803","4","0","2.59","0"
"100580311","0","0","11","vo_ske_0302","0","0","1005803","2","0","0","vo_ske"
"100580312","0","316","12","0","2","1.185","1005803","1","179","0","0"
"100580313","1","0","13","0","0","0","1005803","4","0","1.185","0"
"100580314","0","137","14","0","3","0.952","1005803","1","0","0","0"
"100580315","1","0","15","0","0","0","1005803","4","0","1.747","0"
"100580316","0","219","16","0","3","0.961","1005803","1","137","0","0"
"100580317","1","0","17","0","0","0","1005803","4","0","2.398","0"
"100580318","0","0","18","vo_ske_0303","0","0","1005803","2","0","0","vo_ske"
"100580319","0","188","19","0","4","1.401","1005803","1","0","0","0"
"100580320","1","0","20","0","0","0","1005803","4","0","1.935","0"
"100580321","0","356","21","0","4","1.288","1005803","1","188","0","0"
"100580322","1","0","22","0","0","0","1005803","4","0","2.418","0"
"100580323","0","0","23","vo_ske_0304","0","0","1005803","2","0","0","vo_ske"
"100580324","0","55","24","0","5","0.619","1005803","1","0","0","0"
"100580325","1","0","25","0","0","0","1005803","4","0","1.407","0"
"100580326","0","333","26","0","5","2.1","1005803","1","55","0","0"
"100580327","1","0","27","0","0","0","1005803","4","0","4.561","0"
"100580328","0","0","28","vo_ske_0305","0","0","1005803","2","0","0","vo_ske"
"100580329","0","280","29","0","6","2.309","1005803","1","0","0","0"
"100580330","1","0","30","0","0","0","1005803","4","0","3.378","0"
"100580331","0","79","31","0","7","0.664","1005803","1","0","0","0"
"100580332","1","0","32","0","0","0","1005803","4","0","1.555","0"
"100580333","0","328","33","0","7","1.706","1005803","1","79","0","0"
"100580334","1","0","34","0","0","0","1005803","4","0","4.399","0"
"100580335","0","0","35","vo_ske_0306","0","0","1005803","2","0","0","vo_ske"
"100580336","0","212","36","0","8","2.137","1005803","1","0","0","0"
"100580337","1","0","37","0","0","0","1005803","4","0","3.014","0"
"100580338","0","340","38","0","8","0.788","1005803","1","212","0","0"
"100580339","1","0","39","0","0","0","1005803","4","0","2.288","0"
"100580340","0","0","40","vo_ske_0307","0","0","1005803","2","0","0","vo_ske"
"100580341","0","267","41","0","9","2.054","1005803","1","0","0","0"
