fb58bd8815ce73aa929126ca2054be9774bd5640e54467f7a1cef63fa3b2b6b3,fca83317dbb2307da3133cbc4a95292ac6c20726312e1fb13c395ea4263707c6
"130032","32"
"130112","16"
"130132","19"
"130162","4"
"130252","1"
"130332","9"
"130492","15"
"130582","10"
"130592","29"
"130602","5"
"130752","10"
"130772","1"
"130792","2"
"130802","3"
"130812","6"
"130822","7"
"130832","8"
"130842","11"
"130852","12"
"130862","13"
"130902","14"
"130912","15"
"130952","17"
"130962","18"
"131002","4"
"131012","21"
"131032","22"
"131042","23"
"131052","24"
"131062","25"
"131072","20"
"131112","26"
"131122","27"
"131132","28"
"131152","33"
"131162","34"
"131172","35"
"131212","1"
"131222","30"
"131232","31"
