eebba5d86cf4892d218c7814bd51a501ceff04a765ae67e4fb087e4cd71c483c,efb352855272601801b05aa8bfc3b151d1615539b7ae79c61efb47f65245678d,957fae174723eef9ac387b29da64f84e3e7633cf1beaa13820fa114b10eef93a,1ded042fa4391ed86594d7b3064efb4dc398bbf5113f19f411d4135738cbd2e6,70e8490bc050ca3e5773e286cb7f9611edfbf7bb723392112c68ff159acc5830,5f337c5f2b713f703730170f9d5ab15f517a984f4aaf69da8af046e91e01d5e9,6c2d8de8f3f5e2dabf4ae9f4f2e86ff8aaf1029201fad369fcc4ba4f1fce6148,55587d8f503638c8e04e961ed99d5bb9252b4959f16812dc9bb583eccc0c193b
"1","0","10012","10012103","0","0","0","1001201"
"2","0","10012","10012107","0","0","0","1001202"
"3","0","10012","10012109","0","0","0","1001203"
"4","0","10012","10012114","0","0","1001201","1001204"
"5","0","10012","10012114","0","0","1001202","1001204"
"6","0","10012","10012114","0","0","1001203","1001204"
"7","0","20012","20012103","0","0","0","2001201"
"8","0","20012","20012107","0","0","0","2001202"
"9","0","20012","20012109","0","0","0","2001203"
"10","0","20012","20012114","0","0","2001201","2001204"
"11","0","20012","20012114","0","0","2001202","2001204"
"12","0","20012","20012114","0","0","2001203","2001204"
