4d4a8ac898e7df5b90f3016f516ee273552d80f1e6d388c0c1cbc4a3702cf7cf,ceaf339d067a86e02efd899939f7cf9876fff4e49c2effe1c4a99d893567e9e7,ca87615a82535a07477f5822219224673f7c17353d25bd6ff35c98da2aec449c,dcf2fb1c9e7b21c6c845863ff009d31ebc23907abe417dc07ffca56e7a43aed1,c6f519ed18ed669922ecdb2553653c36a4a00d7d2a25db297de73a00f7281a8c,d477ffc0add766c96803e1f1ff964866e64516a8d0f531177cae07748195d498,dd64fb140968e3bc2e07718df0de3cdd2d06cd0cc9b0cdf80368666653c80baf,d5223008ec96983eeb143211d86c5549be6ce029a16eff645bebd14fb727c307,b88249cc22f90850b927b21f3c59e1b9cc58c94969eaccf49bc485d191c314bb,920d2eb1bfbca2a6d3f800c651d5bbaa7e1ad5ae87005bc87763803bffd709a4,8e7616bc3bd340c4c721ba34dd5ee4b1cb27a81c0f272010613735b0b42116a0,89a6343a835340a07c3e3366e6f3abe55385f9d365e9a29a0363e173560deb25,b150e0556cb60e59bf00c7e6e032759b5dd8efa6b5ff8d2a697ca5b1548047fa,156ca678ee265bd3684ca54621133a89fd607b2a4a80a7be45af42ee5d8d93e4,686a2838697557aa29f193766be1e5fe09e737313690879416a84b781244c945,b3fbed9e6167cee3d134a82e89de81f5867a430eb37eca0b586b8a182d82df59
"0","111001","0","2","0","0","62001","75","0","0","0","0","0","0","0","0"
"0","111011","0","8","0","0","91002","30","0","0","0","0","0","0","0","0"
"90005","111012","0","8","0","0","91002","30","5","0","0","0","2","0","0","0"
"0","112001","0","2","0","0","62001","150","0","0","0","0","0","0","0","0"
"90005","112011","0","8","0","0","91002","60","10","0","0","0","2","0","0","0"
"62001","113001","0","8","2","50","91002","200","400","0","2","23001","2","10","0","90005"
"62001","113002","0","8","2","50","91002","100","400","0","2","23001","2","10","0","90005"
"62001","113003","0","8","0","0","91002","100","200","0","4","0","2","30","0","140001"
"62001","114001","0","8","2","500","91002","200","500","0","2","25021","2","10","0","90005"
"62001","114002","0","8","2","500","91002","100","500","0","2","25021","2","10","0","90005"
"62001","114003","0","8","2","500","91002","100","300","0","2","25021","2","10","0","90005"
"0","115001","0","8","0","0","91002","500","0","0","0","0","0","0","0","0"
"62001","115003","0","8","2","20","91002","500","400","0","2","25204","2","10","0","90005"
"0","211001","0","2","0","0","62001","100","0","0","0","0","0","0","0","0"
"0","211011","0","8","0","0","91002","30","0","0","0","0","0","0","0","0"
"0","212001","0","2","0","0","62001","150","0","0","0","0","0","0","0","0"
"90005","212011","0","8","0","0","91002","60","10","0","0","0","2","0","0","0"
"62001","213001","0","8","0","0","91002","100","200","0","4","0","2","30","0","140001"
"62001","214001","20","8","2","10","91002","100","300","25202","2","25204","2","500","2","25021"
