32f6ecddfc1c8ac5e57b6fafebc799e7b34ed5ee3726824b98beb27b0801931e,d28292d4efdce1c3b05f8eef035a2e26d0989d4aff57fc9d6afb7e3c179ca5cd,fe0e4ee165fda23eaad47b50e0c5d706bbe68dd66f881a21ce0853f2eb87ac11,fd41eb04ba8270c65c139aca2294abb7dbf6829f79d43572aeb065d55a83a1cf,de72f6fa474873494bb80326d879f8b843ceb4e7197bbc34adc0b81b2f79bd2f,56124ae399138f1e61e76192248b0d959efa5b0e0d7fee5bb45556add1a9008a
"123001","10201501","2025/01/31 12:00:00","3002","バトル開始後90秒間味方全体の物理\n防御力特大アップ","10201001"
"123001","10201501","2025/01/31 12:00:00","3004","バトル開始後90秒間味方全体の魔法\n防御力特大アップ","10201002"
"106901","10201501","2025/01/31 12:00:00","3011","バトル開始後90秒間敵全体の物理防\n御力特大ダウン","10201003"
"106901","10201501","2025/01/31 12:00:00","3011","バトル開始後90秒間敵全体の魔法防\n御力特大ダウン","10201004"
"107101","10201501","2025/01/31 12:00:00","3001","バトル開始後90秒間物理攻撃力極大\nアップ","10201005"
"107101","10201501","2025/01/31 12:00:00","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","10201006"
"107001","10201501","2025/01/31 12:00:00","3003","バトル開始後90秒間魔法攻撃力極大\nアップ","10201007"
"107001","10201501","2025/01/31 12:00:00","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","10201008"
"106801","10201501","2025/01/31 12:00:00","3001","バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","10201009"
"106801","10201501","2025/01/31 12:00:00","3014","バトル開始後味方全体のＴＰ大回復","10201010"
"111501","10201501","2025/01/31 12:00:00","3001","バトル開始後90秒間物理攻撃力極大\nアップ","10201011"
"111501","10201501","2025/01/31 12:00:00","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","10201012"
"123801","10201501","2025/01/31 12:00:00","3001","バトル開始後90秒間物理攻撃力極大\nアップ","10201013"
"123801","10201501","2025/01/31 12:00:00","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","10201014"
"133901","10201501","2025/02/10 12:00:00","3001","バトル開始後90秒間物理攻撃力極大\nアップ","10201015"
"133901","10201501","2025/02/10 12:00:00","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","10201016"
"115001","10201501","2025/01/31 12:00:00","3005","バトル開始後90秒間味方全体に継続\nＨＰ回復状態付与","10201017"
"115001","10201501","2025/01/31 12:00:00","3013","バトル開始後味方全体の行動不能\n2回無効","10201018"
"126601","10201501","2025/01/31 12:00:00","3003","バトル開始後90秒間味方全体の魔法\n攻撃力特大アップ","10201019"
"126601","10201501","2025/01/31 12:00:00","3014","バトル開始後味方全体のＴＰ大回復","10201020"
"133801","10201501","2025/02/20 12:00:00","3010","バトル開始後90秒間味方全体のＴＰ\n上昇中アップ","10201021"
"133801","10201501","2025/02/20 12:00:00","3010","バトル開始後90秒間味方全体の行動\n速度大アップ（重複可能）","10201022"
"121201","10201501","2025/01/31 12:00:00","3001","バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","10201023"
"121201","10201501","2025/01/31 12:00:00","3014","バトル開始後味方全体のＴＰ大回復","10201024"
"133701","10201501","2025/01/31 12:00:00","3003","バトル開始後90秒間魔法攻撃力極大\nアップ","10201025"
