39ef71c1e8fd9ef673358249d3cc8d3228ef1471cf2c4df0870b867a214c4407,b86a7379ca68f3e22670575516fd20560e1dfbd5978320bf0be753de3b789572,00108d58828ef860aa97006ebae56fdd510f9417ff8e6404f6407c978e0f7bf6,09e6c91fca884f8a357bc97f80998dcc8dcf752def761b3f95460d87efbd58d1,4335b207819ea2c5f935601fec8fe976521adfac70f581f7e864295bfc24442e,706b3443ab7d1b6609debc5b922ade2acf67f171913b775211c2ff36271655df,0f9617dddaae7a273e890ab38fdcca41b356fd3f4560ef012478390334bf9f3f,9bed0450012a8540a8f60666afe15bf3ff5a88bbfe97f90b8fc1d5bde5890997,670c8cfc09abf04d953f67abbe88bb79e80b6fbe64a7be5568db6e839324e601,b89b8780b7df909e8c15281580590c2a5ed265d2cfeef386f34d8645740251e8,3595c8784affe75c3d4cd0650f5b9ca487043a3022dd455669c2d06a8102b795,d25a5475b8a8f19bd283372ff8b6241e8a9257355543e8010b23523b3112efea,c667d958569328c0e947b0627d9dce67b49518b4315b37058fd65e4c1fd86620,3885edd456dcdecff5405bb2a5a348e90d2b2a3ed7f7a5c8199511be945c213c,acced07277e85a3a8c4574180a008fd4c906725e8fbc5c8e73f8b892776ffe8a,338ab07faaa4a65db755f2f56b0db4b1fe385f53470007af084c01a6c4c70ce6,93fcdcb43785493f408ec1b08c6c2e4f3ef297fecd04fa464e52cbf3220825f0,b8316e30c1a70da4b6abfd255401f71ddbca8dc228978278bbb10bdc91621736,15bb2f87be93df91d46b5d10f797ce0f4d49a65d3aba9f70165f427fe1d68fc5,2b0088ef33f1afad91980a8180d85b9fb382377ef8db665b0506dfbd37e51a88,ca9f6ea30f99b4c2ce915b059c3d6a77fe98804ef33afb8140fc39568928b1c7
"901000102","0","901000103","901000105","100182","51200001","0","0","0","0","901000106","0","0","0","90","0","512000011","0","0","ラストバトル","2000001"
"901000201","bgm_M06","901000202","901000104","100021","51200002","0","512000022","bgm_M06","0","0","0","bgm_M06","0","90","0","512000021","100022","bgm_M06","チュートリアルバトル","2000002"
"901000201","bgm_M06","901000202","901000104","100021","51200006","0","512000022","bgm_M06","0","0","0","bgm_M06","0","90","0","512000021","100022","bgm_M06","チュートリアルバトル","2000006"
"901000301","bgm_M17_03_and_M29","901000302","901000303","100671","52003005","0","0","bgm_M17","0","0","0","0","0","90","0","520030051","0","0","ADVバトル","2003005"
"901000401","bgm_M06","901000402","901000403","100011","52004002","0","0","bgm_M06","0","0","0","0","0","90","0","520040021","0","0","ADVバトル","2004002"
"901000501","bgm_M47","0","0","81000111","55001004","0","0","bgm_M47","0","0","0","0","0","90","0","550010041","0","0","ジズバトル","5001004"
"901000401","bgm_M47","901000501","901000502","81000106","55001006","0","0","bgm_M47","0","0","0","0","0","90","0","550010041","0","0","ジズバトル","5001006"
"901000601","bgm_M102","901000602","901000603","81000205","55002005","0","0","bgm_M102","0","0","0","0","0","90","0","550020051","0","0","アルマバトル","5002005"
"901000601","bgm_M102","901000602","901000603","81000206","55002006","0","0","bgm_M102","0","0","0","0","0","90","0","550020052","0","0","アルマバトル","5002006"
"901000601","bgm_M109","901000701","901000702","81000305","55003006","0","0","bgm_M109","0","901000703","0","0","0","90","0","550030061","0","0","ガルグバトル","5003006"
"901000601","bgm_M116","901000801","901000802","100931","55004005","0","0","bgm_M116","0","901000803","0","0","0","90","0","550040051","0","0","水着バトル","5004005"
"901000906","bgm_M124","901000901","901000902","81000505","55005006","0","0","bgm_M124","0","901000903","0","0","0","90","901000904","550050061","0","0","島クジラバトル","5005006"
"901000906","bgm_M192","901001001","901001002","81001105","55011005","0","0","bgm_M192","0","901001003","0","0","0","90","0","550110051","0","0","バレンタインボスバトル","5011005"
"901001001","0","901001002","901001003","81001106","55011006","0","0","0","0","0","0","0","0","90","0","550110051","0","0","バレンタインボスバトル","5011006"
