5960c865c24095a9ddc667d3b826c07d69c311dbb102712b55be3196007f45f5,18f3b0d6c12b33b5e9bed0a7d102a6c393f2cda60ec0b9f9f2052ce038718864,43bfec7c80578c020e82bef24c8057102cd5318b596321f1e912da2ea803dbc8
"6101321","1","118001"
"6101322","2","105801"
"6101323","3","107501"
"6101324","4","111801"
"6101325","5","121001"
"6101326","6","180401"
"6101327","7","127901"
"6101341","8","106601"
"6101341","9","116501"
"6101341","10","121601"
"6101341","11","128301"
"6101341","12","180701"
"6101342","13","101401"
"6101342","14","101201"
"6101342","15","112201"
"6101342","16","115701"
"6101342","17","113401"
"6101342","18","128401"
"6101343","19","106601"
"6101343","20","116501"
"6101343","21","121601"
"6101343","22","128301"
"6101344","23","101401"
"6101344","24","101201"
"6101344","25","112201"
"6101344","26","115701"
"6101344","27","113401"
"6101344","28","128401"
"6101345","29","180701"
"6101361","30","100101"
"6101361","31","100301"
"6101361","32","108701"
"6101362","33","122401"
"6101362","34","180101"
"6101362","35","128701"
"6101361","36","108901"
"6101362","37","114001"
"6101362","38","122501"
"6101362","39","180301"
"6101362","40","128801"
"6101363","41","100201"
"6101363","42","108801"
"6101363","43","115601"
"6101363","44","122601"
"6101363","45","180201"
"6101363","46","128901"
"6101364","47","100101"
"6101364","48","100301"
"6101364","49","100201"
"6101364","50","108701"
"6101364","51","108901"
"6101364","52","108801"
"6101365","53","100101"
"6101365","54","108701"
"6101365","55","122401"
"6101365","56","180101"
"6101365","57","128701"
"6101366","58","100201"
"6101366","59","100301"
"6101366","60","108801"
"6101366","61","115601"
"6101366","62","122601"
"6101366","63","180201"
"6101366","64","128901"
"6101366","65","108901"
"6101366","66","114001"
"6101366","67","122501"
"6101366","68","180301"
"6101366","69","128801"
"6101367","70","108901"
"6101368","71","100201"
"6101368","72","108801"
"6101402","73","110801"
"6101401","74","110901"
"6101401","75","116301"
"6101402","76","110801"
"6101402","77","116201"
"6101403","78","111001"
"6101403","79","116401"
"6101403","80","129301"
"6101404","81","110901"
"6101405","82","116301"
"6101421","83","102701"
"6101421","84","104301"
"6101421","85","109001"
"6101421","86","117001"
"6101421","87","110401"
"6101421","88","115901"
"6101421","89","129801"
"6101422","90","102701"
"6101423","91","104301"
"6101424","92","109001"
"6101441","93","103601"
"6101441","94","130701"
"6101442","95","111101"
"6101442","96","122701"
"6101443","97","102501"
"6101443","98","107701"
"6101443","99","112101"
"6101444","100","180801"
"6101461","101","101001"
"6101461","102","110601"
"6101461","103","123101"
"6101461","104","131001"
"6101462","105","101001"
"6101462","106","110601"
"6101462","107","116001"
"6101463","108","123101"
"6101464","109","110601"
"6101464","110","131001"
"6101465","111","102301"
"6101465","112","106601"
"6101465","113","102101"
"6101465","114","126401"
"6101466","115","126101"
"6101467","116","110601"
"6101468","117","116001"
"6101469","118","131001"
"6101481","119","123301"
"6101481","120","125801"
"6101481","121","131101"
"6101482","122","118201"
"6101482","123","118101"
"6101482","124","131201"
"6101482","125","126901"
"6101483","126","123301"
"6101483","127","131101"
"6101484","128","118101"
"6101484","129","125801"
"6101485","130","118201"
"6101485","131","126901"
"6101501","132","123001"
"6101501","133","106701"
"6101501","134","131701"
"6101502","135","127001"
"6101502","136","113601"
"6101502","137","107501"
"6101502","138","122801"
"6101502","139","122501"
"6101503","140","106701"
"6101503","141","131701"
"6101504","142","123001"
"6101504","143","106701"
"6101504","144","131701"
"6101504","145","113601"
"6101504","146","107501"
"6101504","147","124501"
"6101504","148","122801"
"6101504","149","122501"
"6101505","150","123001"
"6101505","151","106701"
"6101505","152","131701"
"6101505","153","127001"
"6101505","154","113601"
"6101505","155","107501"
"6101505","156","124501"
"6101505","157","122801"
"6101505","158","122501"
"6101521","159","107601"
"6101521","160","110301"
"6101521","161","109701"
"6101522","162","109901"
"6101522","163","109801"
"6101522","164","132001"
"6101522","165","131901"
"6101522","166","122701"
"6101522","167","126601"
"6101522","168","113501"
"6101522","169","126901"
"6101522","170","132101"
"6101523","171","109701"
"6101523","172","109901"
"6101523","173","109801"
"6101523","174","131901"
"6101524","175","109801"
"6101524","176","109701"
"6101524","177","132001"
"6101524","178","107601"
"6101524","179","110301"
"6101524","180","132101"
"6101525","181","107601"
"6101525","182","110301"
"6101526","183","109701"
"6101529","184","132101"
"6101527","185","122701"
"6101527","186","126601"
"6101527","187","113501"
"6101527","188","126901"
"6101528","189","109901"
"6101528","190","109801"
"6101520","191","132001"
"6101520","192","131901"
"6101540","193","105401"
"6101540","194","102901"
"6101540","195","113901"
"6101540","196","117401"
"6101540","197","111601"
"6101540","198","117201"
"6101540","199","124801"
"6101541","200","132201"
"6101541","201","104201"
"6101541","202","108401"
"6101541","203","117301"
"6101542","204","104201"
"6101542","205","117301"
"6101542","206","111601"
"6101542","207","132201"
"6101550","208","130201"
"6101550","209","126101"
"6101550","210","125801"
"6101551","211","126501"
"6101551","212","126001"
"6101551","213","130001"
"6101551","214","129701"
"6101551","215","105801"
"6101581","216","101801"
"6101580","217","126501"
"6101581","218","110101"
"6101581","219","119001"
"6101581","220","132901"
"6101580","221","132801"
"6101580","222","105001"
"6101581","223","100801"
"6101581","224","127901"
"6101580","225","108301"
"6101581","226","121401"
"6101581","227","117601"
"6101581","228","126301"
"6101601","229","102801"
"6101601","230","105301"
"6101601","231","110301"
"6101601","232","114501"
"6101601","233","127501"
"6101600","235","180901"
"6101601","236","114201"
"6101601","237","125201"
"6101600","238","133201"
