0213e3c0974e38797f5443db9f074c821ce7a721e7e0f8cf78c8d28157f7d128,e5f9d1e7f36bf672303e3829aba620a8f69c13f316e628fd94dfb35996135994,4fe16050dd6665f1de2bd009d1b5ca60098188d29c7ea440a0d9d7950a620c2a
"1","1","101"
"2","1","103"
"3","1","105"
"4","2","101"
"5","2","102"
"6","2","103"
"7","2","105"
"8","3","101"
"9","3","102"
"10","3","103"
"11","4","101"
"12","4","103"
"13","4","104"
"14","4","105"
"15","5","103"
"16","5","104"
"17","5","105"
"18","6","102"
"19","6","104"
"20","6","106"
"21","7","101"
"22","7","102"
"23","7","106"
"24","8","102"
"25","8","103"
"26","8","106"
"27","9","103"
"28","9","104"
"29","9","105"
"30","10","101"
"31","10","103"
"32","10","105"
"33","11","107"
"34","11","108"
