08b5465e0e5c5a6b2b2b8a4ab7f0eb5dfbe63a7ced21ddbbde08053e0169c7da,ae432381ea499c126480f6484844fd424aa6d7dd238ad9e5a6d9b711c5ef7a46,31173a3e2a24673d578474c6b237b9a63a5b15199d5f94a3268d0d3ae3b3097e,a99987f82c00fd825bf3d2fc78cd77edc140c0377b5d5e513d98effd23b18eb3,94d3367c36324799bf12e57281ca32a259deb0aed67b0ef986c50a46e1f6d3eb,f6f1b9cafe62a0028ccb80db7b2633ea0d61d4eeeecd68f4725a0457a39e6a58,3f260b722d40b94fa92240134ba2ded7ff6ac20cc1c19f61fa792acbd90f944b,8bd79242e5e8b859ac5f7ed9e301cebf41ffeb540331af308539dc2cc1e94ff1,09b167e7e123509b09e86d757ee45fef4a18f32b548f021b4ed807b0bba34348,d522f5fd287219de73f4d600a040841e1d953d6edcb472dabf5aab2d6e15e7fa,b52e4e97c0d66806ab8d886619f91e55a82cebba14663e7471bd5c5222aaab97
"1","2","5","10","1010801","0","dsb_idle_normal","70","-345","-165","1010801001"
"2","2","5","4","1010801","1","dsb_idle_worry","70","-345","165","1010801002"
"99","2","5","10","1010801","0","dsb_lago","70","-350","-215","1010801003"
"1","1","31","1","1010801","","","0","1","0","1010801004"
"3","1","31","3","1010801","","","0","1","0","1010801005"
"4","1","31","4","1010801","","","0","1","0","1010801006"
"10","1","31","14","1010801","","","0","1","0","1010801007"
"20","1","31","24","1010801","","","0","1","0","1010801008"
"30","1","31","34","1010801","","","155","1","-168","1010801009"
"31","1","31","34","1010801","","","-155","1","-168","1010801010"
"32","1","31","42","1010801","","","-222","1","-175","1010801011"
"40","0","31","40","1010801","","","0","1","0","1010801012"
"170","","13","1","1010801","","","","","","1010801013"
"170","","13","2","1010801","","","","","","1010801014"
"","","91","0","1010801","","","","","","1010801015"
"se_10044200_cmn_amb","","23","se_10044200","1010801","","","1","","","1010801016"
"se_10044200_cmn_steam","","23","se_10044200","1010801","","","0","","","1010801017"
"0","","93","6","1010801","","","","","","1010801018"
"se_10044200_hotspring_04","","23","se_10044200","1010801","","","1","","","1010801019"
"0","","93","1.5","1010801","","","","","","1010801020"
"dsb_talk_anger_Ex8","0.5","3","2","1010801","","","1","","","1010801021"
"vo_dsb_1001","","21","vo_dsb_1010801","1010801","","","0","","0","1010801022"
"あ、あづいです～っ！！\nここのお湯の温度はおかしいですよ……\nどうなってるですか、ボス！？","0","11","2","1010801","0","0.2","10","1","1","1010801023"
"","","91","0","1010801","","","","","","1010801024"
"dsb_idle_worry","0.5","3","2","1010801","","","1","","","1010801025"
"dsb_talk_worry_Ex3","0.5","3","1","1010801","","","1","","","1010801026"
"vo_dsb_1002","","21","vo_dsb_1010801","1010801","","","0","","0","1010801027"
"今はボスじゃなくて\n若女将って呼んでほしいな～？","0","11","1","1010801","0","0.2","10","1","1","1010801028"
"","","91","0","1010801","","","","","","1010801029"
"dsb_idle_normal","0.5","3","1","1010801","","","1","","","1010801030"
"dsb_talk_doya_sing","0.5","3","2","1010801","0.5","","0","1","dsb_talk_doya_sing_loop","1010801031"
"vo_dsb_1003","","21","vo_dsb_1010801","1010801","","","0","","0","1010801032"
"けっ。\nな～にが若女将ですか……\n根性のねじ曲がったババ女将のくせに。","0","11","2","1010801","0","0.2","10","1","1","1010801033"
"","","91","0","1010801","","","","","","1010801034"
"dsb_idle_doya_blink","0.5","3","2","1010801","","","1","","","1010801035"
"dsb_talk_sad2_talkjoy2","0.5","3","1","1010801","","","1","","","1010801036"
"vo_dsb_1004","","21","vo_dsb_1010801","1010801","","","0","","0","1010801037"
"イノリちゃん……\n今なんか言った？","0","11","1","1010801","0","0.2","10","1","1","1010801038"
"","","91","0","1010801","","","","","","1010801039"
"dsb_idle_normal","0.5","3","1","1010801","","","1","","","1010801040"
"dsb_surprise_inori","0.2","3","2","1010801","0.5","","0","1","dsb_talk_surprise1_2","1010801041"
"vo_dsb_1005","","21","vo_dsb_1010801","1010801","","","0","","0","1010801042"
"いいい、いや何も言ってないですよ～？\nそんなことより温泉です！\nこの熱さはただごとじゃないです……\n絶対ヤバいものが入ってるですよ！","0","11","2","1010801","0","0.2","10","1","1","1010801043"
"","","91","0","1010801","","","","","","1010801044"
"dsb_idle_surprise1_normal","0.5","3","2","1010801","","","1","","","1010801045"
"dsb_talk_bitter","0.5","3","1","1010801","","","1","","","1010801046"
"vo_dsb_1006","","21","vo_dsb_1010801","1010801","","","0","","0","1010801047"
"人聞きが悪いな～\n危険なものなんて入ってないよ～\n……むしろイノリちゃんだって\nよく知ってるものだし？","0","11","1","1010801","0","0.2","10","1","1","1010801048"
"","","91","0","1010801","","","","","","1010801049"
"dsb_idle_normal","0.5","3","1","1010801","","","1","","","1010801050"
"dsb_sniff","0.5","3","2","1010801","","","1","","","1010801051"
"vo_dsb_1007","","21","vo_dsb_1010801","1010801","","","0","","0","1010801052"
"言われてみれば……クンクン。\nこのお湯の匂い\nどっかで嗅いだような気がするです。","0","11","2","1010801","0","0.2","10","1","1","1010801053"
"","","91","0","1010801","","","","","","1010801054"
"dsb_idle_normal","0.5","3","2","1010801","","","1","","","1010801055"
"dsb_talk_joy3","0.5","3","1","1010801","","","1","","","1010801056"
"vo_dsb_1008","","21","vo_dsb_1010801","1010801","","","0","","0","1010801057"
"そうでしょ～？\n正解は～……\nドラゴンもどきちゃんからもらった\n食べると火が吹ける木の実でした～☆","0","11","1","1010801","0","0.2","10","1","1","1010801058"
"","","91","0","1010801","","","","","","1010801059"
"dsb_idle_normal","0.5","3","1","1010801","","","1","","","1010801060"
"dsb_talk_guts2","0.5","3","2","1010801","0.5","","0","1","dsb_talk_guts2_loop","1010801061"
"vo_dsb_1009","","21","vo_dsb_1010801","1010801","","","0","","0","1010801062"
"ああっ！？\nあの火の実ですか！\nだったらこの熱さも納得ですよ！\nあいつ、元気だったですか？","0","11","2","1010801","0","0.2","10","1","1","1010801063"
"","","91","0","1010801","","","","","","1010801064"
"dsb_idle_guts2","0.5","3","2","1010801","","","1","","","1010801065"
"dsb_talk_normal","0.5","3","1","1010801","","","1","","","1010801066"
"vo_dsb_1010","","21","vo_dsb_1010801","1010801","","","0","","0","1010801067"
"うん☆\n私のこと覚えててくれたみたいでね？\nすぐに実を分けてくれたんだ～♪\nこころよ～く、ね？","0","11","1","1010801","0","0.2","10","1","1","1010801068"
"","","91","0","1010801","","","","","","1010801069"
"dsb_hot","0.5","3","1","1010801","","","1","","","1010801070"
"vo_dsb_1011","","21","vo_dsb_1010801","1010801","","","0","","0","1010801071"
"それにしても……\nふぅ。\n実の量を多くしすぎたかな～？\nちょっと火照ってきちゃった～","0","11","1","1010801","0","0.2","10","1","1","1010801072"
"","","91","0","1010801","","","","","","1010801073"
"dsb_hot_loop","0.5","3","1","1010801","","","1","","","1010801074"
"dsb_talk_thinking_Ex9","0.3","3","2","1010801","","","1","","","1010801075"
"vo_dsb_1012","","21","vo_dsb_1010801","1010801","","","0","","0","1010801076"
"（こ、これは……チャンスですよ！\nあたしよりも先にボスがのぼせたら\nその時点でボスはあたしよりへっぽこ！\nつまりあたしの勝ち！　ザ・下克上！）","0","11","2","1010801","0","0.2","10","1","1","1010801077"
