31c9bf1160539ebf017a0785776faf2c576936b8ab620a1a92fa02e6d572a614,f97640720a9cec8be85d90da685d27ed58b4e023eaf6cb24858d74953fb37442,e67525d5267193a56ce835d6d2d7fc38fd3f2ea5bd3c57ad27d345fa86ea5b9b,0d8f016306ed3a397048e94bf577e849c39d7dfd7e917512deb3386e3a8e5cdc,77e4553955c2532aaabadaf425be814130675be1f0a563112e095b1eaa8e21be,a64381de060c0bbd85424bf6d4d9b6fcbc3683e1b3443fe30865ed9492b5cdd8,7f4865b21482c3ede017ed46d79326920630c6e5e565425fbfeda01694ab5e4f,0876975e04c7f6eac1e6ea5cd540ab365c1105835b1c243a1fb02634a3be607f,c421f0a2eceab8dfb897edb598d97e2d4604bd818408f9712015c190df73ac0d,8518bd639240c8b5be7028b5724e914dd75654486422ad4890d3fb8494f2d5e1
"15","-1","22","10001","2","53003","8","2","","3"
"1","14","22","10002","1","53003","5","1","","3"
"0","0","23","10003","0","52019","2","0","ワカナの施し","3"
"15","-1","22","10004","2","53003","8","2","","4"
"1","14","22","10005","1","53003","5","1","","4"
"0","0","23","10006","0","52019","2","0","ワカナの施し","4"
"15","-1","22","10007","2","53003","8","2","","5"
"1","14","22","10008","1","53003","5","1","","5"
"0","0","23","10009","0","52019","2","0","ワカナの施し","5"
"15","-1","22","10010","2","53003","8","2","","6"
"1","14","22","10011","1","53003","5","1","","6"
"0","0","23","10012","0","52019","2","0","ワカナの施し","6"
"15","-1","22","10013","2","53003","8","2","","7"
"1","14","22","10014","1","53003","5","1","","7"
"0","0","23","10015","0","52019","2","0","ワカナの施し","7"
"15","-1","22","10016","2","53003","8","2","","8"
"1","14","22","10017","1","53003","5","1","","8"
"0","0","23","10018","0","52019","2","0","ワカナの施し","8"
"15","-1","22","10019","2","53003","8","2","","9"
"1","14","22","10020","1","53003","5","1","","9"
"0","0","23","10021","0","52019","2","0","ワカナの施し","9"
"15","-1","22","10022","2","53003","8","2","","10"
"1","14","22","10023","1","53003","5","1","","10"
"0","0","23","10024","0","52019","2","0","ワカナの施し","10"
"15","-1","22","10025","2","53003","8","2","","11"
"1","14","22","10026","1","53003","5","1","","11"
"0","0","23","10027","0","52019","2","0","ワカナの施し","11"
