6cf10a7d0c984a62bdda84ebf5080410abf9917fee5cf65249077c4b42fdc116,88d5f4e4f609c2247f7a2635ee9f958b9d8128c1693694d9b18a9039c55ef103,e1fda8db74b67a29520eb70a2c0c0c23bd3194a79a4725b2ede839c7733666e8
"美食殿","1","1"
"トゥインクルウィッシュ","2","1"
"ラビリンス","3","1"
"カルミナ","4","1"
"リトルリリカル","5","1"
"フォレスティエ","6","1"
"悪魔偽王国軍（ディアボロス）","7","1"
"王宮騎士団（NIGHTMARE）","8","1"
"サレンディア救護院","9","1"
"自警団（カォン）","10","1"
"牧場（エリザベスパーク）","11","1"
"メルクリウス財団","12","1"
"トワイライトキャラバン","13","1"
"ルーセント学院","14","1"
"ヴァイスフリューゲル ランドソル支部","15","1"
"聖テレサ女学院（なかよし部）","16","1"
"ドラゴンズネスト","17","1"
"レイジ・レギオン","18","1"
"リッチモンド商工会","19","1"
"アルターメイデン","20","1"
"ジオ・テオゴニア","21","1"
"ジオ・ゲヘナ","22","1"
"ジオ・ニヴルヘル","23","1"
"バンディ・シスターズ","24","1"
"アルケス錬金堂","25","1"
"？？？","26","1"
