bc5af8ea63502249658dd8b96782c057c85eb6e883c6ad18965705bafe64afb4,5ada539ffc3790a80889e763c7fdac65c062d784668b898a56ffcc789450aa83,0a22101c75f7f50d6d338cb9b8b54973369698e08ac23594361fdb606d26ee7b,c9778ce16e0da120f6215943849ce715ac6850a2d8f02b8617ff6451733dcd87,49da2f77d935b8fb0377aa02fea242929db959dadc766f472e170e7427d9d647,0401a6b8d7e3b19280d0df23d53e821a6b429fdd2ff498997667e4175373903b,cc7df7cabb8bed3c4ac5b3b596739ab2a2205dfd9294e7acaf54fb29c02b818d,8f82c5fab33afe31a65578f69b0f1b3d1bb464b06faca475188c23f2069afd70,bf8d8a3366df6ec4c22a3170f7d76220c1353675198c6dd4fccdc28a10324396,a33f293962858d0b85057762d0526bba0f397ed476e2a43388c661d510c7b45f,262b1d7c63c0993cd1ecd2bc05f10bd89834bd4e11e212e1e8f57dc66030892a
"1.65","1","1","100","1","1001","taq_karin_idle","-194","1","72","118511"
"","1","","0","vo_minigame_1009","1002","","","21","0","vo_minigame_1009_top_001"
"0","1","0","8","118511","1003","0","0","11","0","賞品も用意して\nいますので頑張って\nくださいね♪"
"0.2","1","","1","118511","1004","","","3","","taq_karin_talk_normal"
"","1","","","1003","1005","","","91","",""
"0.2","1","","1","118511","1006","","","3","","taq_karin_idle"
"1.65","2","1","100","1","2001","taq_karin_idle","-194","1","72","118511"
"","2","","0","vo_minigame_1009","2002","","","21","0","vo_minigame_1009_top_002"
"0","2","0","8","118511","2003","0","0","11","0","みなさんの知識が\n試されますよ"
"0.2","2","","1","118511","2004","","","3","","taq_karin_talk_thinking"
"","2","","","2003","2005","","","91","",""
"0.2","2","","1","118511","2006","","","3","","taq_karin_idle"
"1.65","3","1","100","1","3001","taq_karin_idle","-194","1","72","118511"
"","3","","0","vo_minigame_1009","3002","","","21","0","vo_minigame_1009_top_003"
"0","3","0","8","118511","3003","0","0","11","0","世の中にはまだまだ\n知らないことが\nたくさんあるんですね"
"0.2","3","","1","118511","3004","","","3","","taq_karin_talk_surprise"
"","3","","","3003","3005","","","91","",""
"0.2","3","","1","118511","3006","","","3","","taq_karin_idle"
"1.65","4","1","100","1","4001","taq_karin_idle","-194","1","72","118511"
"","4","","0","vo_minigame_1009","4002","","","21","0","vo_minigame_1009_top_004"
"0","4","0","8","118511","4003","0","0","11","0","わからないときは\n勘に頼ってみても\nいいと思います"
"0.2","4","","1","118511","4004","","","3","","taq_karin_talk_normal2"
"","4","","","4003","4005","","","91","",""
"0.2","4","","1","118511","4006","","","3","","taq_karin_idle"
"1.65","5","1","100","1","5001","taq_karin_idle","-194","1","72","118511"
"","5","","0","vo_minigame_1009","5002","","","21","0","vo_minigame_1009_top_005"
"0","5","0","7","118511","5003","0","0","11","0","仲よく協力して\n全問正解を\n目指してくださいね♪"
"0.2","5","","1","118511","5004","","","3","","taq_karin_talk_joy3"
"","5","","","5003","5005","","","91","",""
"0.2","5","","1","118511","5006","","","3","","taq_karin_idle"
