c61b8e79556e3401b34f79d08ad9e0970e98afbcb90bb60a9922b90a7d12dd3b,d5bab126a62bcf4ee174eaf0e62fe1228e45fb8ac0337c2edd66db9b76a5eff8,910a521d2f71c7deba61bbaf77751ef63445aff9f502ecdf2922e607f21ca0c9,2c6a84ae8e57f4c067c561372ebbe38d8245341be3cee98f46c83ba2e02b40da,1a16050001efc919a8fc8c9859bf81518ef03eb4b1927640bf2ec5eff262f8b1
"10000101","100001011","12","94002","150000"
"10000101","100001012","2","22003","6"
"10000102","100001021","12","94002","500000"
"10000102","100001022","2","22003","6"
"10000103","100001031","12","94002","500000"
"10000103","100001032","4","140001","3"
"10000103","100001033","2","25001","3"
"10000104","100001041","12","94002","500000"
"10000104","100001042","2","22003","6"
"10000105","100001051","12","94002","500000"
"10000105","100001052","4","140001","4"
"10000105","100001053","2","25001","4"
"10000106","100001061","12","94002","500000"
"10000106","100001062","2","22003","6"
"10000107","100001071","12","94002","500000"
"10000107","100001072","4","140001","4"
"10000107","100001073","2","25001","4"
"10000108","100001081","12","94002","500000"
"10000108","100001082","2","22003","6"
"10000109","100001091","12","94002","500000"
"10000109","100001092","4","140001","4"
"10000109","100001093","2","25001","4"
"10050501","100505011","12","94002","120000"
"10050501","100505012","2","22003","3"
"10050502","100505021","12","94002","120000"
"10050502","100505022","2","22003","4"
"10050503","100505031","12","94002","120000"
"10050503","100505032","2","22003","4"
"10050511","100505111","12","94002","120000"
"10050511","100505112","2","22003","3"
"10050512","100505121","12","94002","160000"
"10050512","100505122","2","22003","4"
"10060601","100606011","12","94002","120000"
"10060601","100606012","2","22003","3"
"10060602","100606021","12","94002","120000"
"10060602","100606022","2","22003","4"
"10060603","100606031","12","94002","120000"
"10060603","100606032","2","22003","4"
"10060611","100606111","12","94002","120000"
"10060611","100606112","2","22003","3"
"10060612","100606121","12","94002","160000"
"10060612","100606122","2","22003","4"
"10070701","100707011","12","94002","120000"
"10070701","100707012","2","22003","3"
"10070702","100707021","12","94002","120000"
"10070702","100707022","2","22003","4"
"10070703","100707031","12","94002","120000"
"10070703","100707032","2","22003","4"
"10070711","100707111","12","94002","120000"
"10070711","100707112","2","22003","3"
"10070712","100707121","12","94002","160000"
"10070712","100707122","2","22003","4"
"10080801","100808011","12","94002","120000"
"10080801","100808012","2","22003","3"
"10080802","100808021","12","94002","120000"
"10080802","100808022","2","22003","4"
"10080803","100808031","12","94002","120000"
"10080803","100808032","2","22003","4"
"10080811","100808111","12","94002","120000"
"10080811","100808112","2","22003","3"
"10080812","100808121","12","94002","160000"
"10080812","100808122","2","22003","4"
