ad6a60b376801a59571f89b58e334f470f596b30909a092d26940365023b6938,44b67c44bf1cd7a1b4b1efa0866e3763655b11441653ec5585d932f686f769d7,9a18406e317248d556e725cf53ed952a6158aee60c602745a89941d19444a827,b7264b5a5343801a8cfdf7246b70615981dfaa8d842b269fff317514a5550af4,97a724ce5343df0e27414afabc0d52ff180a7763eb8131e36b0e04885f2b0129,f116a21bcc56f99637e696087419f6079fe69ded72d9f61f6fa5f095a801fdae,33f8097534fd65efb11c3fe0964edc2a88b7116dc95f20c2b18f136cb47906b4,ced5fb66bfe8c7952fe57bba31781fae5fe0f32013c4cb7f38603c1c680624de,736e270e4ff4c08244cd62a1c3e157d4f9a2d51beca70f8f7d51748569a4ea9b,8a1f65f4be7004321d7a117b5f86d2f5209a110643bcf1ad4038fdefad9321e8,f4ee61513f2b82cd38f846f60729b99e3d381f46d3edf75b23007b0e15d073d9,28c9aa1a942153f5f7ccdf740bb0475accd6c607225995084e85d22531d97842
"924071100","1","92407110","1","0","92407","92407120","924072101","924073101","90","1","500000000"
"924071200","2","92407120","2","92407110","92407","92407130","924072102","924073102","90","1","1000000000"
"924071300","3","92407130","3","92407120","92407","92407140","924072103","924073103","90","1","1500000000"
"924071400","4","92407140","3","92407130","92407","0","924072104","924073104","90","1","0"
"924072100","1","92407210","1","0","92407","92407220","924072201","924073201","90","1","500000000"
"924072200","2","92407220","2","92407210","92407","92407230","924072202","924073202","90","1","1000000000"
"924072300","3","92407230","3","92407220","92407","92407240","924072203","924073203","90","1","1500000000"
"924072400","4","92407240","3","92407230","92407","0","924072204","924073204","90","1","0"
"924073100","1","92407310","1","0","92407","92407320","924072301","924073301","90","1","500000000"
"924073200","2","92407320","2","92407310","92407","92407330","924072302","924073302","90","1","1000000000"
"924073300","3","92407330","3","92407320","92407","92407340","924072303","924073303","90","1","1500000000"
"924073400","4","92407340","3","92407330","92407","0","924072304","924073304","90","1","0"
"924081100","1","92408110","1","0","92408","92408120","924082101","924083101","90","1","500000000"
"924081200","2","92408120","2","92408110","92408","92408130","924082102","924083102","90","1","1000000000"
"924081300","3","92408130","3","92408120","92408","92408140","924082103","924083103","90","1","1500000000"
"924081400","4","92408140","3","92408130","92408","0","924082104","924083104","90","1","0"
"924082100","1","92408210","1","0","92408","92408220","924082201","924083201","90","1","500000000"
"924082200","2","92408220","2","92408210","92408","92408230","924082202","924083202","90","1","1000000000"
"924082300","3","92408230","3","92408220","92408","92408240","924082203","924083203","90","1","1500000000"
"924082400","4","92408240","3","92408230","92408","0","924082204","924083204","90","1","0"
"924083100","1","92408310","1","0","92408","92408320","924082301","924083301","90","1","500000000"
"924083200","2","92408320","2","92408310","92408","92408330","924082302","924083302","90","1","1000000000"
"924083300","3","92408330","3","92408320","92408","92408340","924082303","924083303","90","1","1500000000"
"924083400","4","92408340","3","92408330","92408","0","924082304","924083304","90","1","0"
"924091100","1","92409110","1","0","92409","92409120","924092101","924093101","90","1","500000000"
"924091200","2","92409120","2","92409110","92409","92409130","924092102","924093102","90","1","1000000000"
"924091300","3","92409130","3","92409120","92409","92409140","924092103","924093103","90","1","1500000000"
"924091400","4","92409140","4","92409130","92409","0","924092104","924093104","90","1","0"
"924092100","1","92409210","1","0","92409","92409220","924092201","924093201","90","1","500000000"
"924092200","2","92409220","2","92409210","92409","92409230","924092202","924093202","90","1","1000000000"
"924092300","3","92409230","3","92409220","92409","92409240","924092203","924093203","90","1","1500000000"
"924092400","4","92409240","4","92409230","92409","0","924092204","924093204","90","1","0"
"924093100","1","92409310","1","0","92409","92409320","924092301","924093301","90","1","500000000"
"924093200","2","92409320","2","92409310","92409","92409330","924092302","924093302","90","1","1000000000"
"924093300","3","92409330","3","92409320","92409","92409340","924092303","924093303","90","1","1500000000"
"924093400","4","92409340","4","92409330","92409","0","924092304","924093304","90","1","0"
"924101100","1","92410110","1","0","92410","92410120","924102101","924103101","90","1","500000000"
"924101200","2","92410120","2","92410110","92410","92410130","924102102","924103102","90","1","1000000000"
"924101300","3","92410130","3","92410120","92410","92410140","924102103","924103103","90","1","1500000000"
"924101400","4","92410140","4","92410130","92410","0","924102104","924103104","90","1","0"
"924102100","1","92410210","1","0","92410","92410220","924102201","924103201","90","1","500000000"
"924102200","2","92410220","2","92410210","92410","92410230","924102202","924103202","90","1","1000000000"
"924102300","3","92410230","3","92410220","92410","92410240","924102203","924103203","90","1","1500000000"
"924102400","4","92410240","4","92410230","92410","0","924102204","924103204","90","1","0"
"924103100","1","92410310","1","0","92410","92410320","924102301","924103301","90","1","500000000"
"924103200","2","92410320","2","92410310","92410","92410330","924102302","924103302","90","1","1000000000"
"924103300","3","92410330","3","92410320","92410","92410340","924102303","924103303","90","1","1500000000"
"924103400","4","92410340","4","92410330","92410","0","924102304","924103304","90","1","0"
"924111100","1","92411110","1","0","92411","92411120","924112101","924113101","90","1","500000000"
"924111200","2","92411120","2","92411110","92411","92411130","924112102","924113102","90","1","1000000000"
"924111300","3","92411130","3","92411120","92411","92411140","924112103","924113103","90","1","1500000000"
"924111400","4","92411140","4","92411130","92411","0","924112104","924113104","90","1","0"
"924112100","1","92411210","1","0","92411","92411220","924112201","924113201","90","1","500000000"
"924112200","2","92411220","2","92411210","92411","92411230","924112202","924113202","90","1","1000000000"
"924112300","3","92411230","3","92411220","92411","92411240","924112203","924113203","90","1","1500000000"
"924112400","4","92411240","4","92411230","92411","0","924112204","924113204","90","1","0"
"924113100","1","92411310","1","0","92411","92411320","924112301","924113301","90","1","500000000"
"924113200","2","92411320","2","92411310","92411","92411330","924112302","924113302","90","1","1000000000"
"924113300","3","92411330","3","92411320","92411","92411340","924112303","924113303","90","1","1500000000"
"924113400","4","92411340","4","92411330","92411","0","924112304","924113304","90","1","0"
