abb0d80554843582ade6e3df9b4d94e823d418623c7fc813ca5cc8c9182cf693,6a7ceb29eb8d86ccefd3f890f68e576705ed05a92ae759bd365ab9a60d013757,f1f196e9c70762cbc9cce864c2a2c5ec96b7daf6ab3c0bbd488beda079419d07,3c80b7bbb9256493bbf717d450e9124d04c1839474352106d7f080a2f50689c8,0d27dcdfa2e87a3f65da80507e0d073a8a7c5dff04425a49840c2ea7b303e84b,d6ed9b0c2e324a4fa780f388dd90433e1a681b8fbf4da5e4d881003e55660890,cc016c2f26260943fe3a6b8afb7696d1e192361537163c93ee12099384c3c75f,f1b8b27b85c94588d1c6b8801993d2c235b2292caeafb375eae45bccc7c9ca3c,b4164ea75ee56b3f9fdf03d5066efb0a8e47485008c3b8e2e0ef92cb52c46508,c713e3395a0a71554ad9646286599f14ad1865f55d94733058b21205d3f50b10,76ac44162c6c38a160bdf29039f86d1bf0ec2c31c7edf46b0ed71802210afae2,c955bbc13cd817783fb3c3704de234dfc3f87d40362ea7c1ec7dc8ba4753bf6f
"vo_10020900_0001","0","0","0","0","2","vo_10020900","0","0","1","1010001","1"
"0","1","180","0","0","1","0","0.818181818181818","0","1","1010002","2"
"0","1","0","0.818181818181818","0","4","0","0","1","1","1010003","3"
"0","2","148","0","0","1","0","0.634285714285714","0","1","1010004","4"
"0","2","0","1.03428571428571","0","4","0","0","1","1","1010005","5"
"0","2","460","0","148","1","0","1.33714285714286","0","1","1010006","6"
"0","2","0","2.13714285714286","0","4","0","0","1","1","1010007","7"
"vo_10020900_0002","0","0","0","0","2","vo_10020900","0","0","1","1010008","8"
"0","3","223","0","0","1","0","1.12948051948052","0","1","1010009","9"
"0","3","0","2.12948051948052","0","4","0","0","1","1","1010010","10"
"vo_10020900_0003","0","0","0","0","2","vo_10020900","0","0","1","1010011","11"
"0","3","343","0","223","1","0","0.545454545454545","0","1","1010012","12"
"0","3","0","1.04545454545455","0","4","0","0","1","1","1010013","13"
"0","3","700","0","343","1","0","1.71545454545455","0","1","1010014","14"
"0","3","0","2.71545454545455","0","4","0","0","1","1","1010015","15"
"vo_10020900_0004","0","0","0","0","2","vo_10020900","0","0","1","1010016","16"
"0","4","275","0","0","1","0","1.67857142857143","0","1","1010017","17"
"0","4","0","2.17857142857143","0","4","0","0","1","1","1010018","18"
"vo_10020900_0005","0","0","0","0","2","vo_10020900","0","0","1","1010019","19"
"0","4","465","0","275","1","0","1.28311688311688","0","1","1010020","20"
"0","4","0","1.98311688311688","0","4","0","0","1","1","1010021","21"
"0","4","715","0","465","1","0","1.2987012987013","0","1","1010022","22"
"0","4","0","1.9987012987013","0","4","0","0","1","1","1010023","23"
"0","5","400","0","0","1","0","2.07792207792208","0","1","1010024","24"
"0","5","0","3.07792207792208","0","4","0","0","1","1","1010025","25"
"vo_10020900_0006","0","0","0","0","2","vo_10020900","0","0","1","1010026","26"
"0","6","182","0","0","1","0","1.06363636363636","0","1","1010027","27"
"0","6","0","1.56363636363636","0","4","0","0","1","1","1010028","28"
"0","6","700","0","182","1","0","2.96","0","1","1010029","29"
"0","6","0","3.96","0","4","0","0","1","1","1010030","30"
"vo_10020900_0007","0","0","0","0","2","vo_10020900","0","0","1","1010031","31"
"0","7","85","0","0","1","0","0.386363636363636","0","1","1010032","32"
"0","7","0","0.886363636363636","0","4","0","0","1","1","1010033","33"
"0","7","750","0","85","1","0","3.54090909090909","0","1","1010034","34"
"0","7","0","4.54090909090909","0","4","0","0","1","1","1010035","35"
"vo_10020900_0008","0","0","0","0","2","vo_10020900","0","0","1","1010036","36"
"0","8","95","0","0","1","0","0.431818181818182","0","1","1010037","37"
"0","8","0","1.03181818181818","0","4","0","0","1","1","1010038","38"
"vo_10020900_0009","0","0","0","0","2","vo_10020900","0","0","1","1010039","39"
"0","8","235","0","95","1","0","0.709090909090909","0","1","1010040","40"
"0","8","0","1.30909090909091","0","4","0","0","1","1","1010041","41"
"vo_10020900_0010","0","0","0","0","2","vo_10020900","0","0","1","1010042","42"
"0","8","750","0","235","1","0","3.07662337662338","0","1","1010043","43"
"0","8","0","4.07662337662338","0","4","0","0","1","1","1010044","44"
"vo_10020900_0011","0","0","0","0","2","vo_10020900","0","0","1","1010045","45"
"0","9","170","0","0","1","0","1.43506493506493","0","1","1010046","46"
"0","9","0","2.43506493506493","0","4","0","0","1","1","1010047","47"
"vo_10020900_0012","0","0","0","0","2","vo_10020900","0","0","1","1010048","48"
"0","9","720","0","170","1","0","2.75","0","1","1010049","49"
"0","9","0","3.95","0","4","0","0","1","1","1010050","50"
"vo_10020900_0013","0","0","0","0","2","vo_10020900","0","0","1","1010051","51"
"0","10","585","0","170","1","0","1.67792207792208","0","1","1010052","52"
"0","10","0","2.27792207792208","0","4","0","0","1","1","1010053","53"
"0","10","750","0","585","1","0","0.9","0","1","1010054","54"
