be93ae6fa026fa43ac76fdd2e5e41fe164dca789b4ba816b9689cc7aa3b5927d,3ea2da44bffa99f198c35839946629dfe7e5a6059a1bf181878265189b0a5a66,ae3522220d44870478ee64d9018b8d8914111f4d0eefb861a86280afd75a6f9a,171ad7b9486c9b07d344f6ca3709c24d9b3b63e1fff31bd0ca9d0ebcc70906fc,993e97726e9e3ce22437bc2e9bbbcdb6f2642f7ad124d969c78adf945808a4f4,5c7e36ae57632ada0454e62f62fc4b150dd24e8f2f2484e2b0f40627bc673d6d
"74001101","550101102","550101101","550101104","550101103","550101105"
"74001102","550101202","550101201","550101204","550101203","550101205"
"74001103","550101302","550101301","550101304","550101303","550101305"
"74001104","550101402","550101401","550101404","550101403","550101405"
"74001105","550101502","550101501","550101504","550101503","550101505"
"74001201","550101107","550101106","550101109","550101108","550101110"
"74001202","550101207","550101206","550101209","550101208","550101210"
"74001203","550101307","550101306","550101309","550101308","550101310"
"74001204","550101407","550101406","550101409","550101408","550101410"
"74001205","550101507","550101506","550101509","550101508","550101510"
"74001301","550101113","550101112","0","550101111","0"
"74001302","550101213","550101212","0","550101211","0"
"74001303","550101313","550101312","0","550101311","0"
"74001304","550101413","550101412","0","550101411","0"
"74001305","550101513","550101512","0","550101511","0"
"74001401","550101114","550101115","0","550101116","0"
"74001402","550101214","550101215","0","550101216","0"
"74001403","550101314","550101315","0","550101316","0"
"74001404","550101414","550101415","0","550101416","0"
"74001405","550101514","550101515","0","550101516","0"
"74001501","0","550101117","0","0","0"
"74001502","0","550101217","0","0","0"
"74001503","0","550101317","0","0","0"
"74001504","0","550101417","0","0","0"
"74001505","0","550101517","0","0","0"
"74001999","0","550101999","0","0","0"
"74002101","550102102","550102101","550102104","550102103","550102105"
"74002102","550102202","550102201","550102204","550102203","550102205"
"74002103","550102302","550102301","550102304","550102303","550102305"
"74002104","550102402","550102401","550102404","550102403","550102405"
"74002105","550102502","550102501","550102504","550102503","550102505"
"74002201","550102107","550102106","550102109","550102108","550102110"
"74002202","550102207","550102206","550102209","550102208","550102210"
"74002203","550102307","550102306","550102309","550102308","550102310"
