40af7c2fe4104faaff4988caa0998d97d345bc007ad606fa0ca0a0a4a832a234,6b7aacd4a6b9ea694f1ffb4c718b915737517be31009e029a2db544c53fd87c7,8a548e7c891983c15885c17d224bfa1120f0c4cd067040dfdddb0338687a9e39,544a5ff7832ff65d688c5aecc1848550aced6e231006d879f2cf2eaa4abd29da,f11b348ffe811042ec8e3fa10c102b6ec9c8d605f308ec4efb60f01991c346d1,de099c9cd13a4d13c0afeb78d224553e639f7e8a692010cfb77336436020c77d,b2377c1eb8b2e9544241e2c19ad4ecceb792eec31e51d2f5eecc6ee7f57e4ba8
"810100102","810100105","810100104","810010011","810100101","810100103","1"
"810100202","810100205","810100204","810010021","810100201","810100203","2"
"810100302","810100305","810100304","810010031","810100301","810100303","3"
"810100402","810100405","810100404","810010041","810100401","810100403","4"
"810100502","810100505","810100504","810010051","810100501","810100503","5"
"810100602","810100605","810100604","810010061","810100601","810100603","6"
"810100702","810100705","810100704","810010071","810100701","810100703","7"
"810100802","810100805","810100804","810010081","810100801","810100803","8"
"810100902","810100905","810100904","810010091","810100901","810100903","9"
"0","0","0","810010101","810101001","0","10"
"810101102","810101105","810101104","810010111","810101101","810101103","11"
"810101202","810101205","810101204","810010121","810101201","810101203","12"
"810101302","810101305","810101304","810010131","810101301","810101303","13"
"810101402","810101405","810101404","810010141","810101401","810101403","14"
"810101502","810101505","810101504","810010151","810101501","810101503","15"
"810101602","810101605","810101604","810010161","810101601","810101603","16"
"810101702","810101705","810101704","810010171","810101701","810101703","17"
"810101802","810101805","810101804","810010181","810101801","810101803","18"
"810101902","810101905","810101904","810010191","810101901","810101903","19"
"0","0","0","810010201","810102001","0","20"
"810102102","810102105","810102104","810010211","810102101","810102103","21"
"810102202","810102205","810102204","810010221","810102201","810102203","22"
"810102302","810102305","810102304","810010231","810102301","810102303","23"
"810102402","810102405","810102404","810010241","810102401","810102403","24"
"810102502","810102505","810102504","810010251","810102501","810102503","25"
"810102602","810102605","810102604","810010261","810102601","810102603","26"
"810102702","810102705","810102704","810010271","810102701","810102703","27"
"810102802","810102805","810102804","810010281","810102801","810102803","28"
"810102902","810102905","810102904","810010291","810102901","810102903","29"
"0","0","0","810010301","810103001","0","30"
"810103102","810103105","810103104","810010311","810103101","810103103","31"
"810103202","810103205","810103204","810010321","810103201","810103203","32"
"810103302","810103305","810103304","810010331","810103301","810103303","33"
"810103402","810103405","810103404","810010341","810103401","810103403","34"
"810103502","810103505","810103504","810010351","810103501","810103503","35"
"810103602","810103605","810103604","810010361","810103601","810103603","36"
"810103702","810103705","810103704","810010371","810103701","810103703","37"
"810103802","810103805","810103804","810010381","810103801","810103803","38"
"810103902","810103905","810103904","810010391","810103901","810103903","39"
"0","0","0","810010401","810104001","0","40"
"810104102","810104105","810104104","810010411","810104101","810104103","41"
"810104202","810104205","810104204","810010421","810104201","810104203","42"
"810104302","810104305","810104304","810010431","810104301","810104303","43"
"810104402","810104405","810104404","810010441","810104401","810104403","44"
"810104502","810104505","810104504","810010451","810104501","810104503","45"
"810104602","810104605","810104604","810010461","810104601","810104603","46"
"810104702","810104705","810104704","810010471","810104701","810104703","47"
"810104802","810104805","810104804","810010481","810104801","810104803","48"
"810104902","810104905","810104904","810010491","810104901","810104903","49"
"0","0","0","810010501","810105001","0","50"
"820100102","820100105","820100104","820010011","820100101","820100103","51"
"820100202","820100205","820100204","820010021","820100201","820100203","52"
"820100302","820100305","820100304","820010031","820100301","820100303","53"
"820100402","820100405","820100404","820010041","820100401","820100403","54"
"820100502","820100505","820100504","820010051","820100501","820100503","55"
"820100602","820100605","820100604","820010061","820100601","820100603","56"
"820100702","820100705","820100704","820010071","820100701","820100703","57"
"820100802","820100805","820100804","820010081","820100801","820100803","58"
"820100902","820100905","820100904","820010091","820100901","820100903","59"
"0","0","0","820010101","820101001","0","60"
"820101102","820101105","820101104","820010111","820101101","820101103","61"
"820101202","820101205","820101204","820010121","820101201","820101203","62"
"820101302","820101305","820101304","820010131","820101301","820101303","63"
"820101402","820101405","820101404","820010141","820101401","820101403","64"
"820101502","820101505","820101504","820010151","820101501","820101503","65"
"820101602","820101605","820101604","820010161","820101601","820101603","66"
"820101702","820101705","820101704","820010171","820101701","820101703","67"
"820101802","820101805","820101804","820010181","820101801","820101803","68"
"820101902","820101905","820101904","820010191","820101901","820101903","69"
"0","0","0","820010201","820102001","0","70"
"820102102","820102105","820102104","820010211","820102101","820102103","71"
"820102202","820102205","820102204","820010221","820102201","820102203","72"
"820102302","820102305","820102304","820010231","820102301","820102303","73"
"820102402","820102405","820102404","820010241","820102401","820102403","74"
"820102502","820102505","820102504","820010251","820102501","820102503","75"
"820102602","820102605","820102604","820010261","820102601","820102603","76"
"820102702","820102705","820102704","820010271","820102701","820102703","77"
"820102802","820102805","820102804","820010281","820102801","820102803","78"
"820102902","820102905","820102904","820010291","820102901","820102903","79"
"0","0","0","820010301","820103001","0","80"
"820103102","820103105","820103104","820010311","820103101","820103103","81"
"820103202","820103205","820103204","820010321","820103201","820103203","82"
"820103302","820103305","820103304","820010331","820103301","820103303","83"
"820103402","820103405","820103404","820010341","820103401","820103403","84"
"820103502","820103505","820103504","820010351","820103501","820103503","85"
"820103602","820103605","820103604","820010361","820103601","820103603","86"
"820103702","820103705","820103704","820010371","820103701","820103703","87"
"820103802","820103805","820103804","820010381","820103801","820103803","88"
"820103902","820103905","820103904","820010391","820103901","820103903","89"
"0","0","0","820010401","820104001","0","90"
"820104102","820104105","820104104","820010411","820104101","820104103","91"
"820104202","820104205","820104204","820010421","820104201","820104203","92"
"820104302","820104305","820104304","820010431","820104301","820104303","93"
"820104402","820104405","820104404","820010441","820104401","820104403","94"
"820104502","820104505","820104504","820010451","820104501","820104503","95"
"820104602","820104605","820104604","820010461","820104601","820104603","96"
"820104702","820104705","820104704","820010471","820104701","820104703","97"
"820104802","820104805","820104804","820010481","820104801","820104803","98"
"820104902","820104905","820104904","820010491","820104901","820104903","99"
"0","0","0","820010501","820105001","0","100"
"830100102","830100105","830100104","830010011","830100101","830100103","101"
"830100202","830100205","830100204","830010021","830100201","830100203","102"
"830100302","830100305","830100304","830010031","830100301","830100303","103"
"830100402","830100405","830100404","830010041","830100401","830100403","104"
"830100502","830100505","830100504","830010051","830100501","830100503","105"
"830100602","830100605","830100604","830010061","830100601","830100603","106"
"830100702","830100705","830100704","830010071","830100701","830100703","107"
"830100802","830100805","830100804","830010081","830100801","830100803","108"
"830100902","830100905","830100904","830010091","830100901","830100903","109"
"0","0","0","830010101","830101001","0","110"
"830101102","830101105","830101104","830010111","830101101","830101103","111"
"830101202","830101205","830101204","830010121","830101201","830101203","112"
"830101302","830101305","830101304","830010131","830101301","830101303","113"
"830101402","830101405","830101404","830010141","830101401","830101403","114"
"830101502","830101505","830101504","830010151","830101501","830101503","115"
"830101602","830101605","830101604","830010161","830101601","830101603","116"
"830101702","830101705","830101704","830010171","830101701","830101703","117"
"830101802","830101805","830101804","830010181","830101801","830101803","118"
"830101902","830101905","830101904","830010191","830101901","830101903","119"
"0","0","0","830010201","830102001","0","120"
"830102102","830102105","830102104","830010211","830102101","830102103","121"
"830102202","830102205","830102204","830010221","830102201","830102203","122"
"830102302","830102305","830102304","830010231","830102301","830102303","123"
"830102402","830102405","830102404","830010241","830102401","830102403","124"
"830102502","830102505","830102504","830010251","830102501","830102503","125"
"830102602","830102605","830102604","830010261","830102601","830102603","126"
"830102702","830102705","830102704","830010271","830102701","830102703","127"
"830102802","830102805","830102804","830010281","830102801","830102803","128"
"830102902","830102905","830102904","830010291","830102901","830102903","129"
"0","0","0","830010301","830103001","0","130"
"830103102","830103105","830103104","830010311","830103101","830103103","131"
"830103202","830103205","830103204","830010321","830103201","830103203","132"
"830103302","830103305","830103304","830010331","830103301","830103303","133"
"830103402","830103405","830103404","830010341","830103401","830103403","134"
"830103502","830103505","830103504","830010351","830103501","830103503","135"
"830103602","830103605","830103604","830010361","830103601","830103603","136"
"830103702","830103705","830103704","830010371","830103701","830103703","137"
"830103802","830103805","830103804","830010381","830103801","830103803","138"
"830103902","830103905","830103904","830010391","830103901","830103903","139"
"0","0","0","830010401","830104001","0","140"
"830104102","830104105","830104104","830010411","830104101","830104103","141"
"830104202","830104205","830104204","830010421","830104201","830104203","142"
"830104302","830104305","830104304","830010431","830104301","830104303","143"
"830104402","830104405","830104404","830010441","830104401","830104403","144"
"830104502","830104505","830104504","830010451","830104501","830104503","145"
"830104602","830104605","830104604","830010461","830104601","830104603","146"
"830104702","830104705","830104704","830010471","830104701","830104703","147"
"830104802","830104805","830104804","830010481","830104801","830104803","148"
"830104902","830104905","830104904","830010491","830104901","830104903","149"
"0","0","0","830010501","830105001","0","150"
"840100102","840100105","840100104","840010011","840100101","840100103","151"
"840100202","840100205","840100204","840010021","840100201","840100203","152"
"840100302","840100305","840100304","840010031","840100301","840100303","153"
"840100402","840100405","840100404","840010041","840100401","840100403","154"
"840100502","840100505","840100504","840010051","840100501","840100503","155"
"840100602","840100605","840100604","840010061","840100601","840100603","156"
"840100702","840100705","840100704","840010071","840100701","840100703","157"
"840100802","840100805","840100804","840010081","840100801","840100803","158"
"840100902","840100905","840100904","840010091","840100901","840100903","159"
"0","0","0","840010101","840101001","0","160"
"840101102","840101105","840101104","840010111","840101101","840101103","161"
"840101202","840101205","840101204","840010121","840101201","840101203","162"
"840101302","840101305","840101304","840010131","840101301","840101303","163"
"840101402","840101405","840101404","840010141","840101401","840101403","164"
"840101502","840101505","840101504","840010151","840101501","840101503","165"
"840101602","840101605","840101604","840010161","840101601","840101603","166"
"840101702","840101705","840101704","840010171","840101701","840101703","167"
"840101802","840101805","840101804","840010181","840101801","840101803","168"
"840101902","840101905","840101904","840010191","840101901","840101903","169"
"0","0","0","840010201","840102001","0","170"
"840102102","840102105","840102104","840010211","840102101","840102103","171"
"840102202","840102205","840102204","840010221","840102201","840102203","172"
"840102302","840102305","840102304","840010231","840102301","840102303","173"
"840102402","840102405","840102404","840010241","840102401","840102403","174"
"840102502","840102505","840102504","840010251","840102501","840102503","175"
"840102602","840102605","840102604","840010261","840102601","840102603","176"
"840102702","840102705","840102704","840010271","840102701","840102703","177"
"840102802","840102805","840102804","840010281","840102801","840102803","178"
"840102902","840102905","840102904","840010291","840102901","840102903","179"
"0","0","0","840010301","840103001","0","180"
"840103102","840103105","840103104","840010311","840103101","840103103","181"
"840103202","840103205","840103204","840010321","840103201","840103203","182"
"840103302","840103305","840103304","840010331","840103301","840103303","183"
"840103402","840103405","840103404","840010341","840103401","840103403","184"
"840103502","840103505","840103504","840010351","840103501","840103503","185"
"840103602","840103605","840103604","840010361","840103601","840103603","186"
"840103702","840103705","840103704","840010371","840103701","840103703","187"
"840103802","840103805","840103804","840010381","840103801","840103803","188"
"840103902","840103905","840103904","840010391","840103901","840103903","189"
"0","0","0","840010401","840104001","0","190"
"840104102","840104105","840104104","840010411","840104101","840104103","191"
"840104202","840104205","840104204","840010421","840104201","840104203","192"
"840104302","840104305","840104304","840010431","840104301","840104303","193"
"840104402","840104405","840104404","840010441","840104401","840104403","194"
"840104502","840104505","840104504","840010451","840104501","840104503","195"
