2fd639571b1806b34b3aa08fa7918ea9a08ee27ea4bbf1a81b2e3fd2e9cce682,0cbe21f742d19c506656d1bcf8806ea38a03d1094d2140c9161a3a36da4625b0,d3506ec8f4454352fcfb00b4325d12bc12a7968b52c2a4321dae52939f9465e0,05f9b4b6ad1ff548d062859c64eb3ed335f39e35ae60e128781f89f53f77649b,6a867f9f6948d337423ad6eeeb026a593fcedbb7e93ca96b8efcfde8fda31d85,62077d51eb7b7786ef555ea3ec434b71bc6edbabfec41f328dc83b137df36534,01da65ab0519606124a01987817c256937571882c2274286de8b69ae0beee9ec,27e66fa5e49ec75789236b3adeff40a3938959a9c1a6dcc4442f4f306d377a4b,8ac5561436d3ac35f83d214f19484d30c2f5c39e50cd83920a8ebbbb95a40e8e,9b4c921cfdcf4233aa47fc2714b5d0e3a936a46d27401192b629fb4ffad2e350,11b5ddb64413e0f142276d1136865e4c5273cf0549d96b2430a526a2e297e250,592a12e1a848f4d92a483a53e0964bc72c3c2316848c5cd872882f1b6317fe9a
"4","0","1","0","0","1","0","0","3","1","0","1010001"
"2","0","0","0","0","2","0","vo_minigame_1005_nikki01_000","0","1","vo_minigame_1005","1010002"
"1","1.418","0","1","202","3","0","0","0","1","0","1010003"
"4","0","1.858","0","0","4","0","0","1","1","0","1010004"
"1","2.536","0","2","316","5","0","0","0","1","0","1010005"
"4","0","3.484","0","0","6","0","0","1","1","0","1010006"
"2","0","0","0","0","7","0","vo_minigame_1005_nikki01_001","0","1","vo_minigame_1005","1010007"
"1","1.131","0","3","121","8","0","0","0","1","0","1010008"
"4","0","1.407","0","0","9","0","0","1","1","0","1010009"
"1","1.043","0","3","276","10","121","0","0","1","0","1010010"
"4","0","1.719","0","0","11","0","0","1","1","0","1010011"
"1","0.69","0","3","389","12","276","0","0","1","0","1010012"
"4","0","0.69","0","0","13","0","0","1","1","0","1010013"
"1","1.694","0","4","224","14","0","0","0","1","0","1010014"
"4","0","2.204","0","0","15","0","0","1","1","0","1010015"
"1","1.298","0","4","384","16","224","0","0","1","0","1010016"
"4","0","1.298","0","0","17","0","0","1","1","0","1010017"
"1","1.118","0","5","131","18","0","0","0","1","0","1010018"
"4","0","1.199","0","0","19","0","0","1","1","0","1010019"
"1","0.958","0","5","244","20","131","0","0","1","0","1010020"
"4","0","1.269","0","0","21","0","0","1","1","0","1010021"
"1","1.373","0","5","394","22","244","0","0","1","0","1010022"
"4","0","1.373","0","0","23","0","0","1","1","0","1010023"
"1","0.193","0","6","25","24","0","0","0","1","0","1010024"
"4","0","0.552","0","0","25","0","0","1","1","0","1010025"
"1","2.64","0","6","368","26","25","0","0","1","0","1010026"
"4","0","3.195","0","0","27","0","0","1","1","0","1010027"
"1","0.599","0","7","65","28","0","0","0","1","0","1010028"
"4","0","0.929","0","0","29","0","0","1","1","0","1010029"
"1","1.302","0","7","252","30","65","0","0","1","0","1010030"
"4","0","2.395","0","0","31","0","0","1","1","0","1010031"
"2","0","0","0","0","32","0","vo_minigame_1005_nikki01_002","0","1","vo_minigame_1005","1010032"
"1","2.09","0","8","271","33","0","0","0","1","0","1010033"
"4","0","2.512","0","0","34","0","0","1","1","0","1010034"
"1","0.868","0","8","400","35","271","0","0","1","0","1010035"
"4","0","0.907","0","0","36","0","0","1","1","0","1010036"
"1","2.214","0","9","315","37","0","0","0","1","0","1010037"
"4","0","2.562","0","0","38","0","0","1","1","0","1010038"
"1","1.65","0","10","242","39","0","0","0","1","0","1010039"
"4","0","2.654","0","0","40","0","0","1","1","0","1010040"
"2","0","0","0","0","41","0","vo_minigame_1005_nikki01_003","0","1","vo_minigame_1005","1010041"
"1","0.685","0","10","345","42","242","0","0","1","0","1010042"
"4","0","1.036","0","0","43","0","0","1","1","0","1010043"
"1","0.378","0","10","397","44","345","0","0","1","0","1010044"
"4","0","0.378","0","0","45","0","0","1","1","0","1010045"
"1","2.438","0","11","377","46","0","0","0","1","0","1010046"
"4","0","3.395","0","0","47","0","0","1","1","0","1010047"
"2","0","0","0","0","48","0","vo_minigame_1005_nikki01_004","0","1","vo_minigame_1005","1010048"
"1","0.642","0","12","83","49","0","0","0","1","0","1010049"
"4","0","1.061","0","0","50","0","0","1","1","0","1010050"
"1","0.539","0","12","159","51","83","0","0","1","0","1010051"
"4","0","0.877","0","0","52","0","0","1","1","0","1010052"
"1","1.135","0","12","316","53","159","0","0","1","0","1010053"
"4","0","2.635","0","0","54","0","0","1","1","0","1010054"
"4","0","1","0","0","1","0","0","3","2","0","1020001"
"2","0","0","0","0","2","0","vo_minigame_1005_nikki02_000","0","2","vo_minigame_1005","1020002"
"1","2.91","0","1","345","3","0","0","0","2","0","1020003"
"4","0","3.814","0","0","4","0","0","1","2","0","1020004"
"2","0","0","0","0","5","0","vo_minigame_1005_nikki02_001","0","2","vo_minigame_1005","1020005"
"1","1.67","0","2","239","6","0","0","0","2","0","1020006"
"4","0","2.19","0","0","7","0","0","1","2","0","1020007"
"1","2.455","0","3","314","8","0","0","0","2","0","1020008"
"4","0","3.527","0","0","9","0","0","1","2","0","1020009"
"2","0","0","0","0","10","0","vo_minigame_1005_nikki02_002","0","2","vo_minigame_1005","1020010"
"1","0.454","0","4","70","11","0","0","0","2","0","1020011"
"4","0","0.874","0","0","12","0","0","1","2","0","1020012"
"1","2.154","0","4","392","13","70","0","0","2","0","1020013"
"4","0","3.373","0","0","14","0","0","1","2","0","1020014"
"2","0","0","0","0","15","0","vo_minigame_1005_nikki02_003","0","2","vo_minigame_1005","1020015"
"1","0.895","0","5","125","16","0","0","0","2","0","1020016"
"4","0","1.311","0","0","17","0","0","1","2","0","1020017"
"1","1.114","0","5","265","18","125","0","0","2","0","1020018"
"4","0","1.181","0","0","19","0","0","1","2","0","1020019"
"1","0.497","0","5","340","20","265","0","0","2","0","1020020"
"4","0","0.497","0","0","21","0","0","1","2","0","1020021"
"1","1.37","0","6","189","22","0","0","0","2","0","1020022"
"4","0","2.407","0","0","23","0","0","1","2","0","1020023"
"2","0","0","0","0","24","0","vo_minigame_1005_nikki02_004","0","2","vo_minigame_1005","1020024"
"1","1.616","0","7","195","25","0","0","0","2","0","1020025"
"4","0","2.035","0","0","26","0","0","1","2","0","1020026"
"1","0.951","0","7","295","27","195","0","0","2","0","1020027"
"4","0","1.322","0","0","28","0","0","1","2","0","1020028"
"1","1.924","0","8","258","29","0","0","0","2","0","1020029"
"4","0","2.98","0","0","30","0","0","1","2","0","1020030"
"2","0","0","0","0","31","0","vo_minigame_1005_nikki02_005","0","2","vo_minigame_1005","1020031"
"1","0.93","0","9","114","32","0","0","0","2","0","1020032"
"4","0","1.24","0","0","33","0","0","1","2","0","1020033"
"1","0.879","0","9","257","34","114","0","0","2","0","1020034"
"4","0","1.877","0","0","35","0","0","1","2","0","1020035"
"2","0","0","0","0","36","0","vo_minigame_1005_nikki02_006","0","2","vo_minigame_1005","1020036"
"1","1.148","0","10","144","37","0","0","0","2","0","1020037"
"4","0","1.541","0","0","38","0","0","1","2","0","1020038"
"1","1.145","0","10","307","39","144","0","0","2","0","1020039"
"4","0","2.645","0","0","40","0","0","1","2","0","1020040"
"4","0","1","0","0","1","0","0","3","3","0","1030001"
"2","0","0","0","0","2","0","vo_minigame_1005_nikki03_000","0","3","vo_minigame_1005","1030002"
"1","2.61","0","1","332","3","0","0","0","3","0","1030003"
"4","0","3.007","0","0","4","0","0","1","3","0","1030004"
"1","1.47","0","2","233","5","0","0","0","3","0","1030005"
"4","0","2.171","0","0","6","0","0","1","3","0","1030006"
"2","0","0","0","0","7","0","vo_minigame_1005_nikki03_001","0","3","vo_minigame_1005","1030007"
"1","2.1","0","3","322","8","0","0","0","3","0","1030008"
"4","0","2.579","0","0","9","0","0","1","3","0","1030009"
"1","2.298","0","4","349","10","0","0","0","3","0","1030010"
"4","0","3.18","0","0","11","0","0","1","3","0","1030011"
"2","0","0","0","0","12","0","vo_minigame_1005_nikki03_002","0","3","vo_minigame_1005","1030012"
"1","1.262","0","5","173","13","0","0","0","3","0","1030013"
"4","0","1.993","0","0","14","0","0","1","3","0","1030014"
"2","0","0","0","0","15","0","vo_minigame_1005_nikki03_003","0","3","vo_minigame_1005","1030015"
"1","0.373","0","5","243","16","173","0","0","3","0","1030016"
"4","0","0.69","0","0","17","0","0","1","3","0","1030017"
"1","1.045","0","5","362","18","243","0","0","3","0","1030018"
"4","0","2.131","0","0","19","0","0","1","3","0","1030019"
"2","0","0","0","0","20","0","vo_minigame_1005_nikki03_004","0","3","vo_minigame_1005","1030020"
"1","2.147","0","6","289","21","0","0","0","3","0","1030021"
"4","0","2.618","0","0","22","0","0","1","3","0","1030022"
"1","1.445","0","7","202","23","0","0","0","3","0","1030023"
"4","0","2.552","0","0","24","0","0","1","3","0","1030024"
"2","0","0","0","0","25","0","vo_minigame_1005_nikki03_005","0","3","vo_minigame_1005","1030025"
"1","0.876","0","8","123","26","0","0","0","3","0","1030026"
"4","0","1.252","0","0","27","0","0","1","3","0","1030027"
"1","1.306","0","8","324","28","123","0","0","3","0","1030028"
"4","0","1.507","0","0","29","0","0","1","3","0","1030029"
"1","1.319","0","9","186","30","0","0","0","3","0","1030030"
"4","0","2.549","0","0","31","0","0","1","3","0","1030031"
"2","0","0","0","0","32","0","vo_minigame_1005_nikki03_006","0","3","vo_minigame_1005","1030032"
"1","2.728","0","10","383","33","0","0","0","3","0","1030033"
"4","0","3.023","0","0","34","0","0","1","3","0","1030034"
"1","0.91","0","11","123","35","0","0","0","3","0","1030035"
"4","0","1.977","0","0","36","0","0","1","3","0","1030036"
"2","0","0","0","0","37","0","vo_minigame_1005_nikki03_007","0","3","vo_minigame_1005","1030037"
"1","0.558","0","11","208","38","123","0","0","3","0","1030038"
"4","0","0.973","0","0","39","0","0","1","3","0","1030039"
"1","1.35","0","11","392","40","208","0","0","3","0","1030040"
"4","0","2.103","0","0","41","0","0","1","3","0","1030041"
"2","0","0","0","0","42","0","vo_minigame_1005_nikki03_008","0","3","vo_minigame_1005","1030042"
"1","0.935","0","12","150","43","0","0","0","3","0","1030043"
"4","0","2.435","0","0","44","0","0","1","3","0","1030044"
"4","0","1","0","0","1","0","0","3","4","0","1040001"
"2","0","0","0","0","2","0","vo_minigame_1005_nikki04_000","0","4","vo_minigame_1005","1040002"
"1","1.597","0","1","222","3","0","0","0","4","0","1040003"
"4","0","1.881","0","0","4","0","0","1","4","0","1040004"
"1","1.46","0","2","239","5","0","0","0","4","0","1040005"
"4","0","2.457","0","0","6","0","0","1","4","0","1040006"
"2","0","0","0","0","7","0","vo_minigame_1005_nikki04_001","0","4","vo_minigame_1005","1040007"
"1","1.208","0","3","171","8","0","0","0","4","0","1040008"
"4","0","1.578","0","0","9","0","0","1","4","0","1040009"
"1","0.673","0","3","270","10","171","0","0","4","0","1040010"
"4","0","1.009","0","0","11","0","0","1","4","0","1040011"
"1","0.65","0","3","352","12","270","0","0","4","0","1040012"
"4","0","0.729","0","0","13","0","0","1","4","0","1040013"
"1","0.976","0","4","166","14","0","0","0","4","0","1040014"
"4","0","1.993","0","0","15","0","0","1","4","0","1040015"
"2","0","0","0","0","16","0","vo_minigame_1005_nikki04_002","0","4","vo_minigame_1005","1040016"
"1","0.396","0","4","220","17","166","0","0","4","0","1040017"
"4","0","0.864","0","0","18","0","0","1","4","0","1040018"
"1","0.74","0","4","352","19","220","0","0","4","0","1040019"
"4","0","1.855","0","0","20","0","0","1","4","0","1040020"
"2","0","0","0","0","21","0","vo_minigame_1005_nikki04_003","0","4","vo_minigame_1005","1040021"
"1","0.437","0","5","52","22","0","0","0","4","0","1040022"
"4","0","0.497","0","0","23","0","0","1","4","0","1040023"
"1","1.776","0","5","289","24","52","0","0","4","0","1040024"
"4","0","2.233","0","0","25","0","0","1","4","0","1040025"
"1","1.29","0","6","153","26","0","0","0","4","0","1040026"
"4","0","1.638","0","0","27","0","0","1","4","0","1040027"
"1","1.137","0","6","329","28","153","0","0","4","0","1040028"
"4","0","2.3","0","0","29","0","0","1","4","0","1040029"
"2","0","0","0","0","30","0","vo_minigame_1005_nikki04_004","0","4","vo_minigame_1005","1040030"
"1","0.336","0","7","55","31","0","0","0","4","0","1040031"
"4","0","0.826","0","0","32","0","0","1","4","0","1040032"
"1","1.223","0","7","252","33","55","0","0","4","0","1040033"
"4","0","1.223","0","0","34","0","0","1","4","0","1040034"
"1","0.994","0","8","179","35","0","0","0","4","0","1040035"
"4","0","1.487","0","0","36","0","0","1","4","0","1040036"
"1","0.89","0","8","312","37","179","0","0","4","0","1040037"
"4","0","1.567","0","0","38","0","0","1","4","0","1040038"
