c01a5f7ace2b02dedde98301a6223851ce7709370dd54629d9c4ed837b24a0aa,80438a1fe4523be5629cb2b36418ecbb4241592579403a5a28c49d6737ba2b19,0f42a6c9fe75c73653a0258d2819f70ccf39da3c7cdb4a9235e5a4154e141bfc,4686ea25e42ad725ee274034ac5e2b2923e651b1c0755887b3134a55ae9ba42d,1ca54b7852c85893c6326278ddcf9c66bb328d6d7e825e4890446fa1592f5649
"3","3001","0","803100201","1"
"3","3001","0","803100202","2"
"3","3001","0","803100203","3"
"3","3002","0","803100204","1"
"3","3002","0","803100205","2"
"3","3002","0","803100206","3"
"3","3003","0","803100207","1"
"3","3003","0","803100208","2"
"3","3003","0","803100209","3"
"3","3004","0","803100210","1"
"3","3004","0","803100211","2"
"3","3004","0","803100212","3"
"3","3005","0","803100213","1"
"3","3005","0","803100214","2"
"3","3005","0","803100215","3"
"3","3006","0","803100216","1"
"3","3006","0","803100217","2"
"3","3006","0","803100218","3"
"3","3007","0","803100219","1"
"3","3007","0","803100220","2"
"3","3007","0","803100221","3"
