13924a3a825784d6e1563b96e1f269b3b39eca6fed7c26fe6bcf64e13527cb2b,1872a4b047990565301cbe39f33be0c4d8154c3f9074ac3eb5c73a087be610b6,0b977135ae06ea6d0ecc2a68f30b47dbf64237c5b240254224682a66eded34ce,74d4bf5dc227c88edfb8d4e215ae48868ee2dd3a47d9af4964fbc132524c2af9,5c649b36111aa319cd5de5b1fa1b1a33dd8e3559ff5afa971c8e049c9671e9bd,73a810dbadd5cd25cb2bd8c2f03ecc8debf96d85f5c866c81e3fa2b6d7da5539,de60b55277820caf81cb9977b2dac9d0a294498cd3f1f0c16869c55cdb33b4c7,959d49e6efe9d600f1a0fe8cee5082728e38dcc5dc3d215682258b5f3ec78188,15e6de0a8cf9d94c0c763238aeebd0eef5253a1d3281db6f3f433b84db8d0b2f,0849622923dbd9dc68b0809bc6a78662a51699a9ae06417f5d865ab7e21b1159,961410978fc3eb8503f0529e5392d99245e67c1620b899d1c40a092099420efa
"","25","4514","","","bgm_M321_2C","bgm_M321","","","4514001",""
"wac_birthday_idle_normal","1","4514","2","-70","105811","1","250","-1000","4514002","0"
"wac_birthday_idle_doya","1","4514","2","-270","106011","1","256","200","4514003","1"
"wac_birthday_idle_wish","1","4514","2","-310","105911","1","258","320","4514004","1"
"wac_birthday_idle_smile","1","4514","2","-290","106431","1","257","440","4514005","1"
"","13","4514","","","300","105811","","","4514006",""
"","13","4514","","","300","106011","","","4514007",""
"","31","4514","1","1","600","600","0","0","4514008",""
"","31","4514","0","1","602","602","0","0","4514009",""
"","31","4514","0","1","603","603","0","0","4514010",""
"","31","4514","1","1","604","604","30","60","4514011",""
"","31","4514","1","1","611","611","0","0","4514012",""
"","31","4514","0","1","700","700","0","0","4514013",""
"","31","4514","0","1","701","701","0","0","4514014",""
"","31","4514","0","1","702","702","0","0","4514015",""
"","31","4514","0","1","800","800","0","0","4514016",""
"","31","4514","1","1","900","900","30","60","4514017",""
"","93","4514","","","","1","","","4514018",""
"","3","4514","0.2","1","wac_birthday_reaction_01","105911","0","wac_birthday_reaction_03","4514019","0.2"
"","93","4514","","","","0.1","","","4514020",""
"","3","4514","0.2","1","wac_birthday_reaction_05","106011","0","wac_birthday_reaction_04","4514021","0.2"
"","3","4514","0.2","1","wac_birthday_reaction_02","106431","0","wac_birthday_reaction_03","4514022","0.2"
"","93","4514","","","","0.3","","","4514023",""
"","3","4514","0.2","","wac_birthday_run_01","105811","1","","4514024",""
"","2","4514","","","0","105811","-70","3","4514025",""
"","93","4514","","","","2.5","","","4514026",""
"","32","4514","","","1","602","","","4514027",""
"","93","4514","","","","0.6","","","4514028",""
"","32","4514","","","0","600","","","4514029",""
"","32","4514","","","0","611","","","4514030",""
"","32","4514","","","0","604","","","4514031",""
"","32","4514","","","1","701","","","4514032",""
"","33","4514","","","0","900","0","0.01","4514033",""
"","3","4514","0.2","1","wac_birthday_blowout_02","105811","0","wac_birthday_wish_02","4514034","0.2"
"","2","4514","","","-200","105811","-330","0.01","4514035",""
"","3","4514","0.2","","wac_birthday_idle_doya","106011","1","","4514036",""
"","2","4514","","","180","106011","-320","0.01","4514037",""
"","3","4514","0.2","","wac_birthday_idle_wish","105911","1","","4514038",""
"","2","4514","","","300","105911","-360","0.01","4514039",""
"","3","4514","0.2","","wac_birthday_idle_smile","106431","1","","4514040",""
"","2","4514","","","420","106431","-340","0.01","4514041",""
"","93","4514","","","","0","","","4514042",""
"","32","4514","","","1","800","","","4514043",""
"","93","4514","","","","0.7","","","4514044",""
"","32","4514","","","1","702","","","4514045",""
"","93","4514","","","","0.5","","","4514046",""
"","23","4514","","","se_sys_login_birthday_blow_candle","se_common","0","","4514047",""
"","32","4514","","","0","701","","","4514048",""
"","93","4514","","","","0.4","","","4514049",""
"","23","4514","","","se_sys_login_birthday_cracker","se_common","0","","4514050",""
"","32","4514","","","1","700","","","4514051",""
"","23","4514","","","se_sys_login_birthday_calendar_applause","se_common","0","","4514052",""
"","3","4514","0.2","1","wac_birthday_clap","106011","0","wac_birthday_idle_doya","4514053","0.2"
"","93","4514","","","","0.1","","","4514054",""
"","3","4514","0.2","1","wac_birthday_clap_to_wish","105911","0","wac_birthday_idle_wish","4514055","0.2"
"","93","4514","","","","0.1","","","4514056",""
"","3","4514","0.2","1","wac_birthday_clap","106431","0","wac_birthday_idle_smile","4514057","0.2"
"","93","4514","","","","2","","","4514058",""
"","131","4514","","","","1","","","4514059",""
"","21","4514","","","vo_wac_04514_000","vo_wac_04514","0","0","4514060",""
"0.5","11","4514","0","1","これって、誕生日ケーキですか！？\nありがとうございます♪\nとってもおいしそう……\nさっそくパクっといっちゃいますね♪","105811","10","1","4514061","0"
"","91","4514","","","","0","","","4514062",""
"","3","4514","0.2","","wac_birthday_idle_kyapi","105811","1","","4514063",""
"","3","4514","0.2","","wac_birthday_talk_normal","106011","1","","4514064",""
"","21","4514","","","vo_wac_04514_001","vo_wac_04514","0","0","4514065",""
"0.5","11","4514","0","1","ちょちょ、ストーーーップ！！\nまだろうそく外してないわよ！？\nほんと相変わらずね、あんたってば……\nふふっ、おめでと。","106011","10","1","4514066","0"
"","91","4514","","","","0","","","4514067",""
"","3","4514","0.2","","wac_birthday_idle_doya","106011","1","","4514068",""
"","3","4514","0.2","","wac_birthday_talk_kyapi","105811","1","","4514069",""
"","21","4514","","","vo_wac_04514_002","vo_wac_04514","0","0","4514070",""
"0.5","11","4514","0","1","えへへ、ありがとうございます♪\nいっぱい味わって食べますね！\nみんなに祝ってもらえて\n今日は最高の記念日です♪","105811","10","1","4514071","0"
"","91","4514","","","","0","","","4514072",""
"","3","4514","0.2","","wac_birthday_talk_wish","105811","1","","4514073",""
"","21","4514","","","vo_wac_04514_003","vo_wac_04514","0","0","4514074",""
"0.5","11","4514","0","1","今日も、明日も、この先の未来も\n素敵な食卓を囲んでいけますように♪\nもちろんあなたも一緒ですよ！\nこれからもよろしくお願いしますね！","105811","10","1","4514075","0"
"","91","4514","","","","0","","","4514076",""
"","22","4514","","","","0","","","4514077",""
"","25","4814","","","bgm_M321_2C","bgm_M321","","","4814001",""
"wac_birthday_idle_normal","1","4814","2","-70","102011","1","250","-1000","4814002","0"
"wac_birthday_idle_doya","1","4814","2","-270","103611","1","256","230","4814003","1"
"wac_birthday_idle_kyapi","1","4814","2","-310","100411","1","257","410","4814004","1"
"","13","4814","","","300","102011","","","4814005",""
"","13","4814","","","300","103611","","","4814006",""
"","31","4814","1","1","600","600","0","0","4814007",""
"","31","4814","0","1","602","602","0","0","4814008",""
"","31","4814","0","1","603","603","0","0","4814009",""
"","31","4814","1","1","604","604","30","60","4814010",""
"","31","4814","1","1","611","611","0","0","4814011",""
"","31","4814","0","1","700","700","0","0","4814012",""
"","31","4814","0","1","701","701","0","0","4814013",""
"","31","4814","0","1","702","702","0","0","4814014",""
"","31","4814","0","1","800","800","0","0","4814015",""
"","31","4814","1","1","901","901","30","60","4814016",""
"","93","4814","","","","1","","","4814017",""
"","3","4814","0.2","1","wac_birthday_reaction_02","100411","0","wac_birthday_reaction_03","4814018","0.2"
"","93","4814","","","","0.1","","","4814019",""
