fbc3aed2d59b7867ce6efb7103646ef20f5e20f88c6f1dc6e4e9bd1b01069052,cf3f27717691359e91ffea89cec4f0c9ae6f88b4d2465a469a3bb6929b002cab,69c168eb361040d02a9a23756deb2d86d67cefdf8634a07d1cc1aa383596776f,d563fe508f8a5c28ff1c3caa1b91081e5af67da56d6be2ce132651e98be596cc,379d9a6c0950459f661f10e87cd067fcf59411e41d5f5ba80ff281e54f9fdca9,51376d75c078f9323e9010da0bed63186080ce9afc54b8c7bda970aaf819c508,934f0cb1e26bf451b70bdb321ab54d5ae288194c36033054db7987a00bcd4867
"0","1006401","開会式","0","20036104","4","10064"
"0","1006402","開会式","0","20036104","3","10064"
"0","1006403","徒競走","1006402","20036104","1","10064"
"0","1006404","徒競走","1006402","20036104","4","10064"
"0","1006405","徒競走","1006402","20036104","2","10064"
"0","1006406","騎馬戦","1006405","20036104","2","10064"
"0","1006407","騎馬戦","1006405","20036104","4","10064"
"0","1006408","昼休憩","1006406","20036106","3","10064"
"0","1006409","昼休憩","1006406","20036106","4","10064"
"0","1006410","学術文化出展各種","1006408","20036106","3","10064"
"0","1006411","学術文化出展各種","1006408","20036106","4","10064"
"0","1006412","学術文化出展各種","1006408","20036106","1","10064"
"0","1006413","侍女風給仕喫茶","1006410","20036108","4","10064"
"0","1006414","侍女風給仕喫茶","1006410","20036108","3","10064"
"0","1006415","総合リレー","1006414","20036113","3","10064"
"0","1006416","総合リレー","1006414","20036113","4","10064"
"2003601","1006417","セレモニーステージ","1006415","0","1","10064"
"2003601","1006418","セレモニーステージ","1006415","0","4","10064"
"2003601","1006419","セレモニーステージ","1006415","0","2","10064"
"2003601","1006420","閉会式","1006419","0","3","10064"
"2003601","1006421","閉会式","1006419","0","4","10064"
"2003601","1006422","コンプリート演出","1006420","0","4","10064"
