1c83232aa065f278877f684ad88e92842336fe56ab0e8753cf7580365ed23d2b,6b7d86639696f0a45db1c213d8561eb680bf9cee830a817f40c1bbb9857d14a0,5340af5c6da22205ebfb719e09c05fd21582a08db303257d16da2980710adc11,1752974406ea795057f16feb2ecc602eef513d1216d088137ce35b420c1df6b4,a614b3a9b7979772b08b21b55028454492b96bd067ae51e18497b31a86d4c687,bae405e4fe4f4332e72eea773c49b64a74748578b257b71e58f1792a0efdd114,61e369a8a7b6d9f2f8ab505705f5a8124272c0f672c35c6320395e311c5cb1e5,60bdeed774e1e84bc3aedba3fe9dbaeb2fcf097f4cf822c133bb8a985da7a801,c47c8ed81faebd962c5f864423d050fec6be92b89de2e7356d7c79490f686b2a
"唯一無二の","1","1","0","1","1","1","3","2"
"完全無欠の","1","1","0","1","1","2","3","2"
"ランドソル最速の","1","1","1","1","1","3","3","2"
"明鏡止水の","1","1","0","1","1","4","3","2"
"史上最速の","1","1","0","1","1","5","3","2"
"最強最速の","1","1","0","1","1","6","3","2"
"アルティメット","1","1","2","1","1","7","3","2"
"百点満点","1","1","0","1","1","8","3","2"
"最優秀","1","1","0","1","1","9","3","2"
"一騎当千の","1","1","0","1","1","10","3","2"
"唯一無二の","1","1","0","1","1","11","3","2"
"天下無双の","1","1","0","1","1","12","3","2"
"泰然自若の","0","1","0","1","1","13","3","2"
"ハイパー","0","1","0","1","1","14","3","2"
"光速の","0","1","0","1","1","15","3","2"
"稀代の","0","1","0","1","1","16","3","2"
"極限の","0","1","0","1","1","17","3","2"
"至高の","0","1","0","1","1","18","3","2"
"煌めく","0","1","0","1","1","19","3","2"
"百戦錬磨の","0","1","0","1","1","20","3","2"
"疾風迅雷の","0","1","0","1","1","21","3","2"
"電光石火の","0","1","0","1","1","22","3","2"
"変幻自在の","1","1","0","1","0","23","3","2"
"空前絶後の","1","1","0","1","0","24","3","2"
"レペゼン","1","1","0","1","0","25","3","2"
"音速の","1","1","0","1","0","26","3","2"
"常識外れの","1","1","0","1","0","27","3","2"
"獅子奮迅の","1","1","0","1","0","28","3","2"
"勇猛果敢なる","1","1","2","1","0","29","3","2"
"威風堂々たる","1","1","2","1","0","30","3","2"
"急がば回れ","1","1","0","1","0","31","3","2"
"心頭滅却","1","1","0","1","0","32","3","2"
"夢見る","0","1","0","1","0","33","3","2"
"ナイス","0","1","0","1","0","34","3","2"
"そこそこの","0","1","0","1","0","35","3","2"
"若葉マークの","0","1","2","1","0","36","3","2"
"未来ある","0","1","0","1","0","37","3","2"
"新米","0","1","0","1","0","38","3","2"
"駆け出しの","0","1","0","1","0","39","3","2"
"ぼちぼちの","0","1","0","1","0","40","3","2"
"新進気鋭の","0","1","0","1","0","41","3","2"
"不撓不屈の","0","1","0","1","0","42","3","2"
"七転八起の","0","1","0","1","0","43","3","2"
"がんばれ","0","1","0","1","0","44","3","2"
"選ばれし","1","1","0","2","1","45","3","2"
"アルティメット","1","1","2","2","1","46","3","2"
"オーシャンブルー","1","1","1","2","1","47","3","2"
"海に愛された","1","1","2","2","1","48","3","2"
"大海を統べる","1","1","2","2","1","49","3","2"
"伝説の","1","1","0","2","1","50","3","2"
"世界を揺るがす","1","1","2","2","1","51","3","2"
"スーパーワイルド","1","1","1","2","1","52","3","2"
"神がかった","1","1","0","2","1","53","3","2"
"ぶっちぎりの","1","1","2","2","1","54","3","2"
"誰にも止められない","0","1","1","2","1","55","3","2"
"血湧き肉躍る","0","1","2","2","1","56","3","2"
"メガ","0","1","0","2","1","57","3","2"
"ナチュラルボーン","0","1","1","2","1","58","3","2"
"大海原の","0","1","0","2","1","59","3","2"
"アドレナリン全開の","0","1","1","2","1","60","3","2"
"オーマ産の","0","1","0","2","1","61","3","2"
"手練れの","0","1","0","2","1","62","3","2"
"歴戦の","0","1","0","2","1","63","3","2"
"水を得た","0","1","0","2","1","64","3","2"
"ド級の","0","1","0","2","1","65","3","2"
"ただ者ではない","1","1","2","2","0","66","3","2"
"勇猛なる","1","1","0","2","0","67","3","2"
"ひた走る","1","1","0","2","0","68","3","2"
"目にも留まらぬ","1","1","2","2","0","69","3","2"
"荒波の","1","1","0","2","0","70","3","2"
"レイジオブ","1","1","0","2","0","71","3","2"
"負けず嫌いの","1","1","2","2","0","72","3","2"
"伸び盛りの","1","1","0","2","0","73","3","2"
"型破りの","1","1","0","2","0","74","3","2"
"暴れる","1","1","0","2","0","75","3","2"
"荒れくるう","1","1","0","2","0","76","3","2"
"うわさの","0","1","0","2","0","77","3","2"
"ビーチサイドの","0","1","2","2","0","78","3","2"
"元気はつらつ","0","1","2","2","0","79","3","2"
"常夏を駆ける","0","1","2","2","0","80","3","2"
"マッスル","0","1","0","2","0","81","3","2"
"金波銀波の","0","1","0","2","0","82","3","2"
"生まれながらの","0","1","2","2","0","83","3","2"
"お騒がせの","0","1","0","2","0","84","3","2"
"未知数の","0","1","0","2","0","85","3","2"
"激ヤバ","0","1","0","2","0","86","3","2"
"負けるな","0","1","0","2","0","87","3","2"
"ライトスピード","1","1","2","3","1","88","3","2"
"プロフェッショナル","1","1","1","3","1","89","3","2"
"トップオブ","1","1","0","3","1","90","3","2"
"ゴールドメダル","1","1","2","3","1","91","3","2"
"アルティメット","1","1","2","3","1","92","3","2"
"ザ・ベスト","1","1","0","3","1","93","3","2"
"パーフェクト","1","1","2","3","1","94","3","2"
"100年に1人の","1","1","1","3","1","95","3","2"
"レジェンダリー","1","1","2","3","1","96","3","2"
"超一流の","1","1","0","3","1","97","3","2"
"世界の","1","1","0","3","1","98","3","2"
"選ばれし","1","1","0","3","1","99","3","2"
"アスレチック","0","1","2","3","1","100","3","2"
"偉大なる","0","1","0","3","1","101","3","2"
"スーパーソニック","0","1","1","3","1","102","3","2"
"ウルトラ","0","1","0","3","1","103","3","2"
"MVPの","0","1","0","3","1","104","3","2"
"ジェネラル","0","1","0","3","1","105","3","2"
"オールラウンド","0","1","2","3","1","106","3","2"
"シルバーメダル","0","1","2","3","1","107","3","2"
"聖なる","0","1","0","3","1","108","3","2"
"エクセレント","0","1","2","3","1","109","3","2"
"一流の","0","1","0","3","1","110","3","2"
"マーベラス","0","1","0","3","1","111","3","2"
"スーパー","1","1","0","3","0","112","3","2"
"フライング","1","1","0","3","0","113","3","2"
"グレート","1","1","0","3","0","114","3","2"
"アンストッパブル","1","1","1","3","0","115","3","2"
"カリスマ","1","1","0","3","0","116","3","2"
"万能","1","1","0","3","0","117","3","2"
