9d41a4523edcaf973f1a72f7f511d5a95a12ab637a083ca64472418c8c2ba51c,a51178a274bdd11b5c6a2b2ecf06f10a95b95e396b6fcfaf896c1bf494146230,74bbd29cdd1c412d391a1d36f7b07376e80e5f0d4cbeb8dc068df4f2c165eea8,eab8d044e3ceb8a3694f056ee466f2bf15c5d5a54181483dcee26ec549387e15,f51f7671372c7bc7ac78046b6ab9c3438d82c343a00fcf03129acb225f9f4d34,b80092092f9373e6fa3ed52b4448c98bd61c1815e8f15717b0080cd4e7f1b49f,9b79c9fc1532036b18f4d8990dd04ebdd1a1bc75dc44cbf16a237ae49c4e5464
"0","1","0","2018/12/24 5:00:00","2018/12/25 4:59:59","70000","400"
"0","2","0","2018/12/25 5:00:00","2018/12/26 4:59:59","70000","401"
"0","3","1","0","0","70001","410"
"0","4","2","0","0","70001","411"
"0","5","3","0","0","70001","412"
"0","6","0","2019/12/24 5:00:00","2019/12/25 4:59:59","70002","400"
"0","7","0","2019/12/25 5:00:00","2019/12/26 4:59:59","70002","401"
"0","8","1","0","0","70003","413"
"0","9","2","0","0","70003","414"
"0","10","3","0","0","70003","415"
"0","21","0","2020/12/24 5:00:00","2020/12/25 4:59:59","70004","400"
"0","22","0","2020/12/25 5:00:00","2020/12/26 4:59:59","70004","401"
"0","23","1","0","0","70005","416"
"0","24","2","0","0","70005","417"
"0","25","3","0","0","70005","418"
"0","26","3","2021/01/30 5:00:00","2021/01/31 4:59:59","80004","9002001"
"0","27","3","2021/01/31 5:00:00","2021/02/01 4:59:59","80004","9002002"
"0","28","3","2021/02/01 5:00:00","2021/02/02 4:59:59","80004","9002003"
"0","29","3","2021/02/02 5:00:00","2021/02/03 4:59:59","80004","9002004"
"0","30","3","2021/02/03 5:00:00","2021/02/04 4:59:59","80004","9002005"
"0","31","3","2021/02/04 5:00:00","2021/02/05 4:59:59","80004","9002006"
"0","32","3","2021/02/05 5:00:00","2021/02/06 4:59:59","80004","9002007"
"0","33","3","2021/02/06 5:00:00","2021/02/07 4:59:59","80004","9002008"
"0","34","3","2021/02/07 5:00:00","2021/02/08 4:59:59","80004","9002009"
"0","35","3","2021/02/08 5:00:00","2021/02/09 4:59:59","80004","9002010"
"0","36","3","2021/02/09 5:00:00","2021/02/10 4:59:59","80004","9002011"
"0","37","3","2021/02/10 5:00:00","2021/02/11 4:59:59","80004","9002012"
"0","38","3","2021/02/11 5:00:00","2021/02/12 4:59:59","80004","9002013"
"0","39","3","2021/02/12 5:00:00","2021/02/13 4:59:59","80004","9002014"
"0","40","3","2021/02/13 5:00:00","2021/02/14 4:59:59","80004","9002015"
"0","41","3","2021/02/14 5:00:00","2021/02/15 4:59:59","80004","9002016"
"1","42","3","2021/02/15 5:00:00","2021/02/16 4:59:59","80004","9002017"
"0","43","0","2021/12/24 5:00:00","2021/12/25 4:59:59","70006","400"
"0","44","0","2021/12/25 5:00:00","2021/12/26 4:59:59","70006","401"
"0","45","3","2022/01/30 5:00:00","2022/01/31 4:59:59","80006","9004001"
"0","46","3","2022/01/31 5:00:00","2022/02/01 4:59:59","80006","9004002"
"0","47","3","2022/02/01 5:00:00","2022/02/02 4:59:59","80006","9004003"
"0","48","3","2022/02/02 5:00:00","2022/02/03 4:59:59","80006","9004004"
"0","49","3","2022/02/03 5:00:00","2022/02/04 4:59:59","80006","9004005"
"0","50","3","2022/02/04 5:00:00","2022/02/05 4:59:59","80006","9004006"
"0","51","3","2022/02/05 5:00:00","2022/02/06 4:59:59","80006","9004007"
"0","52","3","2022/02/06 5:00:00","2022/02/07 4:59:59","80006","9004008"
"0","53","3","2022/02/07 5:00:00","2022/02/08 4:59:59","80006","9004009"
"0","54","3","2022/02/08 5:00:00","2022/02/09 4:59:59","80006","9004010"
"0","55","3","2022/02/09 5:00:00","2022/02/10 4:59:59","80006","9004011"
"0","56","3","2022/02/10 5:00:00","2022/02/11 4:59:59","80006","9004012"
"0","57","3","2022/02/11 5:00:00","2022/02/12 4:59:59","80006","9004013"
"0","58","3","2022/02/12 5:00:00","2022/02/13 4:59:59","80006","9004014"
"0","59","3","2022/02/13 5:00:00","2022/02/14 4:59:59","80006","9004015"
"0","60","3","2022/02/14 5:00:00","2022/02/15 4:59:59","80006","9004016"
"1","61","3","2022/02/15 5:00:00","2022/02/16 4:59:59","80006","9004017"
"0","62","1","0","0","70007","436"
"0","63","2","0","0","70007","437"
"0","64","3","0","0","70007","438"
"0","65","3","2022/08/01 5:00:00","2022/08/02 4:59:59","80007","9005001"
"0","66","3","2022/08/02 5:00:00","2022/08/03 4:59:59","80007","9005002"
"0","67","3","2022/08/03 5:00:00","2022/08/04 4:59:59","80007","9005003"
"0","68","3","2022/08/04 5:00:00","2022/08/05 4:59:59","80007","9005004"
"0","69","3","2022/08/05 5:00:00","2022/08/06 4:59:59","80007","9005005"
"0","70","3","2022/08/06 5:00:00","2022/08/07 4:59:59","80007","9005006"
"0","71","3","2022/08/07 5:00:00","2022/08/08 4:59:59","80007","9005007"
"0","72","3","2022/08/08 5:00:00","2022/08/09 4:59:59","80007","9005008"
"0","73","3","2022/08/09 5:00:00","2022/08/10 4:59:59","80007","9005009"
"0","74","3","2022/08/10 5:00:00","2022/08/11 4:59:59","80007","9005010"
"0","75","3","2022/08/11 5:00:00","2022/08/12 4:59:59","80007","9005011"
"0","76","3","2022/08/12 5:00:00","2022/08/13 4:59:59","80007","9005012"
"0","77","3","2022/08/13 5:00:00","2022/08/14 4:59:59","80007","9005013"
"0","78","3","2022/08/14 5:00:00","2022/08/15 4:59:59","80007","9005014"
"1","79","3","2022/08/15 5:00:00","2022/08/16 4:59:59","80007","9005015"
"0","80","0","2022/12/24 5:00:00","2022/12/25 4:59:59","70008","400"
"0","81","0","2022/12/25 5:00:00","2022/12/26 4:59:59","70008","401"
"0","82","1","0","0","70009","439"
"0","83","3","2023/01/31 5:00:00","2023/02/01 4:59:59","80008","9006001"
