3612e2ac627b58403492a56de9892ec93a4c2991c2c62b5c32165ed4ecbacece,2209f7e5606d0d27e176959d1e01a8d42e9e0c5d0ce4a8ff3ebd13a8a8815d81,dac29008328f87dbe2e179cbdfcb354199ac0bc8f5628abc1505fc5675b92045,07f1a4346edb0c441d187c3fa906a4c85a8058f8c2c742cd0fd4c52662a57acc,47a98c503fd8dd567ea024d781e83c86931348b482b91488e3994257576e26c8,aeab7289d439de61f2466ace51dd141324714307f7e128f5615cd47cd55a2896,5c550fbfa22b00f77db9c5f8a7acfcd342cdf60461c2de98279a65f90c319c20,28ef18e9d44f0c090869ec66fbe818a1696d0abfd9c0dd9e240b7a78ff352dbc
"srt_kaya_idle","0","srt_inori_idle","start_000-start_001,start_002/start_003-boss_emote_064-start_004","GAME_START","","srt_dragon_in,srt_dragon_idle",""
"srt_kaya_idle","2","srt_inori_idle","","ENEMY_FIRST","","srt_dragon_idle","まずはオレの番だな！"
"srt_kaya_waiting","2","srt_inori_idle","","ENEMY_TURN1","","srt_dragon_idle","「{0}」か\n「{1}」で始まるのは…"
"srt_kaya_waiting","2","srt_inori_idle","","ENEMY_TURN2","","srt_dragon_idle","「{0}」か\nうーん、「{1}」で始まる言葉ねえ…"
"srt_kaya_waiting","2","srt_inori_idle","","ENEMY_TURN3","","srt_dragon_idle","「{0}」か\nオッケー、次は「{1}」だな"
"srt_kaya_help","0","","sugoyomi_damage_059,sugoyomi_damage_060,sugoyomi_damage_061,sugoyomi_damage_062,sugoyomi_damage_063","ENEMY_HELP","srt_homare_help","",""
"srt_kaya_flash","0","","","ENEMY_FLASH","","",""
"srt_kaya_select_1,srt_kaya_waiting","2","srt_inori_react_1,srt_inori_idle","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","ENEMY_SELECT1","","srt_dragon_react_1,srt_dragon_idle","「{0}」だ！"
"srt_kaya_select_1,srt_kaya_waiting","2","srt_inori_react_1,srt_inori_idle","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","ENEMY_SELECT2","","srt_dragon_react_1,srt_dragon_idle","「{0}」だな！"
"srt_kaya_select_1,srt_kaya_waiting","2","srt_inori_react_1,srt_inori_idle","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","ENEMY_SELECT3","","srt_dragon_react_1,srt_dragon_idle","「{0}」だぜ！"
"srt_kaya_select_1,srt_kaya_waiting","2","srt_inori_react_1,srt_inori_idle","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","ENEMY_SELECT_GREAT1","","srt_dragon_react_1,srt_dragon_idle","「{0}」ってのはどうだ！"
"srt_kaya_select_1,srt_kaya_waiting","2","srt_inori_react_1,srt_inori_idle","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","ENEMY_SELECT_GREAT2","","srt_dragon_react_1,srt_dragon_idle","へっへーん！「{0}」だ！"
"","-1","","","ENEMY_SELECT_WAIT","","",""
"srt_kaya_shock","1","","out_071","ENEMY_SELECT_N","","","カヤぴぃ、「ん」がついてるですよ……"
"srt_kaya_waiting","1","srt_inori_thinking","","PLAYER_TURN1","","srt_dragon_thinking","「{0}」ですか\n次は「{1}」で始まる言葉ですね"
"srt_kaya_waiting","1","srt_inori_thinking","","PLAYER_TURN2","","srt_dragon_thinking","「{0}」ですか\nうーん、「{1}」で始まる言葉は…"
"srt_kaya_waiting","1","srt_inori_thinking","","PLAYER_TURN3","","srt_dragon_thinking","なるほど「{0}」ですね\nふむふむ、「{1}」で始まる言葉は…"
"","1","","sugoyomi_cutin_049,sugoyomi_cutin_051,sugoyomi_cutin_053","PLAYER_CUTIN_GREAT","","",""
"","1","","sugoyomi_cutin_050,sugoyomi_cutin_052","PLAYER_CUTIN_PRICONNE","","",""
"srt_kaya_react_1,srt_kaya_waiting","1","srt_inori_select_1,srt_inori_idle","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","PLAYER_SELECT1","","srt_dragon_select_1,srt_dragon_idle","「{0}」です！"
"srt_kaya_react_2,srt_kaya_waiting","1","srt_inori_select_2,srt_inori_idle","correct_030-correct_031,correct_035-correct_036","PLAYER_SELECT2","","srt_dragon_select_2,srt_dragon_idle","「{0}」ですね！"
"srt_kaya_react_1,srt_kaya_waiting","1","srt_inori_select_1,srt_inori_idle","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","PLAYER_SELECT_GREAT1","","srt_dragon_select_1,srt_dragon_idle","「{0}」なんてどうです！"
"srt_kaya_react_2,srt_kaya_waiting","1","srt_inori_select_2,srt_inori_idle","correct_030-correct_031,correct_035-correct_036","PLAYER_SELECT_GREAT2","","srt_dragon_select_2,srt_dragon_idle","ふふ～ん♪「{0}」です！"
"srt_kaya_react_1,srt_kaya_waiting","1","srt_inori_select_1,srt_inori_idle","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","PLAYER_SELECT_PRECONNE1","","srt_dragon_select_1,srt_dragon_idle","ふっふっふ、ずばり\n「{0}」です！"
