63b8f6b24dc28710c70510ee6fc4bcac256310f3b018d03b5bfa3e29b5dc8ba9,6aa24e1b56b1f82cf54fc8e61e490c4d9c3cdf0795fab43089cb9c78e7d60e10,9c86a245d833e7fc0d5cbf3e0ae7cdaf1f0f8cff9b243f1e936884f5289959a7,132fead58d86cd6e5879fd2ae2aba5e0ffbeeff8e2dce016c1444c06a9d7d397,a2b8544cba7ad0febe8a67ba8f75e31d444b879b9784dc15a75d15b036c59680,40f96a6d3df874fec20d42c8467eec946bf8a8f54208d3ab388a03df79ed7ee0,4b4735e9eccdb292fe8e8c2cb90c661035d270a9974d81b37d78e1cb1843efc4,140204f269b6a4a283727858f8ebc599d091d200c68c8e32d5800cf5815621a0,bd93cd43eb4a2ee4d20c6cc1556b0c7ad2c53ed4fc7b1f4b1eec6d655a36b45f,64b96a7f16de060f19fa522958364e6e2e9a61b7be8b7e71748188d1c438c6fe,3229de6002bee8129f8868fbe22d793d3052690a5553918459c5562ec0cd838b,628efc75680adf65141906ec7b475d38649f69df0b0909fd6274a3e0f31b387d,758f10ed33fc7c5b8b9cc5621c821b8b1b91e64e181e2bee31bd168f51f907e8
"おおかみ","1","0","0","1","ぶた","0","0","0","いのしし","3110001","いぬ","0"
"一","1","0","0","1","三","0","0","0","二","3110002","四","0"
"十","1","1","0","1","八","0","0","0","九","3110003","七","0"
"花","1","0","0","1","亭","0","0","0","要","3110004","也","0"
"めそめそ","1","0","0","1","がつがつ","0","0","0","ぱかぱか","3110006","もぐもぐ","0"
"犬の鳴き声","1","0","0","1","針で縫う","0","0","0","ものがへこむ","3110007","批判をする","0"
"田","1","1","0","0","木","0","0","0","十","3110009","口","0"
"しかし","1","0","0","1","それで","0","0","0","だが","3110010","よって","0"
"服を身長する","1","0","0","1","身長をはかる","0","0","0","身長な行動","3110011","身長が伸びる","0"
"身近（みじか）","1","0","0","1","地面（じめん）","0","0","0","鼻血（はなじ）","3110012","自信（じしん）","0"
"ま","1","0","0","1","た","0","0","0","ば","3110013","さ","0"
"土","1","0","0","1","月","0","0","0","金","3110015","火","0"
"プリンセス","1","0","0","1","ブレイド","0","0","0","ストライク","3111001","クイーン","0"
"ヒール","1","0","0","1","アタック","0","0","0","オール","3111002","エクスプロージョン","0"
