d198026d16e728e58214b799f4f31f156fff66aaa7cf5563765e953eefefa966,e59a755581a71bfc879341e0bb6d111a0b3a64b616cc09a1922332657f83068a,4a5b0d1970f7db423b101a3796db20796f6dbc9f59285c0c2cde5838161458ba,8ca8a5a7c5656363c08ca52c6b4c64c752e050b61eeeace489cdf238b94a0d3c,26876df456599f133a447fa6622aa52766f236bcc03b074bda6cf60816b79216,867775166366da0070d742e6d87a4780c6432f7f068e6c2b7039bd288b09415f,1a3996601824507e66df161538b93bc1c226d1f010c8fc17bd46a94324969eed,b2664912f6aca6b505c74356526e4b0a175ae48d9437ee92f149e56bf4b5f265,10a874b62b7b9dc7f542d1d88ac429327b34f64af5a15d1192239a35a546f895,364aab27e3eb9503aaec490bfedf97c7db4597ce9042e169c43f2c6b9773eff3,991681d4ef9c0d796d3c907f453c2a9a13f3bded6a6ecb85a76d66f064f1194b,cb6a7dd5d2886ed42271cf225f51a2e9c3561eea548cda36e20dc1121beeedf6,21e7b187174edb578df5f2f9afddf8bb017ccf46ef906c5951e3de1032f174e2,d24bc26594c925cd8b7c7f601c0c258f619fb4cadebc8b0905f6a430a4ac23bb,eed8484c81af9d3fe157d57b33307c8faba9d24f6b50c2b0a1cbaf89a6cc2a53,076d3f17fdf2a9027d9ca37c6601602c1bdc07b6d6769c4b7b895f2340e7500f,1221af06241021553b9bad56336ff03e6882f62359b4b4a12afcb3097ccf1bbf,53565033a629ce742e76fdd1329d87b9cb69f57a23b19b18365ebfa3e6abacff
"1","1","10","8","91002","500","0","0","0","0","0","0","0","0","0","0","0","0"
"2","11","100","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"3","101","200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"4","201","500","8","91002","10","0","0","0","0","0","0","0","0","0","0","0","0"
"5","501","1000","8","91002","5","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1001","2000","8","91002","3","0","0","0","0","0","0","0","0","0","0","0","0"
"7","2001","4000","8","91002","2","0","0","0","0","0","0","0","0","0","0","0","0"
"8","4001","7999","8","91002","1","0","0","0","0","0","0","0","0","0","0","0","0"
"9","8000","8000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"10","8100","8100","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"11","8200","8200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"12","8300","8300","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"13","8400","8400","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"14","8500","8500","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"15","8600","8600","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"16","8700","8700","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"17","8800","8800","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"18","8900","8900","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"19","9000","9000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"20","9100","9100","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"21","9200","9200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"22","9300","9300","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"23","9400","9400","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"24","9500","9500","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"25","9600","9600","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"26","9700","9700","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"27","9800","9800","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"28","9900","9900","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"29","10000","10000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"30","10100","10100","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"31","10200","10200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"32","10300","10300","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"33","10400","10400","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"34","10500","10500","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"35","10600","10600","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"36","10700","10700","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"37","10800","10800","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"38","10900","10900","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"39","11000","11000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"40","11100","11100","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"41","11200","11200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"42","11300","11300","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"43","11400","11400","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"44","11500","11500","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"45","11600","11600","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"46","11700","11700","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"47","11800","11800","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"48","11900","11900","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"49","12000","12000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"50","12100","12100","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"51","12200","12200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"52","12300","12300","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"53","12400","12400","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"54","12500","12500","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"55","12600","12600","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"56","12700","12700","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"57","12800","12800","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"58","12900","12900","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"59","13000","13000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"60","13100","13100","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"61","13200","13200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"62","13300","13300","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"63","13400","13400","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"64","13500","13500","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"65","13600","13600","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"66","13700","13700","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"67","13800","13800","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"68","13900","13900","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"69","14000","14000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"70","14100","14100","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"71","14200","14200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"72","14300","14300","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"73","14400","14400","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"74","14500","14500","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"75","14600","14600","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"76","14700","14700","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"77","14800","14800","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"78","14900","14900","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"79","15000","15000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
