62494e25d88321b3ebfa6b1f84ef91a55993c555b7fd06c731170896e55ab8d7,c3871da9f6347c08ef936c80afe7ddb814a4f375fcace72cf6db943d3a66ae5e,bfee351ad68e1623118f7be79bab0fb04040765baff95dc7eeaad22fefa42f8d,5d3ad729ceb8926b7bf34d7fb585171f45ab26ca9fb9ec2f0ea74c6dfe45ccf9,d1cfe02e70c83a83109e5eef3437b55462f94dcdafea6acce79352f800438b0b,445dec1cebac2277633bac2c5f9fa4203425cee7ab044a82fef82c52afd75ea6,8c216f25f35d0cfab2a314f11f110680b67b5c199fe135bc385862cd3669b97d,917d3c70b9e05733b6b22ca1acd107778c68a812b96847eafec70149548492ad
"24","10101020","1","0","3050100","1","1","0"
"24","0","2","0","4010200","2","1","0"
"24","10401020","3","0","3030200","3","1","0"
"24","10401020","4","0","3050200","4","1","0"
"24","10401020","5","0","3040200","5","1","0"
"24","10401020","6","0","3020200","6","1","0"
"24","0","7","0","4010300","7","1","0"
"24","10101020","101","0","3030100","8","1","0"
"24","0","102","0","3010201","9","1","0"
"24","0","103","0","3020201","10","1","0"
"24","0","104","0","3010301","11","1","0"
"24","0","105","0","3030301","12","1","0"
"24","0","106","0","3040301","13","1","0"
"24","0","107","0","3050301","14","1","0"
"24","0","108","0","3020301","15","1","0"
"24","10401050","109","0","3030300","16","1","0"
"24","10401050","110","0","3040300","17","1","0"
"24","10401050","111","0","3050300","18","1","0"
"24","10401050","112","0","3020300","19","1","0"
"24","10101020","201","0","3010100","20","1","0"
"24","10101020","202","0","3020100","21","1","0"
"24","10101020","203","0","3030100","22","1","0"
"24","10101020","204","0","3040100","23","1","0"
"24","10101020","205","0","3050100","24","1","0"
"24","10101020","206","0","3010200","25","1","0"
"24","10101020","207","0","3020200","26","1","0"
"24","10101020","208","0","3030200","27","1","0"
"24","10101020","209","0","3040200","28","1","0"
"24","10101020","210","0","3050200","29","1","0"
"24","0","401","112","1010301","30","1","0"
"24","0","402","203","1020301","31","1","0"
"24","0","403","306","1030301","32","1","0"
"24","0","404","401","1040301","33","1","0"
"24","0","405","508","1050301","34","1","0"
"24","20101050","406","209","1020301","35","1","0"
"24","20101050","407","306","1030301","36","1","0"
"24","20101050","408","407","1040301","37","1","0"
"24","20101050","409","501","1050301","38","1","0"
"15","0","600","0","0","39","1","11001337"
"8","0","600","0","0","40","150","91002"
"15","0","700","0","0","41","1","11001338"
"8","0","799","0","0","42","150","91002"
"15","0","800","0","0","43","1","11001339"
"24","0","999","0","0","44","1","0"
