bb37d94a2e4c4ac44ef5ae4f9a3b37504312bd5872b91b6a99bdedbabd1b956e,f04be28280a3e4a95a3719d447542ea23804d129458b932b6a55f17af5397e0d,dd82390c2229b706c0e1d62fe7c3cded50ec3c2f240704828d0a982f86df2bd2,e794bb6bb18dd6f6a0584a48014370231a1c2a1f5893b7bd12af1a26bb1125c6,5d938b811dfa8f3f6b01583f04b1b4d5c50379702e86faf0d6d34188917eb19a,370ca88b8c8dfb00954a483b9b98b673ee04caba4bc7484b12b73da187f71597,4449fbb1f0a94d52890bcdb81882a44014121413f9e9b7958a1fe52e6e5b57cf,7b8b1eb1e2f4bff6605916914062abf399b470b9b2a7d5f356982b466c68e909,483f7d331cf721f07e653d4d42456f0cacae101b0a79ec57543c1d8a3f635b48,67d19df4d9dcc97c286990bebb4317d08a901e94488e9fc0d15b201e4300ce00,ff46d30b6db12e8328e3c2b5a9ea2db41e415ba0baa48e3ba865aecbee4ce26d
"0","empty","0","50","2","2","0.65","5","-622","10001","10001001"
"0","empty","0","51","1","1","0.65","5","-622","10001","10001002"
"0","","1","1","1","2","0","6","0","10001","10001003"
"0","","1","1","1","1","0","6","0","10001","10001004"
"","","0","0","10001","10001","0","31","1","10001","10001005"
"","","","","0","0","","91","","10001","10001006"
"0","","1","1","1","2","0.2","6","1","10001","10001007"
"0","","1","1","1","1","0.2","6","1","10001","10001008"
"0","","0.3","-472","0","2","","2","14","10001","10001009"
"0","","0.3","-472","0","1","","2","14","10001","10001010"
"","","","0","limitedMission_congratulations","2","0","3","","10001","10001011"
"","","","0","limitedMission_congratulations","1","0","3","","10001","10001012"
"","","","","1","10001","","32","","10001","10001013"
"","","","","0","3","","93","","10001","10001014"
"0","","1","1","1","2","0.2","6","0","10001","10001015"
"0","","1","1","1","1","0.2","6","0","10001","10001016"
"","","","","0","0.2","","93","","10001","10001017"
