5d70cfc343d5167d0e490b4fbb2c60a46a5832abaad6e623336c56027d8d5a45,7471406d83a2abbca0d91a3f95df8c9caf7beb07991c52342ffccb3c4d747e41,6f7559d4796d0db59442cee14b7dd10d56d3396ab09ba07c623a2670c2c59cab,246d6119e1921984152c0a215a4672a5fac2f13d55a0f06ed7dfb1591282a770
"1","ＨＰ","10000","1"
"1","物理攻撃力","10000","2"
"1","物理防御力","10000","3"
"1","魔法攻撃力","10000","4"
"1","魔法防御力","10000","5"
"1","物理クリティカル","10000","6"
"1","魔法クリティカル","10000","7"
"0","回避","1","8"
"0","ＨＰ吸収","1","9"
"0","ＨＰ自動回復","1","10"
"0","ＴＰ自動回復","1","11"
"0","物理貫通ダメージ","1","12"
"0","魔法貫通ダメージ","1","13"
"0","ＴＰ上昇","1","14"
"0","回復量上昇","1","15"
"0","ＴＰ消費軽減","1","16"
"0","命中","1","17"
"1","物理クリティカルダメージ","100","100"
"1","魔法クリティカルダメージ","100","101"
"1","物理与ダメージ","100","102"
"1","魔法与ダメージ","100","103"
"1","属性ボーナス","10000","104"
