d99b24e5bbeb183e3c636aa3020fe4f81d161c291826354ac099793cb8c40abe,118790adcdf5ac6b4e112164eb6f20e3a61fe4f4602d8cbbdfeba55a3429c952,ca61227f56b2f8830eccaa8d30a2b72289a67ef7b41da26bad4492dae072c758,d8ff0402163965f8bfc0bc9e41697decc67cc7f659f22a61aa55b4b09e534799,7f5807fbe79a972db72fd7d961f0e16dba67f4745535dc98c892cb860e77c603,e56d15fa992239efcd3a0553a0a9e811f30898d7c62ad0bda384c132540d2808,e7543fbdafa2e6e0445ab7e17e302860e9dde786cb4be38d3cd1abb1036287ec,5b929e1ea976726bcd9880ad0c51c1b243c621c29f7a1d83a80687aa2fef481c,7499f21ad7af9540328dff34739213a9317f3efe5e2cf6a30e76fc4770f8c5cf,c06ef0474c6d263bf25ca9358f91c44909097a200de844cea5ca753a39bc4099
"オープニング","0","0","0","20059104","5110601","10110","0","0","懐かしき過去の結晶"
"オクトーの追想　その1","91002","30","1","20059104","5110602","10110","0","8","リーダーはどっちだ！"
"オクトーの追想　その2","91002","30","1","20059105","5110603","10110","0","8","勝ちたい理由"
"クリスティーナの追想　その1","91002","30","1","20059108","5110604","10110","0","8","聞き上手な誓約女君"
"ダイゴの追想　その1","91002","30","1","20059109","5110605","10110","0","8","秘めたる本当の実力……？"
"ラビリスタの追想　その1","91002","30","1","20059110","5110606","10110","0","8","友と書いてライバルと読む"
"マサキの追想","91002","30","1","20059112","5110607","10110","0","8","悪と正義の高笑い"
"ラジラジの追想　その1","91002","30","1","20059113","5110608","10110","0","8","プリンセスナイトとは"
"オクトーの追想　その3","91002","30","1","20059114","5110609","10110","0","8","まだ見ぬ日々に想い馳せて"
"ラジラジの追想　その2","91002","30","1","20060103","5111602","10111","0","8","跳躍王のお仕置き"
"クリスティーナの追想　その2","91002","30","1","20060105","5111603","10111","0","8","二人なら絶対だって"
"ダイゴの追想　その2","91002","30","1","20060108","5111604","10111","0","8","虎の尾を踏む"
"ラビリスタの追想　その2","91002","30","1","20060109","5111605","10111","0","8","一番怪しい七冠は誰だ"
"ネネカの追想","91002","30","1","20060110","5111606","10111","0","8","簡単すぎる問題"
"オクトーの追想　その4","91002","30","1","20060113","5111607","10111","0","8","魔物使いは語る"
"オクトーの追想　その5","91002","30","1","20060113","5111608","10111","0","8","悪党たちの目指す未来"
"エンディング","9000222","1","0","0","5111609","10111","1","16","過去を超える思い出を"
