5a68bb0218f939fefae1476071d3125d934f55337714962ded8cb3e49961b82b,c6720ed27bd2702cdfc3c65b6c36d2752e67e468e6cfe7946283a27b77ef1e7b,4a2b07729c52888ed0ad903a0bbed96cebe4e4b76d2c34815611e555b1f7dbe9,77a0c362593fe894ec8d1070541adaffc5ba4326a7859bb38361e5d1cbaf12e6,52ec6680aa6d697a10f42040ef9c00902d2772ef7adf43c9d5f5faa96abea922,249476620b7ffb5f071bd6fbbe1627e47e3756f785488cbba447881ae8cdcbb5,afd687c09618c88e3f1c2a7b20541cba8e6356e8a0c4116a0671f6bac75277a0,d602e02981373f3bb6058c487c3f469019deb723938e4f26d6efacd023ebbce4,a966f97655f472294c703a0c158f6d8b7b908d9335e9339e0e667dc672eabd3d,c62a3ecc5d4817126360e07c026a710506aa789017758f79c2e51ed8955cc2ef
"575","10590","1002","1100001","1003","1","32","1","1","1001"
"575","10590","1005","1100002","1006","1","32","1","1","1004"
"575","10590","1008","1100003","1009","1","32","2","1","1007"
"500","11820","1011","1100004","1012","1","33","1","1","1010"
"500","11820","1014","1100005","1015","1","33","1","1","1013"
"500","11820","1017","1100006","1018","1","33","2","1","1016"
"500","11820","1020","1100007","1021","1","33","4","1","1019"
"375","13050","1023","1100008","1024","1","35","1","1","1022"
"375","13050","1026","1100009","1027","1","35","1","1","1025"
"375","13050","1029","1100010","1030","1","35","6","1","1028"
"575","10590","2002","1200001","2003","1","34","1","2","2001"
"575","10590","2005","1200002","2006","1","34","1","2","2004"
"575","10590","2008","1200003","2009","1","34","1","2","2007"
"575","10590","2011","1200004","2012","1","34","1","2","2010"
"575","10590","2014","1200005","2015","1","34","2","2","2013"
"575","10590","2017","1200006","2018","1","34","4","2","2016"
"575","10590","2020","1200007","2021","1","34","6","2","2019"
"500","11820","2023","1200008","2024","1","35","1","2","2022"
"500","11820","2026","1200009","2027","1","35","1","2","2025"
"500","11820","2029","1200010","2030","1","35","1","2","2028"
"500","11820","2032","1200011","2033","1","35","1","2","2031"
"500","11820","2035","1200012","2036","1","35","4","2","2034"
"500","11820","2038","1200013","2039","1","35","6","2","2037"
"375","13050","2041","1200014","2042","1","38","1","2","2040"
"375","13050","2044","1200015","2045","1","38","1","2","2043"
"375","13050","2047","1200016","2048","1","38","1","2","2046"
"375","13050","2050","1200017","2051","1","38","1","2","2049"
"375","13050","2053","1200018","2054","1","38","2","2","2052"
"375","13050","2056","1200019","2057","1","38","4","2","2055"
"375","13050","2059","1200020","2060","1","38","6","2","2058"
"575","10590","3002","1300001","3003","1","37","1","3","3001"
"575","10590","3005","1300002","3006","1","37","1","3","3004"
"575","10590","3008","1300003","3009","1","37","1","3","3007"
"575","10590","3011","1300004","3012","1","37","1","3","3010"
"575","10590","3014","1300005","3015","1","37","1","3","3013"
"575","10590","3017","1300006","3018","1","37","1","3","3016"
"575","10590","3020","1300007","3021","1","37","2","3","3019"
"575","10590","3023","1300008","3024","1","37","2","3","3022"
"575","10590","3026","1300009","3027","1","37","4","3","3025"
"575","10590","3029","1300010","3030","1","37","6","3","3028"
"500","11820","3032","1300011","3033","1","38","1","3","3031"
"500","11820","3035","1300012","3036","1","38","1","3","3034"
"500","11820","3038","1300013","3039","1","38","1","3","3037"
"500","11820","3041","1300014","3042","1","38","1","3","3040"
"500","11820","3044","1300015","3045","1","38","1","3","3043"
"500","11820","3047","1300016","3048","1","38","1","3","3046"
"500","11820","3050","1300017","3051","1","38","2","3","3049"
"500","11820","3053","1300018","3054","1","38","4","3","3052"
"500","11820","3056","1300019","3057","1","38","4","3","3055"
"500","11820","3059","1300020","3060","1","38","6","3","3058"
"375","13050","3062","1300021","3063","1","40","1","3","3061"
"375","13050","3065","1300022","3066","1","40","1","3","3064"
"375","13050","3068","1300023","3069","1","40","1","3","3067"
"375","13050","3071","1300024","3072","1","40","1","3","3070"
"375","13050","3074","1300025","3075","1","40","1","3","3073"
"375","13050","3077","1300026","3078","1","40","1","3","3076"
"375","13050","3080","1300027","3081","1","40","2","3","3079"
"375","13050","3083","1300028","3084","1","40","4","3","3082"
"375","13050","3086","1300029","3087","1","40","6","3","3085"
"375","13050","3089","1300030","3090","1","40","6","3","3088"
"700","9360","4002","2100001","4003","2","29","3","1","4001"
"700","9360","4005","2100002","4006","2","29","5","1","4004"
