d668d8fdd1b4898f08d452d15468060ea9dda3ed56a17077981448ba9fce8851,bb0ecf6e0d8011ceb06f8f47c77d1bfde59f349e63a29fc56343c6867e13fd24,3ead664e8583dc52390a29a6ccc97d2f21cc7a7639d6874cb9ade7f68744e406,29fefa0eb6e2f41c21d8a389754a9e03f1c02011910693f03024d7fa7fc5e164,cbbe51d03e01c3a3bb307f96bbeec9c35823aa73cc1e4e80bb2c3f48e5a26bde,9312ed64d6fc8c009781a788eeebb5bc3968b1820c43916d18f8dd7cd75a0a3a,57fcb5138f706faba6d71868fc382f5248ced64c363e738af4bfc86908cbd2d7,bb3f44c683066c822d2b9a70a9c3d9d0635b00dbe7ade777bfd329b0cd7deb54,bbf8a83689b7112302bcb0d586a05150d2cceaeec692c0df55ff19a4707dc4df
"0.7","1","1","0","1","43.5","11","320010106","502001102"
"0.65","2","2","0","3","13","67","320010106","502001103"
"0.65","3","3","0","2","-74","49","320010106","0"
"0.7","4","1","0","1","-49","13","320010107","502001108"
"0.85","5","2","0","3","-4","62","320010107","502001109"
"0.65","6","3","0","2","59","50","320010107","0"
"1.05","7","1","0","1","0","-10","320010108","0"
"1.05","8","1","0","1","-15","-10","320010109","0"
"0.43","9","1","0","1","-85","-45","320010110","0"
"0.43","10","2","0","2","85","-45","320010110","0"
"0.7","11","1","0","1","43.5","11","320010206","502001202"
"0.65","12","2","0","3","13","67","320010206","502001203"
"0.65","13","3","0","2","-74","49","320010206","0"
"0.7","14","1","0","1","-49","13","320010207","502001208"
"0.85","15","2","0","3","-4","62","320010207","502001209"
"0.65","16","3","0","2","59","50","320010207","0"
"1.05","17","1","0","1","0","-10","320010208","0"
"1.05","18","1","0","1","-15","-10","320010209","0"
"0.43","19","1","0","1","-85","-45","320010210","0"
"0.43","20","2","0","2","85","-45","320010210","0"
"0.7","21","1","0","1","43.5","11","320010306","502001302"
"0.65","22","2","0","3","13","67","320010306","502001303"
"0.65","23","3","0","2","-74","49","320010306","0"
"0.7","24","1","0","1","-49","13","320010307","502001308"
"0.85","25","2","0","3","-4","62","320010307","502001309"
"0.65","26","3","0","2","59","50","320010307","0"
"1.05","27","1","0","1","0","-10","320010308","0"
"1.05","28","1","0","1","-15","-10","320010309","0"
"0.43","29","1","0","1","-85","-45","320010310","0"
"0.43","30","2","0","2","85","-45","320010310","0"
"0.7","31","1","0","1","43.5","11","320010406","502001402"
"0.65","32","2","0","3","13","67","320010406","502001403"
"0.65","33","3","0","2","-74","49","320010406","0"
"0.7","34","1","0","1","-49","13","320010407","502001408"
"0.85","35","2","0","3","-4","62","320010407","502001409"
"0.65","36","3","0","2","59","50","320010407","0"
"1.05","37","1","0","1","0","-10","320010408","0"
"1.05","38","1","0","1","-15","-10","320010409","0"
"0.43","39","1","0","1","-85","-45","320010410","0"
"0.43","40","2","0","2","85","-45","320010410","0"
"0.7","41","1","0","1","43.5","11","320010506","502001502"
"0.65","42","2","0","3","13","67","320010506","502001503"
"0.65","43","3","0","2","-74","49","320010506","0"
"0.7","44","1","0","1","-49","13","320010507","502001508"
"0.85","45","2","0","3","-4","62","320010507","502001509"
"0.65","46","3","0","2","59","50","320010507","0"
"1.05","47","1","0","1","0","-10","320010508","0"
"1.05","48","1","0","1","-15","-10","320010509","0"
"0.43","49","1","0","1","-85","-45","320010510","0"
"0.43","50","2","0","2","85","-45","320010510","0"
"0.7","51","1","0","1","43.5","11","320020106","502002102"
"0.65","52","2","0","3","13","67","320020106","502002103"
"0.65","53","3","0","2","-74","49","320020106","0"
"0.7","54","1","0","1","-49","13","320020107","502002108"
"0.85","55","2","0","3","-4","62","320020107","502002109"
"0.65","56","3","0","2","59","50","320020107","0"
"1.05","57","1","0","1","0","-10","320020108","0"
"1.05","58","1","0","1","-15","-10","320020109","0"
"0.43","59","1","0","1","-85","-45","320020110","0"
"0.43","60","2","0","2","85","-45","320020110","0"
"0.7","61","1","0","1","43.5","11","320020206","502002202"
"0.65","62","2","0","3","13","67","320020206","502002203"
"0.65","63","3","0","2","-74","49","320020206","0"
"0.7","64","1","0","1","-49","13","320020207","502002208"
"0.85","65","2","0","3","-4","62","320020207","502002209"
"0.65","66","3","0","2","59","50","320020207","0"
"1.05","67","1","0","1","0","-10","320020208","0"
"1.05","68","1","0","1","-15","-10","320020209","0"
"0.43","69","1","0","1","-85","-45","320020210","0"
"0.43","70","2","0","2","85","-45","320020210","0"
"0.7","71","1","0","1","43.5","11","320020306","502002302"
"0.65","72","2","0","3","13","67","320020306","502002303"
"0.65","73","3","0","2","-74","49","320020306","0"
"0.7","74","1","0","1","-49","13","320020307","502002308"
"0.85","75","2","0","3","-4","62","320020307","502002309"
"0.65","76","3","0","2","59","50","320020307","0"
"1.05","77","1","0","1","0","-10","320020308","0"
"1.05","78","1","0","1","-15","-10","320020309","0"
"0.43","79","1","0","1","-85","-45","320020310","0"
"0.43","80","2","0","2","85","-45","320020310","0"
"0.7","81","1","0","1","43.5","11","320020406","502002402"
"0.65","82","2","0","3","13","67","320020406","502002403"
"0.65","83","3","0","2","-74","49","320020406","0"
"0.7","84","1","0","1","-49","13","320020407","502002408"
"0.85","85","2","0","3","-4","62","320020407","502002409"
"0.65","86","3","0","2","59","50","320020407","0"
"1.05","87","1","0","1","0","-10","320020408","0"
"1.05","88","1","0","1","-15","-10","320020409","0"
"0.43","89","1","0","1","-85","-45","320020410","0"
"0.43","90","2","0","2","85","-45","320020410","0"
"0.7","91","1","0","1","43.5","11","320020506","502002502"
"0.65","92","2","0","3","13","67","320020506","502002503"
"0.65","93","3","0","2","-74","49","320020506","0"
"0.7","94","1","0","1","-49","13","320020507","502002508"
"0.85","95","2","0","3","-4","62","320020507","502002509"
"0.65","96","3","0","2","59","50","320020507","0"
"1.05","97","1","0","1","0","-10","320020508","0"
"1.05","98","1","0","1","-15","-10","320020509","0"
"0.43","99","1","0","1","-85","-45","320020510","0"
"0.43","100","2","0","2","85","-45","320020510","0"
"0.7","101","1","0","1","43.5","11","320030106","502003102"
"0.65","102","2","0","2","13","67","320030106","502003103"
"0.65","103","3","0","3","-74","49","320030106","0"
"0.7","104","1","0","1","-49","13","320030107","502003108"
"0.85","105","2","0","3","-4","62","320030107","502003109"
"0.65","106","3","0","2","59","50","320030107","0"
"1.05","107","1","0","1","0","-10","320030108","0"
"1.05","108","1","0","1","-15","-10","320030109","0"
"0.43","109","1","0","1","-85","-45","320030110","0"
"0.43","110","2","0","2","85","-45","320030110","0"
"0.7","111","1","0","1","43.5","11","320030206","502003202"
"0.65","112","2","0","2","13","67","320030206","502003203"
"0.65","113","3","0","3","-74","49","320030206","0"
"0.7","114","1","0","1","-49","13","320030207","502003208"
"0.85","115","2","0","3","-4","62","320030207","502003209"
"0.65","116","3","0","2","59","50","320030207","0"
"1.05","117","1","0","1","0","-10","320030208","0"
"1.05","118","1","0","1","-15","-10","320030209","0"
