ff4e63d0e6dad827590aee2723d32735c11a38b09a912377a9c1e29e218185e9,2b5d622dd51370216a35519123ef289bbe20f50c7bfeb9254800c03ea13c7ea6,5e2b97ce5077fb752f0194bb26d6ae42a09f7810730f5e06b84607ed2531f749,b79f4d2d4b8cbf59863eaefda3ae5b439fed5600c43ce7e3b37a4d1a1374c9c1,e8880c08e541fc79bef011c192ea10e3ecb4911e0156047cb2c0ba410ad1a5cc,a708f7ca9e27ca9fa2ce472030f3bbaae39a7cfa192c370fd4bdcc9826ef30ec,86f22d0e1f86bc7791bbe93a54482f55fa2cb527f9f269281a742812f3037023,7b9bea0fdf7eff74fa1cd1226dfd797396365c6ec7bc285b8abd8f85c150c13e,6a547eb5ccc7895e10ff368833bf4240bb369c0282f3227ab784d749969d7cd5,5fbaa39f20c61ee539a07afde6e39f3dd333ee64cc18e4478b55120c88db48df
"懐かしき過去の結晶","0","20059104","0","0","0","0","5110601","10110","オープニング"
"リーダーはどっちだ！","8","20059104","91002","30","1","0","5110602","10110","オクトーの追想　その1"
"勝ちたい理由","8","20059105","91002","30","1","0","5110603","10110","オクトーの追想　その2"
"聞き上手な誓約女君","8","20059108","91002","30","1","0","5110604","10110","クリスティーナの追想　その1"
"秘めたる本当の実力……？","8","20059109","91002","30","1","0","5110605","10110","ダイゴの追想　その1"
"友と書いてライバルと読む","8","20059110","91002","30","1","0","5110606","10110","ラビリスタの追想　その1"
"悪と正義の高笑い","8","20059112","91002","30","1","0","5110607","10110","マサキの追想"
"プリンセスナイトとは","8","20059113","91002","30","1","0","5110608","10110","ラジラジの追想　その1"
"まだ見ぬ日々に想い馳せて","8","20059114","91002","30","1","0","5110609","10110","オクトーの追想　その3"
"跳躍王のお仕置き","8","20060103","91002","30","1","0","5111602","10111","ラジラジの追想　その2"
"二人なら絶対だって","8","20060105","91002","30","1","0","5111603","10111","クリスティーナの追想　その2"
"虎の尾を踏む","8","20060108","91002","30","1","0","5111604","10111","ダイゴの追想　その2"
"一番怪しい七冠は誰だ","8","20060109","91002","30","1","0","5111605","10111","ラビリスタの追想　その2"
"簡単すぎる問題","8","20060110","91002","30","1","0","5111606","10111","ネネカの追想"
"魔物使いは語る","8","20060113","91002","30","1","0","5111607","10111","オクトーの追想　その4"
"悪党たちの目指す未来","8","20060113","91002","30","1","0","5111608","10111","オクトーの追想　その5"
"過去を超える思い出を","16","0","9000222","1","0","1","5111609","10111","エンディング"
