4dc8cd011fbaa95884ba6c12fde1edda7d546ef9c60c284dbb6fa4eb8f361ec5,ac0bbc1fe9c9c615dfadcce2f097fe282a1821f0d896822b855fa1195f0db63f,21181390136c676cd4cee40100863086cb1745b37cd196c24e0ce8ecb25b89eb,5a16b450362a65934ea202446d06bfadf73ad8097a60060d8f890f993417fe85,b70463cd16f15de0b878cca5dda69c9fbdb002196e16fead8d908e85f8c0515a,968f91d7fda04aa645fc0b27d98d1d8dcfba2fbd0d680e0c2052d0f46a7aaea3,cf7317beec9d4eb9c584f7ce3bb5fca51527d115663200c77f5533b2efa0e362,9f7b5b37e07cc9bde126d09b1e08f80a03b932e72b28d3e6c9b54c19160c5a2e,4130e3fed9afbc7d7ef85ee3176c1e9adf503057e1e3a401a89e246dcf7021a5,a1c9e275ce66d1c4b315c7e660fd274ff46aa298999eb6224a50a64166b27e2d,7aa606e566a43efb21b2fc8b5058155190a5d8f164a24984706b413c625898f0,9893a0dc4a02c7696daea64246c63b5df10afe931de1bf225d007a5d0f6c0a7c,f6241c120f0536b22a71213d0e8a1a66fdd18e6297061fc435751fde74780a60,5922f14f94f7ed7dd79c3ddea991f5377f196c19bba3725fde43a824dd613948,85b643a2e99980842f5819ef7a692f367a04816c26adff28a0230a091780298a,1dcbbddd29cc9f085474d9daa7e78dd42a5d357209e91e6ec5e6b09284ef8817,c7f69d6e1bf410cec23dd034ac2f806cc34d54bc53f342e2bee46dd07d24c5e2,e35401e8d5d5e60b8d55260c54d068c2c34c017ca2c41d7143d5cd5e1dfbef4b,2bd64e1477af002f7e9020b0b6a1ebc5b70a2fc48dd9181511aba6513660ba6d,e65c76afc88da581e13277b063543d435a0677dfc57d795d078a83f547c14448,c4f1e69c294a337c0ab95ba40c52ddf256d24aec9f0a7f0ed496592ed2482181,240b2fedb08c43ce1d169feaba3275f771b909f6f32a442edfbbb5abae03c96e
"bgm_M64","101001","-480","-120","10","101001","1","-30","-30","0.8","1","250","1001","1","0","210","1","0","0.7","0.6","1","10010101"
"bgm_M64","101001","-260","-120","10","101001","1","-30","0","1.2","2","0","1001","1","0","200","2","0","1","0.75","1","10010102"
"bgm_M64","101001","-40","0","0","101001","1","-30","-10","1.1","3","100","1001","1","0","200","3","-50","1","0.75","1","10010103"
"bgm_M64","101001","240","-50","0","101001","1","-30","0","1","4","0","1001","1","0","200","4","0","1","0.7","1","10010104"
"bgm_M55","101011","480","-40","0","101011","1","-30","0","1.3","5","200","1001","1","0","250","5","0","1","1.2","1","10010105"
"bgm_M64","101001","-480","-155","10","101021","1","-30","-30","0.8","1","250","1002","1","0","210","1","0","0.7","0.6","1","10020101"
"bgm_M64","101001","-265","-120","10","101021","1","-30","0","1.2","2","250","1002","1","0","200","2","0","1","0.75","1","10020102"
"bgm_M64","101001","-30","30","0","101021","1","-30","-10","1.4","3","100","1002","1","-15","200","3","-30","1","0.9","1","10020103"
"bgm_M64","101001","220","-90","0","101021","1","-30","0","1.5","4","100","1002","1","0","200","4","-30","1.25","1","1","10020104"
"bgm_M55","101011","440","0","0","101031","1","-30","0","1.8","5","200","1002","1","0","250","5","0","1.6","1.4","1","10020105"
"bgm_M64","101041","-470","-155","10","101041","1","-30","-30","0.8","1","250","1003","1","0","210","1","0","0.7","0.6","1","10030101"
"bgm_M64","101041","-210","-95","10","101041","1","-30","0","1.2","2","250","1003","1","0","200","2","0","1","0.75","1","10030102"
"bgm_M64","101041","50","-120","0","101041","1","-30","-10","1.1","3","100","1003","1","0","200","3","-50","1","0.75","1","10030103"
"bgm_M64","101041","195","35","0","101041","1","-30","0","1.5","4","100","1003","1","0","200","4","-30","1.2","0.8","1","10030104"
